allium tuberosum	112456282
allium ursinum	112456154
allium vineale	112455991
allmouth	102550878
alloantibody	115054049
allocable	300470167
allocatable	300470167
allocate	202238869
allocation	100165400 101085569 113310490
allocation unit	113648413
allocator	109804148
allochronic	302388388
allochthonous	300181796
allocution	107253843
allogamous	302623507
allogamy	107452470
allogeneic	302606144
allograft	105591036
allograph	106416449 106832423
allographic	302623623
allomerism	107352535
allomerous	302623711
allometric	302623810
allometry	106007534
allomorph	106317596 114844026
allomorphic	302623919
allopathic	303084538
allopathy	100711945
allopatric	302385563
allopatry	113982575
allophone	107126641
allophonic	302624001
allopurinol	102700895
allosaur	101716872
allosaurus	101716872
allot	202233480 202260076 202299397
allotment	101085569 113310490
allotrope	114648203
allotropic	302624100
allotropical	302624100
allotropism	111429443
allotropy	111429443
allotted	300850642
allover	300523919
allow	200725507 200726112 200803980 200804608 202260270 202324649 202427979 202428446 202727313 202751361
allow for	202727313
allow in	202508185
allowable	300693155 301765456 301766769
allowably	400087414
allowance	101144162 104757264 113295115 113307277 113314400 113391388 202260629
allowance account	113391388
alloy	114511182 114610949 200397786 200494453
alloy cast iron	114739947
alloy iron	114739947
alloy steel	114740203
alloyed	301332258 301915022
allspice	107829983 111721333 112351583
allspice tree	112351583 112351780
allude	201028737
allure	104696191 200795447
allurement	100161864 104696191 105703411
alluring	302104760
allusion	106779335
allusive	300770517
allusiveness	104926635
alluvial	303017634
alluvial cone	111443585
alluvial deposit	109216160
alluvial fan	111443585
alluvial flat	109216429
alluvial plain	109216429
alluvial sediment	109216160
alluvial soil	114743886
alluviation	111465491
alluvion	109216160 111475008 113450473
alluvium	109216160
ally	108322872 109804483 202435038
ally with	202439584
allyl	114641605
allyl alcohol	114744054
allyl group	114641605
allyl radical	114641605
allyl resin	114744262
allylic	302624382
alma mater	108419296
alma-ata	109042669
almanac	106437949 106438325
almandine	114700647 115075868
almandite	114700647
almaty	109042669
almighty	109559474 301831904
almond	107766562 112665935
almond cookie	107651735
almond crescent	107651735
almond extract	107842520
almond moth	102293316
almond oil	112666515
almond tree	112665663
almond willow	112748720
almond-eyed	300956921
almond-leaves willow	112748489
almond-scented	301059466
almond-shaped	302052156
almoner	109804677
almoravid	109702363
almost	400073433
alms	101092041
alms box	103989125
alms dish	102701103
alms tray	102701103
alms-giving	101092149
almsgiver	109805021
almsgiving	101092149
