appetizingness	105002696
appian way	102732004
applaud	200861956 200863593
applaudable	302595965
applauder	109945546
applause	106704734
apple	107755101 112654755
apple aphid	102255451
apple blight	114239536
apple butter	107658351
apple canker	114239536
apple dumpling	107629712
apple fritter	107655623
apple geranium	112708948
apple jelly	107659083
apple juice	107940606
apple maggot	102199548
apple mint	112877239
apple nut	112615294
apple of discord	102732289
apple of peru	112924263 112927817
apple orchard	102732699
apple pie	107641783
apple polisher	109820054
apple rust	113086274
apple sauce	107841826
apple tart	107639443 107639739
apple tree	112654399
apple turnover	107640275
apple-scented	301059622
apple-shaped	302048554
apple-sized	302230436
applecart	102732166 105803843
applejack	107919783
applemint	112877239
applesauce	106624351 107841826
applesauce cake	107645306
applet	106582823
appleton	109180341 110840217
appleton layer	108599865
applewood	112654627
appliance	102732781 102732963
applicability	113817392
applicable	301982512
applicant	109630310
application	100036782 100634572 100713478 100950950 103696454 106524571 106582286
application form	106485508
application program	106582286
application-oriented language	106911886
applications programme	106582286
applicative	301840530
applicator	102733263
applicatory	301840530
applied	300866236
applied anatomy	106068675
applied math	106027371
applied mathematics	106027371
applied psychology	106147798
applied science	106134474
applied scientist	109638837
applier	102733263 109630310
applique	102733435 201674672
apply	200767441 201028567 201161188 201366351 202314145 202565990 202567247 202601520 202682599 202713289
appoggiatura	106885033
appoint	202346366 202401347 202481345
appointed	300850001 300850735 301101008 302137098
appointee	109630660 109820387
appointive	300850001 302646445
appointment	100091213 100164600 100587142 102733566 108401740 109630660
appointment book	106427692
appointment calendar	106427692
apportion	202238869 202299140
apportionable	300470167
apportioned	300542456
apportioning	101085569
apportionment	101085569
apposable	301666975
appose	201502853
apposite	300139582
appositeness	104723767
apposition	101053725 113455121 113823429
appositional	302646592
appositive	302646592
appositively	400122297
appraisal	100877197 105741528 106540774
appraise	200648195 200683348
appraiser	109821473 109821662
appraising	300652914
appreciable	300627090
appreciably	400007009
appreciate	200316406 200316996 200593736 201809949 202260917
appreciated	301381355
appreciation	100365266 101221083 105757616 105814631 107243771
appreciative	300778235 301150235
appreciatively	400272695
appreciativeness	107519768
appreciator	109821868
apprehend	200589616 201217701 201786251
apprehended	301381355
apprehender	109820525 110259779
apprehensible	300535672
apprehension	100089545 105813483 105960433 107536913
apprehensive	300079659 300826475 301749276
apprehensively	400187482
apprehensiveness	107536913
apprentice	109821287 200604030
apprenticed	301068495
apprenticeship	100590035
appressed	300449943
apprisal	107227084
apprise	200316406 200316996 200832735 200875364
apprize	200316406 200316996 200832735 200875364
appro	114435968
approach	100281697 100574305 100942956 102673692 104753374 105053622 107179000 107325125 108510971 200992424 201853713 202057865 202444146 202709812
approach path	108510971
approach pattern	108509757
approach shot	100574305
approach trench	102733753
approachability	104663006
approachable	300019387 300135131 300535441
approaching	100281697 105053622 107325125 301736850
approbate	200688934 200805477
approbation	106699923 107515851
approbative	300999508
approbatory	300999508
appropriable	300094286
appropriate	200726112 202277394 300135772
appropriately	400140318
appropriateness	104723223 104906208
appropriation	100084795 100374226 113310868
appropriation bill	106549115
appropriative	302646774
appropriator	109822064
approval	101217882 106699481 107515398 114435778
approve	200675902 200808164
approved	300180335
approver	109822267
approving	101217882 300999508
approvingly	400263397
approximate	200674352 202672137 300450164 300453905 300919090
approximate range	105133331
approximately	400007414
approximation	100147097 104751272 105811387 106796299
approximative	300919090
appurtenance	102674051 103435869
appurtenant	302363453
apr	115235985
apractic	301021951
apraxia	114114608
apraxic	301021951
apresoline	103555851
apricot	104978942 107766848 112661368
apricot bar	107653558
apricot sauce	107848283
apricot tree	112661368
april	115235985
april 14	115213523
april fool	100515367 109820698
april fools'	115213340
april fools' day	115213340
apron	102733935 102734128 104019738 108513344
apron string	102734256
apropos	300139437 400157363 400275183
apse	102734403
apsidal	302646912
apsis	102734403
apsu	109539012
apt	300139582 301295534 301337910 301414776
aptenodytes	102059075
aptenodytes forsteri	102059382
aptenodytes patagonica	102059224
apteral	300140612 302578945
apterous	302578945
apterygidae	101522925
apterygiformes	101522699
apteryx	101523217
aptitude	105630239
aptitudinal	302647009
aptly	400186658
aptness	104723767 104950331
apulia	108828210
apus	101835022 109224592
apus apus	101835134
apyretic tetanus	114333931
aqaba	108947451
aqua	104976975
aqua fortis	114790711
aqua regia	114791656
aqua vitae	107918576
aqua-lung	102734634
aquacultural	302801298
aquaculture	100917978
aqualung	102734634
aquamarine	104976975 114791842
aquanaut	109820794 110626699
aquaphobia	114406372
aquaphobic	300080688
aquaplane	102734905 201946713 201960371
aquarium	102735077
aquarius	108705622 109224718 109772973
aquarius the water bearer	108705622
aquatic	111557124 300124949 302647233
aquatic bird	101847558
aquatic fern	112977836
aquatic mammal	102064670
aquatic plant	113142303
aquatic vertebrate	101476447
aquatics	100442764
aquatint	100940907 102735300 201754476
aquavit	107919039
aqueduct	102735438
aqueductus cerebri	105511052
aqueous	301357937 302647112
aqueous humor	105325813
aqueous humour	105325813
aqueous solution	114614092
aquicultural	302801298
aquiculture	100920790
aquifer	109224876
aquiferous	302647359
aquifoliaceae	112777046
aquila	101616836 108822171 109225020
aquila chrysaetos	101616984
aquila degli abruzzi	108822171
aquila rapax	101617197
aquilege	111747560
aquilegia	111747560
aquilegia caerulea	111748009
aquilegia canadensis	111747827
aquilegia scopulorum calcarea	111748009
aquilegia vulgaris	111748207
aquiline	302320034
aquinas	110840394
aquitaine	108960290
aquitania	108960290
ar	109081737 113635143 114653098
ar rimsal	109195008
ara	101821050 109225163
arab	102382560 109748872
arab chief	110607765
arab league	108189002
arab republic of egypt	108917311
arab revolutionary brigades	108036995
arab-berbers	108500511
arab-israeli war	101304940 101305174
arabesque	102735577 105089009
arabia	108866686
arabian	102382560 109748872 303055976 303056080
arabian camel	102439943
arabian coffee	112683784
arabian desert	109190560 109190813
arabian gulf	109413317
arabian jasmine	112327972
arabian nights	107236890
arabian nights' entertainment	107236890
arabian peninsula	108866686
arabian sea	109225283
arabian tea	103614083
arabic	107000717 303056254
arabic alphabet	106512053
arabic language	107000717
arabic numeral	106820359
arabidopsis	111891763
arabidopsis lyrata	111892217
arabidopsis thaliana	111891965
arability	104723094
arabis	111892385
arabis canadensis	111892793
arabis glabra	111893127
arabis turrita	111892942
arabist	109822374
arable	301871757
araceae	111799003
araceous	302651852
arachis	111768799
arachis hypogaea	111768970
arachnid	101771988
arachnida	101771610
arachnidian	302647462
arachnoid	101771988 105490328 302647462
arachnoid membrane	105490328
arachnophobia	114405480
arafat	110840822
arafura sea	109225481
aragon	109049830 110840983
aragonite	114690937
araguaia	109225688
araguaia river	109225688
araguaya	109225688
araguaya river	109225688
arak	107919177
aral sea	109353139
arales	111798860
aralia	111817790
aralia elata	111818965
aralia hispida	111818739
aralia nudicaulis	111818191
aralia racemosa	111818450
aralia spinosa	111817977
aralia stipulata	111819157
araliaceae	111817213
aram	109056288
aram ilich khachaturian	111123638
aram kachaturian	111115577
aram khachaturian	111123638
aramaean	109822483 302647833
aramaic	106363295 107000967 302647714
aramaic script	106363295
arame	101400331
aramean	109822483 302647833
aramus	102016016
aramus guarauna	102016221
aramus pictus	102016360
aran islands	108726703
aranea	101775960
aranea diademata	101776438
araneae	101774607
araneida	101774607
araneidal	302648031
araneidan	302648031
araneus	101775960
araneus cavaticus	101776190
aranyaka	106477294
arapaho	106921067 109669955
arapahoe	106921067 109669955
ararat	109225910
arariba	111770072
araroba	102735701
aras	109226095
arauca	109226359
araucaria	111666365
araucaria araucana	111666618
araucaria bidwillii	111667145
araucaria columnaris	111666968
araucaria cunninghamii	111667406
araucaria excelsa	111666795
araucaria family	111665722
araucaria heterophylla	111666795
araucariaceae	111665722
araujia	113256845
araujia sericofera	113256998
arava	103659412
arawak	106930540 109822670
arawakan	106930540 109822670 302648188
arawn	109531208
araxes	109226095
arb	109823223
arbalest	102985366
arbalist	102985366
arbiter	109822852 109823476
arbitrable	300141501
arbitrage	101095889 202265766
arbitrager	109823223
arbitrageur	109823223
arbitral	302648381
arbitrament	101193374
arbitrarily	400071165
arbitrariness	104679198
arbitrary	300722368
arbitrate	200763001
arbitration	101193374 107165558
arbitration clause	106404896
arbitrational	302648381
arbitrative	302648624
arbitrator	109822852
arbitrement	101193374
arbor	102735832 104284631 113128650
arbor day	115183319
arboraceous	302583630
arborary	302648772
arboreal	300143086 300616005 302648772
arboreal salamander	101639979
arboreous	300143086 300616005 302583630
arborescent	300616005
arborescent plant	113124509
arboresque	300616005
arboretum	102736080
arborical	302648772
arboriculture	100919445
arboriculturist	110124525
arboriform	300616005
arborise	200330305
arborist	110747470
arborize	200330305
arborolatry	101047638
arborous	302648772
arborvirus	101331827
arborvitae	111664286
arbour	102735832
arbovirus	101331827
arbutus	112250864
arbutus menziesii	112251057
arbutus unedo	112251311
arc	111531956 113897023 113918793 202038831
arc cosecant	113811348
arc cosine	113810065
arc cotangent	113810714
arc lamp	102738366
arc light	102738366
arc secant	113811032
arc sine	113809763
arc tangent	113810394
arc-boutant	103378789
arca	101965777
arcade	102736218 102736383
arcadia	108808205
arcadian	109731150 302058608
arcadic	106990608
arcadic dialect	106990608
arcado-cyprians	108177485
arcane	300902905
arcangelo corelli	110930700
arcanum	106685698
arccos	113810065
arccosecant	113811348
arccosine	113810065
arccotangent	113810714
arcdegree	113632450
arced	302323141
arcella	101397133
arcellidae	101396834
arceuthobium	112758847
arceuthobium pusillum	112759019
arch	102736529 102737222 105584204 113908826 202038831 302130013 302346987
arch over	202039160
arch support	102738273
archaean	300817642
archaebacteria	101350224
archaebacterium	101350224
archaeobacteria	101350224
archaeologic	302649043
archaeological	302649043
archaeologist	109824229
archaeology	106153532
archaeopteryx	101518853
archaeopteryx lithographica	101518853
