baster	102808468 109862436 109862588
bastille	102808628 102808769
bastille day	115225328
bastinado	100423117 102809030 201402575
basting	100248822 102808296
basting stitch	102808296
bastion	102809168 102809273 108081208
bastioned	301891374
bastnaesite	114692226
bastnasite	114692226
basuco	102809459
basuto	107008186
basutoland	108978603
bat	100459480 102141851 102809564 103136727 104299552 200008195 201415566 201415827 201416090 201416215
bat boy	109862831
bat mitzvah	107468806 202480532
bata	106997216
bataan	101272836
batch	108417409 108417729 113796604 201388727
batch processing	113459075
bate	200217227 202098335 202516741
bateau bridge	103988118
bated	300885704
batfish	102550364
batfowl	201482655
bath	100258637 102809715 108898429 113637841
bath asparagus	112480651
bath chair	102809947
bath linen	102810445
bath mat	102810586
bath mitzvah	107468806
bath oil	102810708
bath powder	104454410
bath salts	102811345
bath soap	104455236
bath towel	102811464
bath water	114797948
bathe	100443377 200035596 201584919 201965193
bather	109862990 110702573
bathetic	300857592
bathhouse	102810060 102810177
bathing	100256081 100428856
bathing cap	102810318
bathing costume	104378650
bathing machine	102810177
bathing suit	104378650
bathing trunks	104378517
bathing tub	102811600
batholite	114956441
batholith	114956441
batholithic	302670869
batholitic	302670869
bathometer	102811830
bathos	106385614 107082088 107497407
bathrobe	102810801
bathroom	102810916 104453410
bathroom cleaner	102811158
bathroom fixture	102811257
bathroom tissue	115099708
bathsheba	110857884
bathtub	102811600
bathtub gin	107918938
bathyal	302985793
bathyal district	109278249
bathyal zone	109278249
bathyergidae	102371664
bathyergus	102371822
bathymeter	102811830
bathymetric	302671042
bathymetrical	302671042
bathymetry	101001031
bathyscape	102811964
bathyscaph	102811964
bathyscaphe	102811964
bathysphere	102812103
batidaceae	111847638
batik	102812240 200289576
batis	111847817
batis maritima	111848010
batiste	102812376
batman	109863124
batna	108724213
batoidei	101499258
batoko palm	112398766
baton	102812499 102812626 102812740 102812871 104498683
baton rouge	109113970
baton rouge bridge	102813001
baton twirler	109863232
batrachia	101642010
batrachian	101642406 302641889
batrachoididae	102551153
batrachomyomachia	107199312
batrachoseps	101640119
bats	302082059
batsman	109863364
batswana	109713014
battalion	108231004 113797293
batten	102813143 102814065 201308952 201309085
batten down	201309085
batter	107876781 109863364 200547689 201420070 201420359
batter bread	107705058
batter's box	102813405
batter-fried	300619367
battercake	107655812
battered	300017547 300682829 302591692
battering	101178605
battering ram	102813274
battery	100769692 100989949 102813606 102813917 107970413 108094013 108406303
battery acid	114798026
battery charger	103012598
battery-acid	102678511
battery-powered	301834424
batting	100127404 102814065
batting average	113840084 113840355
batting cage	102814194
batting coach	109863629
batting glove	102814339
batting helmet	102814485
batting order	106497998
battle	100790634 100955670 100961007 201094777
battle born state	109133059
battle cruiser	102814753
battle cry	107138112 107167460
battle damage	107354408
battle dress	102814854
battle fatigue	114412001
battle flag	102814977
battle fleet	108310159
battle group	108230592
battle line	108612610
battle of atlanta	101272126
battle of austerlitz	101272350
battle of boyne	101275280
battle of britain	101273121
battle of brunanburh	101275574
battle of bull run	101275984
battle of bunker hill	101276228
battle of caporetto	101276664
battle of chattanooga	101277882
battle of chickamauga	101278190
battle of cowpens	101278929
battle of crecy	101279127
battle of cunaxa	101279368
battle of cynoscephalae	101279558
battle of el alamein	101280725
battle of flodden field	101281185
battle of fontenoy	101281366
battle of fredericksburg	101281835
battle of gettysburg	101282108
battle of granicus river	101282359
battle of guadalcanal	101282548
battle of hastings	101283007
battle of hohenlinden	101283285
battle of ipsus	101283920
battle of issus	101284131
battle of ivry	101284306
battle of jena	101284782
battle of jutland	101284959
battle of kerbala	101273353
battle of lake trasimenus	101285678
battle of langside	101285882
battle of lepanto	101286058
battle of leuctra	101286246
battle of little bighorn	101286937
battle of lule burgas	101287594
battle of lutzen	101287798
battle of magenta	101288277
battle of maldon	101288493
battle of marathon	101289062
battle of marston moor	101289431
battle of midway	101290275
battle of minden	101290550
battle of monmouth	101290765
battle of monmouth court house	101290765
battle of naseby	101291042
battle of navarino	101291288
battle of omdurman	101291937
battle of panipat	101292490
battle of pharsalus	101293204
battle of philippi	101293333
battle of pittsburgh landing	101296993
battle of plassey	101293803
battle of plataea	101294010
battle of poitiers	101294332
battle of puebla	101294693
battle of pydna	101294836
battle of ravenna	101295046
battle of rocroi	101295228
battle of rossbach	101295421
battle of saratoga	101296620
battle of sempach	101296823
battle of shiloh	101296993
battle of soissons-reims	101297282
battle of solferino	101297644
battle of spotsylvania courthouse	101298409
battle of st mihiel	101295660
battle of tannenberg	101298996
battle of tertry	101299437
battle of teutoburger wald	101299586
battle of tewkesbury	101299782
battle of the aisne	101297282
battle of the ardennes bulge	101273600
battle of the bismarck sea	101274162
battle of the bulge	101273600
battle of the chemin-des-dames	101297282
battle of the coral sea	101278687
battle of the little bighorn	101286937
battle of the marne	101273921
battle of the philippine sea	101293490
battle of the somme	101297864 101298019
battle of the spanish armada	101298175
battle of thermopylae	101299975
battle of trafalgar	101300197
battle of trasimeno	101300469
battle of valmy	101300862
battle of verdun	101301064
battle of wagram	101301528
battle of wake	101301715
battle of wake island	101301715
battle of waterloo	101301967
battle of wits	101171330
battle of ypres	101302999 101303273 101303571
battle of zama	101303914
battle plan	105911380
battle royal	100555237
battle sight	102815477
battle-ax	102814603 109863764
battle-axe	102814603 109863764
battle-scarred	301321194
battledore	100481896 102775705
battledore and shuttlecock	100481896
battlefield	108523662
battlefront	108591221
battleful	300083236
battleground	108523662
battlement	102815071
battlemented	301800618 301891481
battler	109958771
battleship	102815336
battlesight	102815477
battlewagon	102815336
battue	100225127 100453758
batty	302082059
batwing	102815640 302578029
bauble	102790458 107282407
baud	113600882
baud rate	113600882
baudelaire	110858080
bauhaus	105850151
bauhinia	112511176
bauhinia monandra	112511332
bauhinia variegata	112511522
baulk	104052724 105697054 108533228 202589630
baulk-line	108533408
baulker	109853385
baum	110858261
bauxite	114692438
bauxitic	302671251
bavaria	108789429
bavarian	109863865 302981320
bavarian blue	107868508
bavarian cream	107636206
bawbee	113410278
bawd	110505025
bawdily	400279618
bawdiness	104910545
bawdry	107139444
bawdy	107139444 300426306
bawdyhouse	104588881
bawl	200066633 201048352 201050441
bawl out	200826456
bawler	109863974 110553540
bawling	100870477
bawling out	106726126
bay	102391569 102698907 102815766 102815920 107391436 109238571 111724562 201049823 201049945 300397038
bay grass	112140631
bay laurel	111724562
bay leaf	107832272
bay lynx	102130134
bay myrtle	111762044
bay of bengal	109239349
bay of biscay	109239495
bay of campeche	109320635
bay of fundy	109239688
bay of naples	109239875
bay of ob	109321880
bay rum	102816387
bay scallop	101969018 107814001
bay state	109117607
bay stater	109760763
bay tree	111724562
bay willow	112750281
bay window	102816534 105563704
bay wreath	103654118
bay-leaved caper	111886043
bay-rum tree	112351408
baya	101545816
bayard	110858398
bayat	107241715
bayberry	111762266 112351408
bayberry tallow	111762472
bayberry wax	111762472
baycol	103001816
bayer	102751623
bayes	110858593
bayes' postulate	105927298
bayes' theorem	105926973
bayesian	302635847
baykal	109265673
bayonet	102816084 201234544
bayonne	109135860
bayonne bridge	102816224
bayou	109239993
bayrut	108977579
bayt lahm	108813084
bazaar	101120503 102816679 102816780
bazar	102816679 102816780
bazillion	113798632
bazooka	102816887
bb	102817009
bb gun	102817251
bb shot	102817009
bbl	113641201
bbs	102920030
bc	400002190
bce	400002344
bd	106711775
bdellium	114922424
be	114655473 202273091 202450790 202609706 202610777 202620216 202622439 202626667 202661230 202670846 202703567 202708368 202750695 202755779
be active	200014542
be adrift	201906776
be after	200706993
be all and end all	105874038
be amiss	200621541
be at pains	202536754
be born	200361585
be due	202640648
be full	201190875
be given	202725274
be intimate	201429048
be known as	200691692 201030757
be on	200425290
be on cloud nine	201817635
be on the ball	200597879
be quiet	201042933
be sick	200076153
be well	200065266
be with it	200597879
be-all and end-all	105874038
beach	109240137 201982961
beach aster	111987086
beach ball	102817359
beach buggy	103261491
beach chair	103172883
beach erosion	113459179
beach flea	101995868
beach goldenrod	112038133
beach grass	112123866
beach heather	112397257
beach house	102817473
beach morning glory	112849388
beach pancake	111858031
beach pea	112560755
beach plum	107767953 112660137
beach plum bush	112660137
beach sand verbena	111858212
beach strawberry	112651524
beach towel	102817563
beach waggon	102817668
beach wagon	102817668
beach wormwood	111951781
beachball	102817359
beachcomber	109864093
beachfront	109240321
beachhead	100037020 108707187
beachwear	102817909
beacon	102817995 104049010 107278881 201937175 202164863
beacon fire	107278881
beacon hill	109118782
beacon light	102817995
bead	102818206 102818372 113924278 201362794 201674406 202631602
bead and quirk	104041957
bead fern	113219812
bead tree	112574247
beaded	301699613
beaded lizard	101695164
beading	102818372 102818524
beading plane	102818613
beadle	109864178 110858727
beadlike	300281111
beads	102818735
beadsman	109864306
beadwork	102818372 102818524
beady	300056900 300281111
beady-eyed	300227413
beagle	102091016
beagling	100453888
beak	101760949 101761151 105606462 112896354 201246038
beaked	300207995
beaked hazelnut	112310102
beaked parsley	112953466
beaked salmon	102531924
beaked whale	102070859
beaker	102818884 102818969
beakless	300209059
beaklike	300208219
beam	102780297 102819085 102819516 105143811 106805502 111448137 111448493 200029207 200975088 201069402 201833689 202165960 202769698
beam balance	102819629
beam of light	111448137
beam scale	104319292
beam-ends	108528089
beaming	300281329 300363972 301896164
beamish	300364111
beamy	300281329 302571744
bean	105547087 107740688 112576812 113157075 201403510
bean aphid	102255624
bean beetle	102168881
bean blight	114240735
bean caper	112741882
bean counter	109864424
bean curd	107725626
bean dip	107598376
bean plant	112576812
bean sprout	107735361
bean tostada	107897500
bean town	109118343
bean tree	113128890
bean trefoil	112526257
bean weevil	102185294
bean-caper family	112741292
bean-shaped	302052675
beanbag	102819791
beanball	100108371
beaner	100108371
beanfeast	108271116
beanie	102819903
beano	100505671
beanstalk	113150697
beantown	109118343
beany	102819903
bear	102134305 109864599 200047462 200056644 200058790 200670017 201435234 201604155 201655681 202296669 202306786 202307200 202523827 202636952 202706727
bear away	201436911
bear cat	102512446
bear claw	102158972 102820030 107708632
bear cub	101325474
bear down	200752985 200842659 201084416 201124145 201391840 201600017
bear down on	201600017 201931945
bear down upon	201931945
bear grass	112486062 112500509 112504130 112504534
bear hug	100175631 100814881
bear in mind	200611060
bear market	108089966
bear oak	112293252
bear off	201436911
bear on	200137133 200768022 202681865 202685709
bear out	202669418
bear paw	107708632
bear up	200671161
bear upon	200137133
bear witness	201016830 201017253
bear's breech	112833238
bear's breeches	112833238
bear's ear	112112323
bear's foot	111754562
bear's grape	112251875
bear's-paw fern	113195252
bear-sized	301386618
bearable	302444024
bearberry	112251709 112778063 113162341
bearberry willow	112751536
bearcat	102138755
beard	101957959 102418916 105269065 109864809 113111354 202693572
beard lichen	113010698
beard moss	113010698
beard worm	101931506
bearded	300218667 302161380
bearded darnel	112145700
bearded iris	112432860
bearded seal	102083365
bearded vulture	101620084
bearded wheatgrass	112126345
beardless	300212684 302161035
beardless iris	112433111
beardown	302329347
bearer	109917148 110199542 110330910 110414772
bearer bond	113359081
bearer of the sword	108027291
bearing	102820166 103012169 104917554 105009987 108698626 113817907 300218889
bearing brass	114798150
bearing false witness	100773870
bearing metal	114743758
bearing rein	102820386
bearing wall	102820521
bearish	301669262
bearnaise	107851523
bearskin	102820651 114788697
bearwood	113162341
beast	100015568 109864997
beast of burden	101319580
beastliness	104789231 104852915
beastly	301266555 301807949 400270463
beat	100314920 100548653 105066044 107100710 107108759 107391537 107415506 108524402 109865257 111498110 200075174 200624056 201104324 201107263 201399864 201401573 201402104 201402230 201420833 201627934 201730756 201759850 201883572 201884106 201884666 201949797 202097668 202097888 202167246 202179274 202180022 202579928 202752015 302440966
beat a retreat	202013362
beat about	200651015
beat around the bush	200837185
beat back	201508789
beat down	201887543 202164751 202264194
beat generation	108386542
beat in	200607866
beat out	201104324 201884553
beat up	201388297 201399864
beat-up	300682829
beatable	300571568
beaten	300969226 303159554
beaten-up	300682829
beater	102820785 109865145
beatific	301133761 301366740
beatification	101042160 101267968 114011204
beatified	302061479
beatify	200824573 201816035 201816291
beating	101163216 101178709
beating-reed instrument	102820934
beatitude	106312002 114011204
beatles	108386847
beatnik	109865257
beatniks	108386542
beatrice	109613050
beatrice lillie	111152107
beatrice webb	111398082
beats	108386542
beats per minute	115311260
beau	109890770 110010564
beau brummell	110887984
beau geste	101231033
beau ideal	105933151
beau monde	108404661
beaufort scale	113670565 113872871
beaufort sea	109240415
beaugregory	102609381
beaujolais	107910077
beaumont	109165942 110858925 110859065
beaumontia	111791438
beaumontia grandiflora	111791616
beaut	105934334
beauteous	300219897
beauteousness	104692745
beautician	109865407
beautification	100262447
beautiful	300219320 301805768
beautifully	400243465
beautify	200293903 201679858 202754802
beauty	104691171 105934334 110633512
beauty bush	112693392
beauty consultant	109865550
beauty parlor	104138291
beauty parlour	104138291
beauty quark	109250437
beauty salon	104138291
beauty shop	104138291
beauty sleep	115298861
beauty spot	102821162
beauty treatment	100262640
beauvoir	110859213
beaux arts	106166666
beaver	102365657 102821270 102821389 103242119 105269619 109764560 114788796 202420043
beaver away	202420043
beaver board	102821537
beaver fur	114788796
beaver rat	102337883
beaver state	109155698
beaverbrook	110859387
bebop	107077141 201899256
becalm	200417496
becalmed	301568905
bechamel	107853338
bechamel sauce	107853338
bechance	200345297 200345654
becharm	201810472 202592550
bechtel crab	112656716
bechuana	109713014
beck	106890058
becker muscular dystrophy	114184557
becket	102821642 110859617
becket bend	104196135
beckett	110859950
beckley	109178463
beckman thermometer	102821822
beckon	201043287 201043516 201811018
becloud	202162161
become	200149403 202629610 202632685 202730133
become flat	200539403
becoming	300911194 301884969
becomingly	400279689
becomingness	104907774
becquerel	110860159
bed	102821967 102822609 102822832 102823016 103655499 108676707 109240545 109240774 200017858 201429048 201502721 201570434 202342062
bed and breakfast	102823220
bed bug	102243169
bed check	105834012
bed clothing	102823345
bed cover	102825355
bed covering	102825355
bed down	200017524
bed ground	108516385
bed jacket	102823810
bed linen	102824165
bed of flowers	103373198
bed of roses	104116565
bed pillow	102824463
bed rest	101066392
bed sheet	104195222
