bratwurst	107693727
braun	110882720 110883036
braun's holly fern	113221091
braunschweig	108790384
bravado	106902641
bravais lattice	105740031
brave	107961030 109665626 202713111 300250985 300263658 300408228
brave out	202713111
bravely	400174412
braveness	104864314
bravery	104864314 107541421
bravo	106705579 109833101 200862146
bravura	105645201
braw	300408228
brawl	101178921 107462638 200776389
brawler	109892814
brawn	105037584
brawniness	105037584
brawny	302329581
braxton bragg	110881337
braxton-hicks contraction	100371496
bray	107392659 200029623 200331892 201056425
braze	201598618
brazen	200870135 300156411 302916798
brazen-faced	300156411
brazenly	400077214
brazenness	104866867
brazier	102896680
brazil	107787707 108872733
brazil nut	107787707 112348363
brazil-nut tree	112348363
brazilian	109714290 302978374
brazilian capital	108874300
brazilian guava	112354670
brazilian ironwood	112510181
brazilian monetary unit	113689902
brazilian pepper tree	112786162
brazilian potato tree	112918759
brazilian rosewood	112543980
brazilian trumpeter	102023935
brazilwood	112509773 112510029
brazos	109251526
brazos river	109251526
brazzaville	108752083
breach	100069721 107328414 109251708 201596535 202572443
breach of contract	100069993
breach of duty	100070424
breach of promise	100070635
breach of the covenant of warranty	100070505
breach of the peace	100773202
breach of trust	100070738
breach of trust with fraudulent intent	100070897
breach of warranty	100071035
bread	107695101 113406389 201340335
bread and butter	113386459
bread and butter pickle	107841375
bread board	102897062
bread dough	107877134
bread knife	102897203
bread line	108449616
bread maker	109852896
bread mold	112994697
bread sauce	107847931
bread-and-butter issue	105823393
bread-bin	102896954
bread-stick	107696262
breadbasket	102896870 105403033 108534045
breadboard	102897062
breadbox	102896954
breadcrumb	107638082
breadfruit	107770427 112420994
breadfruit tree	112420994
breadline	108449616
breadroot	112585118
breadstick	107696262
breadstuff	107582604 107695101
breadth	105143415 105626076
breadth index	113843038
breadthways	400281472
breadthwise	400281472
breadwinner	109892939
break	100060809 100188856 100295592 100377208 100384760 100483903 100501291 101064921 107312251 107328414 107331456 107382148 107382412 109301443 114315592 115295994 200030456 200107408 200107543 200154854 200202933 200203148 200259252 200259551 200334996 200335806 200337070 200340274 200363001 200364717 200390886 200435327 200552489 200559613 200740319 200740445 200746425 200780790 200781106 200935783 200938019 201109275 201230960 201231088 201301517 201372011 201372423 201560428 201600916 201613367 201613570 201789214 201900477 201976990 201993067 201995361 202033214 202034609 202077161 202105651 202323145 202404473 202436167 202484058 202541382 202565221 202572443 202576599 202606079 202631268 202674312 202687334 202687449 202752324 202752492
break apart	200369315 201564843 201661660
break away	201262255 202077161 202079296 202541123 202541382
