chalcopyrite	114694642
chalcostigma	101836925
chaldaea	108937276 108937654
chaldaean	109661306 109925418 302701350
chaldea	108937276 108937654
chaldean	109661306 109925418 302701350
chaldee	109661306 109925418 302701350
chaldron	113644610
chalet	103006420
chalice	103006552
chalice vine	112934551
chalk	103006695 103759824 104968649 114830768 201694058
chalk dust	114863868
chalk line	103006982
chalk out	201701523
chalk pit	103007152
chalk talk	100895082
chalk up	200951873 202326225
chalkboard	102849749
chalkpit	103007152
chalkstone	115110492
chalky	300389632 302684706
challah	107697195
challenge	107206229 107208065 107223225 107245954 113955981 200809824 200810005 200870255 200870790
challengeable	300593257
challenger	110552570
challenging	300749254 301903173 302314278
challis	103007237
chalons	101277226
chalons-sur-marne	101277226
chalybeate	302701659
chalybite	115064394
chamaea	101595797
chamaea fasciata	101595923
chamaecrista	112514620
chamaecrista fasciculata	112514863
chamaecyparis	111655421
chamaecyparis lawsoniana	111655884
chamaecyparis nootkatensis	111656281
chamaecyparis thyoides	111655603
chamaecytisus	112534829
chamaecytisus palmensis	112535097
chamaedaphne	112254693
chamaedaphne calyculata	112254835
chamaeleo	101696636
chamaeleo chamaeleon	101696819
chamaeleo oweni	101696952
chamaeleon	101696424 109263795
chamaeleonidae	101696113
chamaeleontidae	101696113
chamaemelum	111969686
chamaemelum nobilis	111969871
chamber	102824762 103007334 103007750 105400087 108335834 202662158
chamber music	107039708
chamber of commerce	108335991
chamber orchestra	108265332
chambered	302490124
chambered nautilus	101971538
chamberlain	109925532 109925648 110909441
chambermaid	109925746
chamberpot	103007879
chambers	110909657
chambray	103008013
chameleon	101696424 109263795 109925902
chameleon tree frog	101653926
chamfer	102836781 201280213 201586914
chamfer bit	103008135
chamfer plane	103008224
chamfron	103009223
chammy	114785985
chammy leather	114785985
chamois	102421982 114785985
chamois cloth	103008317
chamois cress	111914385
chamois leather	114785985
chamomile	111969871
chamosite	114830898
champ	109926157 201177270 201177429
champagne	107909617 108961308
champagne cup	107947241
champagne flute	103377395
champagne-ardenne	108961308
champaign	109105793 109416498
champerty	100766841
champion	109781932 109925991 109926157 110697152 201151604 300229617
champion lode	111466056
championship	101216376 107472625 113972130
champlain	109353510 110909784
champleve	300057806
champollion	110909963
champs elysees	108953947
chanal	112551833
chanar	112551833
chance	100804290 105098974 111438252 114506552 114507501 202253273 202550045 202600258 301802671
chance event	107315578
chance on	202291532
chance upon	202291532
chance variable	105872761
chance-half correlation	106045204
chance-medley	100222210
chanceful	302066785
chancel	103008428
chancellery	103008637
chancellor	109926301 109926439 109926866
chancellor of the exchequer	109926866
chancellorship	100591263
chancellorsville	101277402 109174718
chancery	103008751 108347938
chancre	114207549
chancroid	114235785
chancroidal	302701765
chancrous	302701879
chancy	300342553 302066785
chandelier	103008889
chandelle	100170472 201974139
chandi	109548621
chandler	109927024 109927262 110910189
chandlery	103009029 103009119
chanfron	103009223
chang	109504653
chang jiang	109504653
chang kuo	109556412
chang kuo-lao	109556412
changan	108747285
change	100191991 103009373 103009524 104759289 107311046 111432841 113408652 113408862 113409284 113881240 200109468 200122978 200126072 200161033 200163059 200169266 200551194 200552287 202092508 202262178
change by reversal	200138328
change course	201950676
change form	200140787
change hands	202226741
change integrity	200139943
change intensity	202195552
change magnitude	200169459
change of color	100274534
change of course	100350712
change of direction	100347122
change of integrity	100376871
change of life	115179422
change of location	107325733
change of magnitude	100352311
change of mind	105797813
change of shape	100405224
change of state	100199979
change over	200380830 200381684
change owners	202226741
change posture	201987785
change ringing	100545642
change shape	200140787
change state	200145958
change surface	200356912
change taste	202201394
change-of-pace	100108504
change-of-pace ball	100108504
change-up	100108504
changeability	104740880
changeable	300345024 300357450 300404149 302514603
changeableness	104740880
changed	300353817 300355544 301535138
changeful	300345024
changefulness	104742125
