ciconiiformes	102004082
cicuta	112955536
cicuta verosa	112955745
cid	108158092
cidade de praia	108735927
cider	107937695
cider gum	112358439
cider mill	103033797
cider vinegar	107845224
ciderpress	103033910
cigar	103034020
cigar band	103034247
cigar box	103034338
cigar butt	103034418
cigar cutter	103034542
cigar lighter	103035407
cigar smoker	109942644
cigar-box cedar	112721471
cigar-shaped	301815898
cigaret	103034648
cigarette	103034648
cigarette burn	104701641
cigarette butt	103034865
cigarette case	103034997
cigarette holder	103035137
cigarette lighter	103035407
cigarette paper	114836736
cigarette smoker	109942559
cigarfish	102584273
cigarillo	103035291
cilantro	107833291 112957229
cilial	302856264
ciliary	302856129 302856264 302856470
ciliary artery	105349762
ciliary body	105320869
ciliary veins	105371107
ciliata	101397542
ciliate	101397895 302253926 302856129 302856264
ciliated	302253926
ciliated protozoan	101397895
cilioflagellata	101419682
ciliophora	101397542
ciliophoran	101397895
cilium	101460746 105322469
cim	108359597
cimabue	110917885
cimarron	102418223 109267878
cimarron river	109267878
cimetidine	103035538
cimex	102243029
cimex lectularius	102243169
cimicidae	102242875
cimicifuga	111748819
cimicifuga americana	111749238
cimicifuga foetida	111749611
cimicifuga racemosa	111749414
cimmerian	300275239
cinch	100499438 100576402 103035741 200637456 200665737 201305642
cinchona	112684565 112685471
cinchona bark	112685471
cinchona calisaya	112684948
cinchona cordifolia	112684766
cinchona lancifolia	112684766
cinchona ledgeriana	112684948
cinchona officinalis	112684948
cinchona pubescens	112685230
cinchona tree	112685230
cinchonine	114737502
cincinnati	109153563
cincinnatus	110918060
cinclidae	101604191
cinclus	101604560
cinclus aquaticus	101604721
cinclus mexicanus	101604850
cinco de mayo	115183410
cincture	103442981
cinder	109268118
cinder block	103035942
cinder pig	114836933
cinder track	103036143
cinderella	109615147 109942721
cine projector	103801498
cine-camera	103794704
cine-film	103794933
cinema	103036237 106273220
cinema verite	106629518
cinematic	302707532
cinematise	201716157
cinematize	201716157
cinematographer	109908991
cinematography	100909617
cineraria	112022176
cineraria maritima	112032089
cinerarium	103077698
cinerary	302962521
cingulate gyrus	105504243
cingulum	105236062
cinnabar	102308581 114695748 300386250
cinnabar chanterelle	113025752
cinnabar moth	102308581
cinnamene	114619723
cinnamomum	111724870
cinnamomum camphora	111725089
cinnamomum cassia	111725640
cinnamomum loureirii	111726042
cinnamomum zeylanicum	111725260
cinnamon	107830179 111725260 111725521
cinnamon bark	111725521 111726245
cinnamon bear	102136052
cinnamon bread	107697436
cinnamon bun	107708793
cinnamon colored	300398019
cinnamon coloured	300398019
cinnamon fern	112974679
cinnamon roll	107708793
cinnamon snail	107708793
cinnamon stone	114927617
cinnamon toast	107705235
cinnamon vine	112109012
cinnamon-colored	300398019
cinnamon-coloured	300398019
cinnamon-red	300398169
cinnamon-scented	301059941
cinque	113766661
cinquefoil	103036438 112657646
cio	108251219
cipher	106264369 106366714 109942876 113762308 113764498 200638921 200996121
cipro	103036561
ciprofloxacin	103036561
cira	108036034
circadian	302990180
circadian rhythm	115160652
circaea	112361929
circaea alpina	112362312
circaea lutetiana	112362448
circaetus	101613067
circassian	106991187 108505685 109660561
circassian walnut	112339931
circe	109517114
circinate	302052280
circinus	109268276
circis siliquastrum	112534118
circle	100296016 103036796 103037004 104042970 104473168 108257090 113896141 113896556 201525496 201915332 202048171
circle around	202086602
circle of curvature	105110189
circle of willis	105349922
circle round	202086602
circlet	103037252 113896488
circuit	100296016 100311492 103037347 104044585 108347441 108531740 108634560 202086774
circuit board	103037971
circuit breaker	103038229
circuit card	103037971
circuit court of appeals	108347225
circuitous	300766556 300770909
circuitry	103038390
circular	107265007 300679539 302048059
circular file	104562986
circular function	113809172
circular measure	113632230
circular plane	103038501
circular saw	103038648
circular-knit	302262302
circularisation	101103658
circularise	200970243 202047558 202460071
circularity	105080728
circularization	101103658
circularize	200574648 200970243 202047558 202459970 202460071
circularly	400286242
circulate	200970243 200971905 202046082 202046294 202046733 202047080
circulating	300670183
circulating decimal	113758516
circulating library	103661417
circulation	100369128 106263501 107326839 111459145 113613587 113613801
circulative	302962902
circulatory	302962643 302962902
circulatory failure	114135583
circulatory system	105519269
circumambulate	201915225
circumboreal	301609035
circumcise	201276905 201277123
circumcision	100396462 101033226 115218106
circumduction	100334559
circumference	105108523 105108937 108531740
circumferent	300451366
circumferential	300332614
circumflex	106835982
circumflex artery	105350047
