cruiser	102936275 103145551 103145716
cruiserweight	110281321
cruller	107655186
crumb	107637870 110559272 113783120 200180342 200339676 201268304
crumb cake	107646391
crumble	200209244 200398311 202045722
crumbliness	104946919
crumbly	300712182
crumhorn	103634122
crummy	302354508
crump	200307973 201138819 202189243
crumpet	107646518
crumple	200565934 201281420 201281789 202045722
crumpled	300683272
crunch	100358915 107397014 113957103 200331892 201060096 201204331 201597899
crupper	103146106
crural	302716545
crus	105569023
crusade	100799906 100970819 201096355 202595732
crusader	110000895 110534787
cruse	103146263
crush	100358915 107559739 108200316 114786545 200339895 200560467 201104324 201106247 201495601 201596858 201804206 202429499
crush out	200479613
crushed	301899370 302248412
crushed leather	114786545
crushed rock	114723045
crusher	103146353
crushing	101081528 300590390
crushingly	400304906
crust	104923043 109282916 109283124 200357443
crustacea	101977040
crustacean	101977414 302716896
crustaceous	302716787 302716896
crustal	302716664
crustal movement	107324956
crustal plate	109418350
crusted	301700202
crustlike	301700202
crustose	302717041
crustose thallus	111552645
crusty	301140500 301700202
crutch	100179549 103146474
crux	106619047 109464256
crux australis	109464256
crux of the matter	106619047
cry	107027866 107135232 107135865 107167460 107397172 200065962 200066456 200914001 200915018 200976818 200987496 201191520
cry for	202635192
cry out	200914001
cry out for	202635192
cry-baby tree	112549054
cryaesthesia	114556708
crybaby	110796007 110801493
crybaby tree	112549054
cryesthesia	114556708
crying	100869874 300582390 300716342
cryoanaesthesia	114050351
cryoanesthesia	114050351
cryobiology	106079546
cryocautery	100698867 103146642
cryogen	114850498
cryogenic	302717216
cryogenics	106108294
cryogeny	106108294
cryolite	114697311
cryometer	103146750
cryonic	302717329
cryonics	106079729
cryopathy	114318180
cryophobia	114406767
cryoscope	103146856
cryostat	103146976
cryosurgery	100670072
crypt	103147082
cryptacanthodes	102618881
cryptacanthodes maculatus	102619027
cryptanalysis	106182218
cryptanalyst	110001070
cryptanalytic	302717427
cryptanalytics	106182218
cryptic	300550150 300903031 300942713
cryptic coloration	104986556
cryptical	300903031 300942713
cryptically	400298090
cryptobiosis	114086957
cryptobiotic	302717900
cryptobranchidae	101635688
cryptobranchus	101635891
cryptobranchus alleganiensis	101636047
cryptocercidae	102237973
cryptocercus	102238117
cryptococcosis	114170694
cryptocoryne	111807659
cryptogam	111572584
cryptogamia	111572349
cryptogamic	302717744
cryptogamous	302717744
cryptogram	106366590
cryptogramma	113230904
cryptogramma acrostichoides	113231248
cryptogramma crispa	113231495
cryptogrammataceae	113247907
cryptograph	103147230 106366590 106366714
cryptographer	110001070
cryptographic	302717427
cryptographical	302717427
cryptographically	400298279
cryptography	100615776 106182218
cryptologic	302717427
cryptological	302717427
cryptologist	110001070
cryptology	106182218
cryptomeria	111656519
cryptomeria japonica	111656655
cryptomonad	101423974
cryptophyceae	101423805
cryptophyta	101423653
cryptophyte	101423974
cryptoprocta	102138937
cryptoprocta ferox	102139104
cryptorchidism	114115729
cryptorchidy	114115729
cryptorchism	114115729
cryptotermes	102228229
cryptotermes brevis	102228450
cryptotis	101895935
cryptotis parva	101896040
crystal	103147330 103147485 103147563 109283372 114903901 114907357
crystal ball	103147782
crystal clear	300430851 300433489
crystal counter	103147906
crystal detector	103148051
crystal gazing	105783692
crystal lattice	105740031
crystal microphone	103148223
crystal mike	103148223
crystal oscillator	103148420
crystal pickup	103148648
crystal rectifier	103207444
crystal set	103148822
crystal tea	112259008
crystal violet	114794999
crystalise	200143524 200444625 200446895 200622730
crystalised	300269929 301075629
crystalize	200143524 200444625 200446895 200622730
crystalized	301075629
crystalline	300269735 300433489 300784134
crystalline lens	105327912
crystallisation	111430412
crystallise	200143524 200446895 200622730
crystallised	300659885
crystallite	109283650
crystallization	105780041 109283372 111430412
crystallize	200143524 200444625 200446895 200622730
crystallized	300269929 300659885
crystallized fruit	107616077
crystallized ginger	107616466
crystallizing	111430412
crystallographer	110001270
crystallography	106108483
cs	114658410
cs gas	114627976
cse	108359815
csis	108359346
cst	115157153
ct	100903174 109090929
ct.	109090929
ctc	108142402
ctene	101921226
ctenidium	101956518
ctenizidae	101778233
ctenocephalides	102189486
ctenocephalides canis	102189802
ctenocephalides felis	102189931
ctenocephalus	102189674
ctenoid	302718019
ctenophora	101920951
ctenophore	101921385
ctenophore family	101920651
ctenophore genus	101920793
cu	114659900
cu ft	113622726
cu in	113622613
cub	101325176 109890635 110001364 200057728
cub scout	110001469
cub shark	101492142
cuba	108767984 108768167
cubage unit	113622065
cuban	109718297 302981136
cuban bast	112199011
cuban capital	108768445
cuban heel	103148928
cuban itch	114148170
cuban mahogany	112720682
cuban monetary unit	113714014
cuban peso	113714119
cuban revolution	101306425
cuban sandwich	107713570
cuban spinach	111882322
