deviousness	104882751 104926889
devisal	100942525
devise	113284975 113437414 201635953 201654986 202234194
devisee	110030286
deviser	110457939
devising	100925809
devisor	110030421
devitalisation	100355009
devitalise	200166760
devitalization	100355009
devitalize	200166760
devitrify	200506593 200506798
devoice	200952702
devoid	300931219
devoir	101232201
devolution	101143481 113481502
devolve	200092045 202234332 202397527
devolve on	202717862
devolvement	101143481
devon	102409511 108902171
devonian	115152934
devonian period	115152934
devonshire	108902171
devonshire cream	107863429
devote	200734247 200888984 202219499
devoted	300521402 300521593
devotedly	400311683
devotedness	107559879
devotee	110097373
devotion	101044796 101046545 101209043 107559879
devotional	101034842 301786326
devour	201199186 201199565 201568141 201824736
devourer	110030518
devouring	300891770
devout	301788237 302187588
devoutly	400311786
devoutness	104834230
devries	110952246
dew	114858302
dew point	105020826
dew worm	101938036
dewar	103190552 110952447
dewar flask	103190552
dewberry	107761173 112675148
dewberry bush	112675148
dewdrop	113924551
dewey	110952649 110952835 110953017
dewey decimal classification	105735372
dewey decimal system	105735372
deweyan	303042149
dewitt clinton	110922161
dewlap	105247023
dewy	302558632
dewy-eyed	302279797
dexamethasone	114777987
dexamethasone intensol	114777987
dexedrine	103190689
dexone	114777987
dexter	300746795
dexterity	105650660
dexterous	300062626
dexterously	400311926
dextral	300746491 302036243
dextrality	105074683
dextrin	114858495
dextroamphetamine sulphate	103190689
dextrocardia	114116807
dextroglucose	114908487
dextrorotary	300443944
dextrorotation	107455973
dextrorotatory	300443944
dextrorsal	300746905
dextrorse	300746905
dextrose	114908487
dextrous	300062626
dextrously	400311926
dflp	108036276
dg	113745580
dhahran	109016910
dhak	112530848
dhaka	108868218
dhal	112531279
dharma	109548714
dhaulagiri	109289359
dhava	112344182
dhawa	112344182
dhegiha	106922448 109674392
dhobi itch	114149256
dhodhekanisos	108801138
dhole	102118565
dhoti	103190883
dhow	103190969
dhu al-hijja	115243594
dhu al-hijjah	115243594
dhu al-qadah	115243459
dhu'l-hijja	115243594
dhu'l-hijjah	115243594
dhu'l-qa'dah	115243459
di-iodotyrosine	114859076
dia	108357916
diabatic	300747629
diabeta	103446854
diabetes	114141287
diabetes insipidus	114143252
diabetes mellitus	114141620
diabetic	110030631 302554704 303072376
diabetic acidosis	114043311
diabetic coma	105688264
diabetic diet	107577944
diabetic retinopathy	114280629
diabolatry	101047930
diabolic	301136015 301136874
diabolical	301136015 301136874
diabolically	400310309
diabolise	200548573
diabolism	105988462
diabolist	110571914
diabolize	200548573
diacalpa	113217840
diacetylmorphine	103521174
diachronic	302385986
diachronic linguistics	106178766
diachrony	106178766
diacritic	106833830 300778470
diacritical	300778470
diacritical mark	106833830
diadem	103143320
diadophis	101731379
diadromous	300110315
diaeresis	106836790
diaghilev	110953200
diaglyph	103581612
diagnosable	301275946
diagnose	200647205 200647424
diagnosing	100153547
diagnosis	100153547
diagnostic	300358334 302987083
diagnostic assay	105746988
diagnostic procedure	100177976
diagnostic program	106586856
diagnostic technique	100177976
diagnostic test	105746988
diagnostician	110030728
diagnostics	106062811
diagonal	106857953 108285242 108287338 113927170 113927331 301237620 301724106
diagonal matrix	108285883
diagonalisation	105791362
diagonalise	200522954
diagonalizable	302722204
diagonalization	105791362
diagonalize	200522954
diagonally	400312113
diagram	103191083 201697348
diagrammatic	301719883
diagrammatical	301719883
diagrammatically	400312240
diagramming	100901905
diakinesis	113486467
dial	103191380 103191502 103191721 103191837 200678054 200791970
dial phone	103192279
dial telephone	103192279
dialect	107170369
dialect atlas	106438910
dialect geography	106178419
dialectal	303016069
dialectic	106173264 113880001 303035158
dialectical	303035158
dialectical materialism	106002120
dialectically	400249583
dialectician	110031014
dialectics	106173112
dialectology	106180981
dialeurodes	102249474
dialeurodes citri	102249593
dialog	106377836 107023657 107150914
dialog box	103191952
dialogue	106377836 107023657 107150914 107162900
dialyse	200331236
dialysis	100651003
dialysis machine	103192435
dialyze	200331236
dialyzer	103192435
diam	105109077
diamagnet	114628941
diamagnetic	302722335
diamagnetism	111500216
diamante	103192974 104180759
diamantine	302722480
diameter	105109077 113894356
diametral	302722582
diametric	302073716 302722582
diametrical	302073716 302722582
diametrical opposition	113851456
diametrically	400312450
diamine	114629035
diamond	102783939 102802752 103192656 113393131 113905618 114858733
diamond dust	111529795
diamond jim	110880925
diamond jim brady	110880925
diamond jubilee	115275279
diamond point	103192852
diamond state	109092353
diamond wedding	115275903
diamond wedding anniversary	115275903
diamondback	101758222
diamondback rattlesnake	101758222
diamondback terrapin	101670732
diana	109580259 110953409
diane de poitiers	110953680
diangus gratianopolitanus	111829740
dianoetic	301433325
dianthus	111828318
dianthus barbatus	111828768
dianthus caryophyllus	111828937
dianthus chinensis	111829190
dianthus chinensis heddewigii	111829401
dianthus deltoides	111829563
dianthus latifolius	111829906
dianthus plumarius	111830063
dianthus supurbus	111830223
diapason	103193100
diapason stop	103193100
diapedesis	111466694
diapensia	112271518
diapensia family	112270930
diapensiaceae	112270930
diapensiales	112271225
diaper	103193215 103193409
diaper dermatitis	114247460
diaper rash	114247460
diaphanous	302422186
diapheromera	102234455
diapheromera femorata	102234455
diaphone	103193555
diaphoresis	113556464
diaphoretic	103193663 302722861
diaphragm	103193767 103193995 103194145 105326156
diaphragmatic hernia	114319901
diaphragmatic pleurisy	114353745
diaphyseal	303002128
diaphysial	303002128
diaphysis	105600488
diapir	109289510
diapsid	101664459
diapsid reptile	101664459
diapsida	101664701
diarchy	108378539
diarist	110031140
diarrhea	114395318
diarrheal	300641644
diarrheic	300641644
diarrhetic	300641644
diarrhoea	114395318
diarrhoeal	300641644
diarrhoeic	300641644
diarrhoetic	300641644
diarthrosis	105550810
diary	103194391 106413674
diary keeper	110031140
dias	110953905
diaspididae	102252017
diaspora	105095101 107346532 108498994
diastasis	114317856
diastema	105290151
diastole	107415836
diastolic	302723006
diastolic pressure	111450773
diastrophism	113486585
diathermy	100663260
diathermy machine	103194502
diathesis	114557935
diatom	101403747
diatomaceous earth	114867465
diatomic	302896253
diatomite	114867465
diatomophyceae	101403532
diatonic	300410966 302446738
diatonic scale	106873373
diatribe	107247964
diaz	110953905
diazepam	103194679
diazo	302666739
diazonium	114795992
diazotize	200586375
diazoxide	103194987
dibasic acid	114635336
dibasic salt	114635457
dibber	103195142
dibble	103195142 201314783 201570535
dibbuk	109566283
dibrach	107110561
dibranch	101972070
dibranchia	101971744
dibranchiata	101971744
dibranchiate	101972070
dibranchiate mollusk	101972070
dibs	106742990
dibucaine	103195339
dicamptodon	101637668
dicamptodon ensatus	101637817
dicamptodontid	101637668
dicamptodontidae	101637325
dicarboxylic	302723139
dice	103195713 201141159 201259431
dice box	103195970
dice cup	103195970
dicentra	111930539
dicentra canadensis	111931135
dicentra cucullaria	111930929
dicentra spectabilis	111930740
dicer	103196135
diceros	102395676
diceros bicornis	102395813
diceros simus	102395476
dicey	302066785
dichloride	115041910
dichlorodiphenyltrichloroethane	114624118
dichloroethyl sulfide	114981409
dichloromethane	115042580
dichondra	112846903
dichondra micrantha	112846903
dichotomisation	100389943
dichotomise	200657778
dichotomization	100389943
dichotomize	200657778
dichotomous	302490539
dichotomously	400083032
dichotomy	107956120
dichroism	111466867
dichromacy	114177098
dichromasy	114177098
dichromat	110031313
dichromate	115038331
dichromatic	300397176 303052254
dichromatism	114177098
dichromatopsia	114177098
dichromia	114177098
dichromic acid	115038144
dick	105534354 110031439
dick fosbury	110995579
dick test	105753314
dick turpin	111373407
dickens	107140494 110954161
dickensian	302723235
dicker	202264636
dickey	103196245 103196460 301277851
dickey-bird	101506617
dickey-seat	103196460
dickeybird	101506617
dickhead	109834593
dickie	103196245 103196460
dickie-seat	103196460
dickinson	110954362
dicksonia	113211367
dicksonia antarctica	113211645
dicksoniaceae	113211116
dicky	103196245 103196460 301277851
dicky-bird	101506617
dicky-seat	103196460
dickybird	101506617
diclinous	301546911
diclofenac potassium	103196651
diclofenac sodium	103196826
dicloxacillin	103197031
dicot	111687305
dicot family	111583198
dicot genus	111587862
dicotyledon	111687305
dicotyledonae	111686232
dicotyledones	111686232
dicotyledonous	300757307
dicoumarol	103197337
dicranaceae	111560890
dicranales	111560681
dicranopteris	113191396
dicranum	111561082
dicrostonyx	102348123
dicrostonyx hudsonius	102348426
dictamnus	112733248
dictamnus alba	112733386
dictaphone	103197227
dictate	105879867 106676685 200628527 200749139 202593176
dictated	302137288
dictation	106398975 107175286 107182782
dictator	109843537 110031556 110031898
dictatorial	300721128 300790912 302723414
dictatorially	400312823
dictatorship	108457622
diction	107095931 107147123
dictionary	106430544
dictionary definition	106757710
dictionary entry	106311813
dictostylium	112997314
dictum	106740365 106778678
dictyophera	113061731
dictyoptera	102235258
dictyopteran	303149394
dictyopterous insect	102235603
dictyosome	105442133
dicumarol	103197337
dicynodont	101723815
dicynodontia	101723651
didactic	301327083
didactical	301327083
didactically	400313044
didacticism	106612774
didactics	100884975
didanosine	103195581
didder	200014027
diddle	201589199 202578034
diddley	113795187
diddly	113795187
diddly-shit	113795187
diddly-squat	113795187
diddlyshit	113795187
diddlysquat	113795187
didelphidae	101877425
didelphis	101877806
didelphis marsupialis	101877954
didelphis virginiana	101877954
dideoxycytosine	103195447
dideoxyinosine	103195581
diderot	110954509
didion	110954776
dido	109581306
didrikson	111424662
die	103195713 103197474 103197591 200224721 200355499 200359085 200435327 200539403 201077307 201557816 201788772 201789061 201833417 202114272
die away	200245945
die back	200242912
die down	200224594 200242912
die hard	202653599
die off	200428636
die out	200428636 201557816
die-cast	302154060
die-hard	301028827
die-sinker	110032458
dieback	114303800
dieffenbachia	111807860
dieffenbachia sequine	111808094
diego rivera	111283677
diego rodriguez de silva y velazquez	111382324
diegueno	106935458 109674603
diehard	110740773
dielectric	114845760
dielectric heating	111470121
dielectrolysis	113493721
diemaker	110032458
dien bien phu	101280033
diencephalon	105504641
dieresis	106836790
diervilla	112692659
diervilla lonicera	112692844
diervilla sessilifolia	112693050
dies irae	107050292
diesel	103197791 110954879
diesel engine	103197791
diesel fuel	114710042
diesel locomotive	103198281
diesel motor	103197791
diesel oil	114710042
diesel-electric	103197944
diesel-electric locomotive	103197944
diesel-hydraulic	103198107
diesel-hydraulic locomotive	103198107
diesinker	110032458
diesis	106841712
diestock	103198438
diestrous	302145843
diestrual	302145843
diestrum	114062225
diestrus	114062225
diet	101072111 107576468 107576677 108335707 201191757 201192545
dietary	107577155 302857207
dietary supplement	107578060
dieter	110032031
dietetic	302857207
dietetical	302857207
dietetics	106051718
diethyl ether	103304876
diethylaminoethyl cellulose	114818474
diethylbarbituric acid	102794917
diethylmalonylurea	102794917
diethylstilbesterol	103198566
diethylstilbestrol	114774301
diethylstilboestrol	114774301
dietician	110032289
dieting	101072111
dietitian	110032289
dietrich	110955055 110955318
dietrich bonhoeffer	110875811
differ	200806464 202672316
difference	104756076 107196595 107380889 113751346 113881504
difference limen	105720839
difference of opinion	107196595
difference threshold	105720839
different	300492404 302072149 302077434 302077746
differentia	104756661
differentiable	300584987 302723546
differential	103198981 104756532 106024079 302723658 302920481
differential analyzer	103198854
differential blood count	100654414
differential calculus	106023784
differential coefficient	106024079
differential cost	105152955
differential diagnosis	100154319
differential equation	106683266
differential gear	103198981
differential limen	105720839
differential psychology	106148586
differential threshold	105720839
differentially	400313196
differentiate	200118882 200119074 200119332 200644465 200652006 200653662
differentiated	300747889 302285578
differentiation	100872318 105756230 113580985
differentiator	110032560
differently	400114003
difficult	300748528 301478425
difficultness	104716529
difficulty	100625102 104716529 105694760 114431490
diffidence	107538525
diffident	300340839 301994938
diffidently	400310504
difflugia	101397412
diffract	202033650
diffraction	111467030
diffraction grating	103199222
diffuse	200970243 201231635 202064069 300542707 300551353 301161394
diffuse nebula	109289696
diffused	300542852 301161394
diffusely	400191978
diffuseness	105095852
diffuser	103199496 103199676
diffusing	300470353
diffusing screen	103672386
diffusion	100369400 105095263 107346200 113486733
diffusion pump	103091667
diffusive	300470353
diffusor	103199496 103199676
diflunisal	103199802
dig	100136131 100943790 104700905 106780713 108567651 200589616 201232540 201312361 201313320 201313763 201903550 202148219 202424873
dig in	201175354 201533912
dig into	201229439
dig out	201313763 201314921 202148219
dig up	201316583 202148219
digenesis	111444703
digest	106605303 106605746 200209846 200245511 200398893 200482322 200482486 200592319 200670017 201199976
digester	103200016
digestibility	105004810
digestible	301185568
digestibleness	105004810
digestion	105761376 113487012 113487201
digestive	114858884 303071790
digestive fluid	105413289
digestive gland	105540428
digestive juice	105413289
digestive system	105336763
digestive tract	105539858
digestive tube	105539858
digger	104002774 110032734
digger wasp	102218422
digging	100943790
digging up	100045638
diggings	103200169 103200343
dighted	300457750
digit	105573730 113675079 113763162
digital	300111512 302723832 302723968
digital arteries	105352062
digital audiotape	103200643
digital camera	103200746
digital clock	103200901
digital communication	106289483
digital communications technology	100952637
digital computer	103201008
digital display	103201282
digital photography	113487373
digital plethysmograph	103201525
digital scanner	104150205
digital subscriber line	103201674
digital vein	105372712
digital voltmeter	103201885
digital watch	103202021
digital-analog converter	103200483
digital-to-analog converter	103200483
digitalin	115084698
digitalis	112903539 115084698
