djibouti	108780328 108780656
djibouti franc	113699797
djiboutian	109719521 303073167
djinn	109567562
djinni	109567562
djinny	109567562
dkg	113746460
dkl	113645904
dkm	113681341
dl	113645383
dle	114244217
dm	113680844 114141620
dmd	106715651
dmitri dmitrievich shostakovich	111319020
dmitri ivanovich mendeleev	111193465
dmitri ivanovich mendeleyev	111193465
dmitri mendeleev	111193465
dmitri mendeleyev	111193465
dmitri shostakovich	111319020
dmus	106716183
dmz	108707685
dna	114854534
dna chip	103438157
dna fingerprint	106656646
dna polymerase	115009143
dneprodzerzhinsk	109038909
dnieper	109291142
dnieper river	109291142
dnipropetrovsk	109039068
do	106716496 106881359 107462638 200010428 200038562 201622033 201649143 201716563 201845714 202528887 202566500 202567910 202574587 202623620 202675578 202714981
do a job on	201567617
do away with	200472642
do by	202519853
do drugs	201203078
do good	202295917
do in	201329983
do it	201429048
do justice	200593939 202142926
do one's best	202569035
do the dishes	201535954
do the honors	202598699
do up	200042809 201286214
do well	202729439
do well by	202521773
do work	202415985
do-gooder	110211232
do-it-yourself	300677744
do-nothing	110217586 302005635
do-or-die	301997589
do-si-do	100541738
doable	301827194
dobbin	102389906
doberman	102109794
doberman pinscher	102109794
dobra	113697696
dobrich	108732457
dobson	102268702 102268921
dobson fly	102268702
dobsonfly	102268702
doc	108146250 110040615
docent	110040532
docetism	106232658
docile	302336651 302397341 302460707
docility	104912874
dock	102160718 102161624 103221531 103221894 103222036 103939805 112624720 201308391 201558960 202089989 202220048 202318670
dock worker	110674608
dock-walloper	110674608
dockage	100052966 103221531 113342252
docker	110674608
docket	105919534 106497282 201010573 201010746
dockhand	110674608
docking	100052966
docking facility	103221531
docking fee	113342252
dockside	108667559
dockworker	110674608
dockyard	108657967
docosahexaenoic acid	114862070
doctor	100433296 110040615 110041617 110041836 200080057 200261534 200489366
doctor of arts	106716597 106718069
doctor of dental medicine	106715651
doctor of dental surgery	106715765
doctor of divinity	106715877
doctor of education	106715976
doctor of fine arts	106718161
doctor of humane letters	106718258
doctor of humanities	106718358
doctor of laws	106718461
doctor of medicine	106716084
doctor of music	106716183
doctor of musical arts	106716285
doctor of optometry	106716395
doctor of osteopathy	106716496
doctor of philosophy	106716716
doctor of public health	106717129
doctor of sacred theology	106717345
doctor of science	106718550
doctor of the church	110041836
doctor of theology	106717245
doctor up	200489366
doctor's bill	106529538
doctor's degree	106715221
doctor-fish	102624207
doctor-patient relation	113860039
doctoral	302904590
doctorate	106715221
doctorfish	102624207
doctorial	302904590
