dramamine	103203635
dramatic	300798380 301287304 301472076 302725536
dramatic art	107019235
dramatic composition	107020800
dramatic event	107305001
dramatic irony	107117259
dramatic performance	100100087
dramatic play	107021061
dramatic production	100100087
dramatic work	107020800
dramatically	400139755 400189865 400248281
dramatics	100888134 107019235
dramatis personae	108254784
dramatisation	100900990 100932683
dramatise	200958437 200990319 201705170
dramatist	110050002
dramatization	100900990 100932683
dramatize	200958437 200990319 201705170
dramaturgic	303016931
dramaturgical	303016931
dramaturgy	107019235
drambuie	107925833
drape	103155743 103237626 104937316 201545307 201545782 201615391 201619938
draped	300675241 301699958
draper	110051915
drapery	103155743 103237826
drastic	300845473
drastically	400057190
draught	100116487 100841850 103235373 105142420 107899955 111542881 201687477
draught beer	107903074
draught horse	102389148
draughts	100503963
draughtsman	110048994
draughty	301400678
dravidian	106991674 109693448
dravidian language	106991674
dravidic	106991674
draw	100115856 100498547 100560366 100573322 103237949 103238126 107368316 109292788 110052401 200096783 200143158 200197965 200328792 200431761 200477896 200557670 200677820 200732743 200989103 201080443 201117608 201201647 201214794 201245712 201245862 201362135 201450719 201507886 201541851 201585566 201646839 201647006 201694189 201694711 201764144 201858118 201999243 202092374 202102078 202107440 202298109 202316367 202489153 202634913 202747982
draw a bead on	200707283 201154093
draw a blank	200610654
draw a line	200235237
draw and quarter	202489153
draw away	201595695 202003720
draw back	201612677 201998474
draw close	201427599 201612857 202057865
draw in	201284745 201507886 201509215 202019236 202058627 202102736
draw near	202057865
draw off	201595695 202316367
draw out	200318689 200746762 201353852 201543481 201634074 201822505
draw play	100560366
draw poker	100498547
draw rein	202447602
draw the line	200235237
draw together	201609993
draw up	200708633 201867144 201867396 201986700 202453599
drawback	105172048
drawbar	103238327
drawbridge	103238447
drawee	110052067
drawer	103238608 110048793 110052249
drawers	102857998 103238867
drawing	100116487 100392901 100509102 100937756 103239009 107016235
drawing board	103235727
drawing card	103239498 110052401
drawing chalk	103239655
drawing ink	114941231
drawing lots	100180903
drawing off	100392901
drawing paper	114862991
drawing pin	104438879
drawing power	104696679
drawing room	103239745 103239883
drawing string	103240263
drawing table	103236071
drawing-room car	103897361
drawknife	103240030
drawl	107146449 200982208
drawler	110052609
drawn	301658418 302441812
drawn butter	107864747
drawn-out	300984386 301442029
drawnwork	103240136
drawshave	103240030
drawstring	103240263
drawstring bag	103240499
dray	103240682
dray horse	102389148
drayhorse	102389505
dread	107536913 201784021 300195400
dreaded	300195400
dreadful	300090922 300195400 301130122
dreadfully	400056878 400317880
dreadfulness	104789380
dreadlock	105266226
dreadnaught	103240796
dreadnought	103240796
dream	105640577 105708890 105776550 105776803 107499687 114483299 201641175 202122725
dream up	201637684
dreamed	301941731
dreamer	110052712 110082803 110216584
dreamfully	400324150
dreamily	400324150
dreaminess	107531461
dreaming	105776550 105776803
dreamland	105639087
dreamless	302469090
dreamlike	301945843
dreamworld	105639087
dreamy	300166847 300879513
drear	300365961
drearily	400318128
dreariness	105213274
dreary	300365961 300810969
dreck	104152800
dred scott	111308920
dredge	103240920 201247080 201247256 201264337
dredge up	201027794
dredger	103241126
dredging bucket	103241283
dreg	113795111
dregs	109292878
dreiser	110963107
dreissena	101968045
dreissena polymorpha	101968170
drench	200216642 200499244 201171869 202777522
drenched	301700618
drenched in	301700618
drenching	100278655
drepanididae	101547185
drepanis	101547518
drepanocytic anaemia	114192274
drepanocytic anemia	114192274
dresden	108788765
dress	102731365 102759103 103241438 200038562 200043414 200044528 200045370 200046251 200047662 200082467 200512717 200543889 201265377 201268833 201323662 201366887 201469172 201683328 202040495 301046603 301046908
dress blues	103241915
dress circle	103037004
dress code	106681356
dress down	200045077 200826456
dress hanger	103061905
dress hat	103242119
dress out	200543889
dress rack	103243465
dress rehearsal	100899063
dress ship	201683234
dress shirt	103243582
dress shop	102882551
dress suit	103243757
dress uniform	103243962
dress up	200043880 200044528 200051478 200294290 201674210
dress whites	103241915
dressage	100288844
dressed	300456473 300457857 301008895 301962618
dressed ore	114861676
dressed to kill	300457857
dressed to the nines	300457857
dressed-up	300457857
dresser	103018908 103242043 103243289 110052807 110052950
dressing	100698135 100829898 100830523 103242342 107449073 107694474 107848878
dressing case	103242542
dressing down	106726126
dressing gown	103242695
dressing room	103242834
dressing sack	103242989
dressing sacque	103242989
dressing station	103243110
dressing table	103243289
dressmaker	110053137
dressmaker's model	110053297
dressmaking	100609277
dressy	301799862
drew	110963248
drey	109293066
dreyfus	110963397
drib	113793544
dribble	100479658 105424022 107447159 200102728 201411414 201614420 202074802
dribbler	110053388 110053613
dribbling	100479658
driblet	113793544
dried	301076070 302563787
dried apricot	107768490
dried fruit	107768353
dried milk	107862119
dried-out	302563619
dried-up	302563907 302564004
drier	103256469 114803955
drift	103244102 105931283 106207399 109293139 111467947 113490877 113491096 200572467 200573579 201579610 201878868 201885173 201906776 201907211 201929647 202623391 202668899
drift apart	201827992
drift away	201827992
drift ice	109293320
drift net	103244310
drift off	200017275
driftage	107381399
drifter	110764201
driftfish	102636915 102637175
drifting	100298230 302134540
driftwood	114861848
drill	100896057 100896250 102489710 103244429 200605376 200605489 200607488 200607730 201445640
drill bit	103245030
drill hole	102878475
drill in	200607866
drill instructor	110053745
drill master	110053745
drill press	103245595
drill rig	103245796
drill rod	114861956
drill site	103245939
drill steel	114861956
drill-like	300805187
drilled	301918526
drilling	100924944 100944615
drilling bit	103245030
drilling fluid	114863121
drilling mud	114863121
drilling pipe	103245185
drilling platform	103245386
drilling rig	103245796
drily	400233186
drimys	111760278
drimys winteri	111760447
drink	100749813 100841439 107897775 107901198 109293414 200739010 201172332 201173463 201174572 201177764
drink down	201204994
drink in	200739010
drink up	201178234
drinkable	107897775 300800668
drinker	110053926 110054339
drinking	100749813 100844789
drinking age	115177491
drinking bout	100750132
drinking chocolate	107939004
drinking fountain	103246038
drinking glass	103443167
drinking song	107064867
