family volvariaceae	113039339
family volvocaceae	101411706
family vombatidae	101885589
family welwitschiaceae	111619442
family winteraceae	111759999
family xanthorrhoeaceae	112486301
family xantusiidae	101686069
family xenicidae	101590813
family xenopodidae	101656886
family xenosauridae	101693344
family xiphiidae	102632065
family xylariaceae	112987146
family xyridaceae	112626076
family zamiaceae	111621938
family zannichelliaceae	112638500
family zapodidae	102353497
family zeidae	101455274
family zingiberaceae	112375837
family ziphiidae	102070594
family zoarcidae	102619659
family zosteraceae	112639097
family zygnemataceae	101412750
family zygophyllaceae	112741292
famine	107330390 114473331
famish	201190070 201190273 201190677
famished	301272616
famishment	114063792
famotidine	103324803
famous	301378757
famous person	109922606
famously	400183802 400338513
famulus	110097284
fan	103324991 110097373 110659323 200177994 200228231 201412417 201889573
fan belt	103325207
fan blade	103325366
fan dance	100532392
fan fern	113192108
fan letter	106637724
fan mail	108480356
fan out	202064069
fan palm	112603874
fan tan	100508898
fan tracery	103326788
fan vaulting	103326899
fan-jet	103326048 103326364
fan-leafed	301705680
fan-leaved	301705680
fan-shaped	302154364
fanaloka	102139446
fanatic	110097659 301731073
fanatical	301731073
fanatically	400338649
fanaticism	106216069
fanatism	106216069
fancied	301942527
fancier	110097911
fanciful	300646620 301800813 301943120
fancifully	400338792
fancify	200293903
fanconi's anaemia	114188348
fanconi's anemia	114188348
fancy	105640055 105904666 107512937 201638974 201780389 301798849
fancy dress	103325464
fancy goods	103325680
fancy man	110098113 110453501
fancy up	200043880
fancy woman	110343410 110505025
fancy-dress ball	107463757
fancy-free	300520773
fancywork	103287844
fandango	100533776
fandom	108240502
fanfare	106869934 106902380
fang	101468113 101468234 101787875 107005589
fang-like	300805445
fanged	302736500
fanion	103325790
fanjet	103326048 103326364
fanjet engine	103326048
fanlight	103325904 104239909 104480343
fanlike	302572220
fanned	300543680
fannie farmer	110986488
fannie mae	108401469
fannie merritt farmer	110986488
fanny	105522061 105566889
fanny adams	107588806 113762905
fanny pack	103326508
fanny wright	111418339
fantabulous	302351216
fantail	103326617
fantan	100493508 100508898
fantasia	107058289
fantasise	201640401 201640910
fantasist	110098195
fantasize	201640401 201640910
fantasm	105906160 109570240
fantast	110098309
fantastic	300970835 301681111 301800961 301943396 301949349
fantastical	300970835 301943396
fantastically	400032576
fantasy	105640291 105904666 106380048 201640910
fantasy life	105640772
fantasy world	105640889
fantods	114083307
fanweed	111919244
