feudal lord	110105505
feudal lordship	100604981
feudal system	107988872
feudalism	107988872
feudalistic	302737282
feudalize	200321821
feudally	400142621
feudatory	110766249 302337598 303077232
fever	107526619 114388761
fever blister	114155857
fever pitch	114060374
fever tree	111778952 112358134 112690123 113132099
fevered	300923395
feverfew	112043577
feverish	300086895 302555662 302737451
feverishly	400142519
feverishness	114388761
feverous	302555662
feverroot	112700637
few	108404805 301557242
few-flowered leek	112455139
fewer	301561009
fewest	301561779
fewness	105130363
fey	301580203 302083068
feynman	110990271
fez	103336022 108992415
fha	108440591
fhlmc	108401270
fiance	110105638
fiancee	110105739
fiasco	107380032
fiat	106551761
fiat money	113414772
fib	106769768 200836973
fibber	110679772
fibbing	100753487
fiber	103336189 104627573 105236952 107584383 114891040
fiber bundle	105483333
fiber optic cable	103336544
fiber optics	106291469
fiber-optic	302737745
fiber-optic transmission system	103336765
fiberboard	103336335
fiberglass	114890920
fiberoptic	302737745
fiberoptics	106291469
fiberscope	103336950
fibonacci number	113615111
fibonacci sequence	108390745
fibre	103336189 104627573 105236952 114891040
fibre bundle	105483333
fibre optic cable	103336544
fibre optics	106291469
fibre-optic	302737745
fibre-optic transmission system	103336765
fibreboard	103336335
fibreglass	114890920
fibreoptic	302737745
fibreoptics	106291469
fibril	114892009
fibrillate	200009877
fibrillation	100389851 114385584
fibrillose	302737999
fibrin	114758120
fibrinase	115097224
fibrinogen	115047723
fibrinolysin	115008333
fibrinolysis	113501379
fibrinopeptide	114766916
fibrinous	302738105
fibroadenoma	114261693
fibroblast	105455976
fibrocalcific	303021300
fibrocartilage	105296092
fibrocartilaginous	302738218
fibrocystic breast disease	114221862
fibrocystic disease of the breast	114221862
fibrocystic disease of the pancreas	114178988
fibroid	114261875
fibroid tumor	114261875
fibroma	114262010
fibromyositis	114369485
fibrosis	114231291
fibrositis	114369363
fibrosity	105029525
fibrous	302455307 302455448
fibrous astrocyte	105475574
fibrous dysplasia of bone	114389630
fibrous joint	105550526
fibrous tissue	105302494
fibrous-rooted begonia	112381051
fibrousness	105029525
fibrovascular bundle	113118708
fibula	105601956
fibular vein	105384187
fica	113331749
fice	102087671
fichu	103337118
fickle	300346106 300587124
fickleness	104886287
fictile	300848000 302370584 302738315
fiction	106378552 106770602
fictional	301942527 302738442
fictional animal	102454206
fictional character	109610740
fictionalisation	100932855 106378818
fictionalise	200116427 201638718
fictionalization	100932855 106378818
fictionalize	200116427 201638718
fictitious	301120599 301942527
fictitious character	109610740
fictitious name	106345523
fictitious place	105633662
fictitiously	400102808 400102917
fictive	300646782 301120599
ficus	112421627
ficus aurea	112422556
ficus bengalensis	112422853
ficus carica	112422189
ficus carica sylvestris	112422398
ficus deltoidea	112423580
ficus diversifolia	112423580
ficus elastica	112423345
ficus religiosa	112423101
ficus rubiginosa	112423781
ficus sycomorus	112424018
fiddle	104544161 200262200 201588939 201589199 201728768 201737548 202297950 202469127
fiddle with	201226775
fiddle-faddle	106620496
fiddle-shaped	302177609
