fumimaro konoye	111128757
fumitory	111929996
fumitory family	111929517
fun	100430934 101263236 104656618 106793739
fun run	107475360
funafuti	108859649
funambulism	100325804
funambulist	110135603
function	100721817 105156572 106594579 107461861 108269388 113803376 113806028 201098908 201528454 202676679
function call	106595162
function word	106302098
functional	301094001 301095421 301096682 301840741 302131634 302987805
functional anatomy	106069259
functional calculus	106175080
functional disorder	114076866
functional genomics	106084768
functional illiterate	110135750
functional magnetic resonance imaging	100904455
functionalism	105970910 106149505
functionalist	110135903
functionality	105158619
functionally	400347455
functionally illiterate	301424971
functionary	110392072
functioning	113546752 301095249
fund	108087686 113379722 113388243 202220288 202220572 202220748 202220865 202223417 202223706
fund raise	202222772
fund-raise	202222772
fund-raising campaign	100801931
fund-raising drive	100801931
fund-raising effort	100801931
fundament	103391862 105566889 105801562
fundamental	105727905 107342658 301280207 301862358 302170349
fundamental analysis	100650333
fundamental frequency	105727905
fundamental interaction	111536546
fundamental law	106545639
fundamental measure	113597072
fundamental particle	109294991
fundamental principle	105879984
fundamental quantity	113597072
fundamentalism	106226161 106241447
fundamentalist	110136027 111428554 302964572 302964788
fundamentalistic	302964572 302964788
fundamentally	400003864
fundamentals	105879984
fundamentals analysis	100650333
funded	301101986
funding	101101014 113386871
fundraise	202222772
fundraiser	107470250 110136135
funds	113377127
fundulus	101449642
fundulus heteroclitus	101449780
fundulus majalis	101449972
fundus	105272044
funeral	107466063
funeral chapel	103407856
funeral church	103407856
funeral director	110351554
funeral home	103407856
funeral march	107073068
funeral parlor	103407856
funeral parlour	103407856
funeral pyre	107980108
funeral undertaker	110351554
funeral-residence	103407856
funerary	302961925
funereal	301371380
funfair	100520389 108511241
fungal	302843563
fungal infection	114200377
fungi	113013224
fungi imperfecti	113016484
fungia	101920392
fungibility	104743169
fungible	103408084 300921070
fungicidal	302843703
fungicide	102723112
fungoid	302843854
fungous	302843563
fungus	113013628
fungus family	111611234
fungus genus	111612597
fungus gnat	102206244 102207374
fungus kingdom	113013224
fungus order	111615127
funguslike	302843854
funicle	111698650
funicular	102938025 302859543
funicular railway	102938025
funiculitis	114369685
funiculus	105272255 111698650
funk	107077625 111006018 114428014 202064997
funk hole	103408240
funka	112478024
funkaceae	112477755
funky	300267094 300612141 300858345 301057333
funnel	103408346 103408558 113895461 201446765
funnel shape	113895461
funnel web	103408788
funnel-crest rosebud orchid	112071983
funnel-shaped	302154712
funnies	107016468
funnily	400439274
funniness	106794240
funny	106792149 300971199 301268418 301923975 302555793
funny bone	105588293
funny farm	102823933
funny house	102823933
funny remark	106792149
funny story	106792149
funny wagon	103408927
funrun	107475360
fuqra	108043292
fur	101901703 103409064 114788240
fur coat	103409161
fur hat	103409270
fur seal	102079804 102080310
fur-bearing	301872079
fur-piece	103411669
furan	114900469
furane	114900469
furbelow	103402368
furbish	201248659
furbish up	200261534
furcate	200329612
furcation	113909417
furcula	101897996
furfural	114900624
furfuraldehyde	114900624
furfuran	114900469
furious	300115265 300304943 302521586
furiously	400225764 400225897 400226035
furiousness	105044968
furl	200436806
furled	300254335
furlike	300215525
furlong	113672690
furlough	115164392 200750809 202408679
furnace	103409359
furnace lining	103409810
furnace room	103410021
furnariidae	101555164
furnarius	101555295
furnish	202332196 202341479
furnished	301100683
furnishing	100609736 103410175 103410505
furniture	103410635
furniture company	108019967
furniture maker	109905318
furnivall	111006268
furor	100555032 105759170
furore	100555032 105759170
furosemide	103411507
furred	300215593
furrier	109949319
furring	103411748 114336769
furring strip	103411748
furrow	103411876 113928798 201279995 201280213 201280348
furrowed	302251550
furry	300215593
furry tongue	114335228
further	202560130 202560630 300446005 400030035 400030381 400030839
furtherance	100250647 107266652
furthermore	400029763
furthermost	300445635
furthest	300445635 400031050 400031310
furtive	301710564 302096119
furtively	400106857
furtiveness	104664988
furuncle	114206692
furunculosis	114250970
fury	105044968 107532236 109529469 114415281
furze	112595371
fusain	103011428
fusanus	112757215
fusanus acuminatus	112757363
fusarium wilt	114306925
fuschia	104971976
fuscoboletinus	113078605
fuscoboletinus paluster	113078797
fuscoboletinus serotinus	113079032
fuscous	300376152
fuse	103412032 103412279 200395719 200397903 200398098 201140255
fused	302486112
fusee	103412032 103412526 103412654 103412775
fusee drive	103412775
fusel oil	114991965
fuselage	103412964
fusible	301510064
fusible metal	114741006
fusiform	301815898
fusil	103413174
fusilier	110136236
fusillade	100990406 201140008
fusion	100381376 100700770 105945279 107388202 113506728 113506970 114442066
fusion bomb	103558428
fusion cooking	100247948
fusion reactor	104429544
fuss	100556175 107199395 107387165 114427176 201797944 202556213
fuss-budget	110811818
fussily	400181065
fussiness	104707547 107568195
fusspot	110811818
fussy	300987815 301139748 301799712
fustian	103413250 107101969
fustigate	201426760
fusty	300577235 301057614
futile	301872762 302507270
futilely	400031610
futility	105158102
futon	103413354
futtock shroud	103413531
future	103413631 106341394 115146567 301298098 301736519 301890452 303004422
future date	115185123
future perfect	113829390
future perfect tense	113829390
future progressive	113829615
future progressive tense	113829615
future tense	106341394
future-day	301737104
futureless	301233394
futures contract	106492394
futures exchange	103413828
futures market	103413828
futurism	106218977 108485095
futurist	110098309 110136359 303004602
futuristic	303004602
futuristics	106145556
futurity	105057081 115146567
futurology	106145556
fuze	103412032
fuzee	103412032 103412526 103412654
fuzz	105269393 105949132 109898610 113110851
fuzzed	300215757
fuzziness	104711694
fuzzy	300215757 300467576 300785203
fuzzy logic	106176210
fws	108156270
fyodor dostoevski	110960661
fyodor dostoevsky	110960661
fyodor dostoyevsky	110960661
fyodor mikhailovich dostoevski	110960661
fyodor mikhailovich dostoevsky	110960661
fyodor mikhailovich dostoyevsky	110960661
g	106844869 113611530 113650222 113650416 113670214 113745822 113772984 114854134 114916289
g clef	106875855
g suit	102723487
g-force	113670214
g-jo	100711591
g-man	110153370
g-string	103468985
g. b. shaw	111315926
g. e. moore	111209699
g. k. chesterton	110915026
g. l. von blucher	110873528
g. r. kirchhoff	111125935
g. stanley hall	111044904
g.i.	201536503
ga	109098347 114662434 115090692
ga.	109098347
gaap	108162878
gab	107149788 200743542
gaba	114630468
gabapentin	103413980
gabardine	103263433 103361927 103414207
gabble	106623345 201038676
gabbro	114956783
gabby	302392645
gaberdine	103263433
gabfest	107149788
gable	103414303 111006433
gable end	103414303
gable roof	103414501
gable wall	103414303
gabled	301224173
gabon	108965302
gabon franc	113699994
gabonese	109729437 303078253
gabonese republic	108965302
gaboon viper	101755821
gabor	111006558
gaboriau	111006706
gaborone	108871677
gabriel	109562505
gabriel daniel fahrenheit	110985143
gabriel lippmann	111154456
gabriel tellez	111363328
gabriele fallopius	110985958
gabriello fallopio	110985958
gabun	108965302
gad	104297397 114404122 201886682
gadaba	106994785 109693897
gadabout	110136562
gaddafi	111270277
gaddi	103414716
gadfly	102195661 110439375
gadget	102732963
gadgeteer	110136674
gadgetry	103414830
gadidae	102524547
gadiformes	102523872
gadoid	102524277
gadoid fish	102524277
gadolinite	114699730
gadolinium	114662219
gadsden	109076696
gadus	102524878
gadus macrocephalus	102525497
gadus merlangus	102525741
gadus morhua	102525353
gaea	109583891
gael	109707629
gaelic	106973306 302969369
gaelic-speaking	300499671
gaetan vestris	111385295
gaetano donizetti	110959352
gaff	103414932 103415057 103415213
gaff topsail	103415481
gaff-headed sail	103415333
gaffe	100077016
gaffer	110123978 110136811 110396589
gaffsail	103415333
gafsa	109060645
gag	103415650 106790941 200077211 200077359 200077451 200855640 201287286 201573390 202195389
gag law	106550403 106679574
gag line	106791616
gag order	106569576
gag reflex	100868101
gag rule	106679574
gaga	300889690 301649738
gagarin	111006862
gage	103434198 103997192 201141530
gaggle	108008558 201058652
gagman	110136924 110137072
gagster	110136924
gagwriter	110136924
gai choi	111899102
gaia	109583891
gaiety	107527278 107544633
gaillardia	111991055
gaillardia pulchella	111991315
gaily	400164435
gain	105116624 105164957 113275704 113776433 200045868 200157270 200158030 201113439 202024442 202293158 202294200 202295422 202297086
gain ground	201113439
gain vigor	200023466
gainer	100444902 110137168 110137396
gainesville	109095643
gainful	301877441
gainfully	400348511
