gyneolatry	101047230
gynne	111040884
gynobase	111697194
gynoecium	113114611
gynogenesis	113511690
gynophobia	114405564
gynophore	111697301
gynostegium	111695855
gynura	111995569
gynura aurantiaca	111995723
gyp	100781071 202578494
gypaetus	101619930
gypaetus barbatus	101620084
gyps	101619611
gyps fulvus	101619736
gypsophila	111830659
gypsophila paniculata	111830827
gypsum	114701939
gypsum board	103964056
gypsy	106982496 109642482 110173755 110237501
gypsy cab	103478060
gypsy dancing	100534073
gypsy moth	102288741
gypsy rose lee	111144462
gypsyweed	112912403
gypsywort	112873330
gyral	302860789
gyrate	202050704 202053139
gyration	100343581 107455579
gyre	113898609
gyrfalcon	101614441
gyrinidae	102180028
gyro	103478350 107713995
gyro horizon	102748616
gyrocompass	103478201
gyromitra	113058166
gyromitra brunnea	113059337
gyromitra californica	113058345
gyromitra esculenta	113058828
gyromitra fastigiata	113059337
gyromitra gigas	113059504
gyromitra infula	113059136
gyromitra sphaerospora	113058565
gyroplane	102762392
gyroscope	103478350
gyroscopic	303082963
gyrostabiliser	103478588
gyrostabilizer	103478588
gyrus	105500078
gyrus cinguli	105504243
gywn	111040884
h	105019456 106844976 113612326 113660884 114664612
h-bomb	103558428
h-shaped	302155337
h. g. wells	111401188
h. h. munro	111216617
h. j. eysenck	110984253
h. l. mencken	111193021
h. pylori	101354329
h.i.	109101671
h.m.s. bounty	102882125
h.p.	113666489
h2o	114869913
ha	113911476
ha'p'orth	113683150
ha'penny	113411698
ha-ha	104363510 107142619
haart	103253263
haastia	111995951
haastia pulvinaris	111996127
habacuc	106452159
habakkuk	106452159 111041096
habanera	100534359 107069652
habeas corpus	105190721 106566364
habenaria	112085497
habenaria albiflora	112086762
habenaria bifolia	112098445
habenaria chlorantha	112098673
habenaria dilatata	112086519
habenaria elegans	112086952
habenaria fimbriata	112087131
habenaria greenei	112087322
habenaria hookeri	112087530
habenaria lacera	112087694
habenaria leucophaea	112087934
habenaria nivea	112088173
habenaria orbiculata	112088318
habenaria peramoena	112088639
habenaria psycodes	112088933
habenaria unalascensis	112089116
haber	111041174
haber process	113511886
haber-bosch process	113511886
haberdasher	109950230
haberdashery	103056449 103478827
haberdashery store	103056449
habergeon	103478940
habiliment	103055525
habilimented	300456473
habilitate	200047662 200301770
habit	100415192 100949739 103479089 103479290 105676878 113512112 200048819
habit-forming	300048006
habitability	104729507
habitable	301426724
habitableness	104729507
habitant	109643248
habitat	108598111
habitation	101056469 103264208 108598331
habited	300458154
habitual	300491482
habitual abortion	100231570
habitual criminal	110531018
habitually	400212077
habituate	200274244 201167359
habituation	100195680 114086207
habitude	100416013
habitue	110536998
habitus	105005695 114554658
hablot knight browne	110886325
habsburg	108172201
hacek	106836139
hachiman	109557954
hachure	104689154
hacienda	103479475 113273294
hack	102381621 102384784 102384856 102934150 103479590 110174170 110174309 110298502 200006100 200201982 200527521 201150567 201150665 201259737 201260381 202594436
hack driver	110713142
hack on	200527521
hack saw	103479902
hack writer	110174309
hack-driver	110713142
hackamore	103485802
hackberry	107762014 112429736
hackbut	102745075
hackee	102362567
hackelia	112840713
hacker	110174170 110174440 110174709
hackle	101901100 201599893
hackles	107533239
hackmatack	112752595
hackney	102388876 103479758
hackney carriage	103479758
hackney coach	103479758
hackneyed	301693210
hacksaw	103479902
hackwork	100624099
had best	202729439
had crime	100771184
hadal	302985938
haddock	102526508 107805517
hadean	115154524 301307016
hadean aeon	115154524
hadean eon	115154524
hadean time	115154524
hades	105637164 109593427
hadith	100417422 105677025
hadj	105923628
hadji	110175844
hadrian	111041338
hadrian's wall	108907041
hadron	109323580
hadrosaur	101708575
hadrosauridae	101708358
hadrosaurus	101708575
haecceity	105930646
haeckel	111041663
haem	115049564
haemagglutinate	201224406
haemagglutination	113513339
haemal	302861194
haemal arch	105595464
haemangioma	114271057
haemanthus	112440840
haemanthus coccineus	112441227
haematal	302861194
haematemesis	100120030
haematic	302861368
haematinic	103519105
haematite	114929871
haematobia	102202004
haematobia irritans	102202154
haematocele	114340648
haematochezia	113513490
haematocoele	114340648
haematocolpometra	114340860
haematocolpos	114340989
haematocrit	103519273 113843978
haematocytopenia	113997079
haematocyturia	114289902
haematogenesis	113513656
haematogenic	302750332
haematohiston	115050509
haematoidin	114780548
haematological	302928783
haematologist	110190353
haematology	106060665
haematolysis	113514416
haematoma	114342141
haematopodidae	102039518
haematopoiesis	113513656
haematopoietic	302750332
haematopus	102039636
haematoxylon	112517240
haematoxylum	112517240
haematoxylum campechianum	112517454
haematuria	114337747
haemic	302861368
haemitin	115049564
haemodialysis	100651786
haemodoraceae	112332411
haemodorum	112332793
haemogenesis	113513656
haemoglobin	115048807
haemoglobinemia	114215385
haemoglobinopathy	114215516
haemoglobinuria	114337910
haemolysin	114930412
haemolysis	113514416
haemolytic	303019038
haemolytic anaemia	114188722
haemophile	110190661
haemophilia	114193819
haemophilia a	114194254
haemophilia b	114194469
haemophiliac	110190661
haemophilic	302861711
haemopis	101941259
haemopoiesis	113513656
haemopoietic	302750332
haemoproteid	101427423
haemoproteidae	101427248
haemoprotein	114913035
haemoproteus	101427579
haemoptysis	114215681
haemorrhage	114311737
haemorrhagic	302750977
haemorrhagic fever	114200905
haemorrhagic stroke	114312063
haemorrhoid	114350534
haemorrhoidectomy	100677936
haemosiderin	115051530
haemosiderosis	114338024
haemosporidia	101426398
haemosporidian	101426612
haemostasia	100678077
haemostasis	100678077
haemostat	103519595
haemothorax	114344240
haemulidae	102590738
haemulon	102591210
haemulon album	102591424
haemulon aurolineatum	102591692
haemulon macrostomum	102591575
haemulon malanurum	102591826
haemulon parra	102591946
hafnium	114663734
haft	103480019
haftarah	106464789
haftorah	106464789
hag	101481152 110175045
hag-ridden	302467274
hagada	106474681
haganah	108362293
hagberry	112668548
hagberry tree	112668321
hagbut	102745075
hageman factor	115097058
hagerstown	109117503
hagfish	101481152
haggada	106474681
haggadah	106474681
haggai	106452607 111041912
haggard	111041997 300992194 302441812
haggardly	400505079
haggis	107885087
haggle	107164846 202264354
haggler	110175160
haggling	107164846
hagia sofia	103480241
hagia sophia	103480241
hagiographa	106464994
hagiographer	110175252
hagiographist	110175252
hagiography	106528233
hagiolatry	101048181
hagiologist	110175252
hagiology	106388623
hagridden	302467274
hahn	111042156
hahnium	114660701
haick	103480544
haida	106923014 109675414
haifa	108815914
haik	103480544
haiku	106392118
hail	106643557 109323811 111485929 200863389 200902139 200902262 202749089 202765073
hail mary	106468185
hail-fellow	301079552
hail-fellow-well-met	301079552
haile selassie	111042305
hailstone	114939955
hailstorm	111486087
haiphong	109187210
hair	101902791 103480797 105261857 105262259 113110851 113783743
hair ball	109323950
hair care	100258095
hair cell	105249965
hair coloring	100276151 104983455 115013061
hair curler	103154898
hair drier	103488399
hair dryer	103488399
hair dye	115013061
hair follicle	105525908
hair gel	104455013
hair grass	112174431
hair grease	103480946
hair mousse	103799669
hair of the dog	107928966
