hard water	114929573
hard wheat	112162967
hard worker	110629072
hard-and-fast	302516312
hard-baked	300620129
hard-bitten	302457696
hard-boiled	300620202 301159329 302457696
hard-boiled egg	107857615
hard-cooked egg	107857615
hard-core	300944644 300965214 301029225
hard-fought	300751084
hard-hitting	300083766 300838498
hard-line	301029765
hard-nosed	301947268
hard-of-hearing	300685696
hard-on	114061667
hard-pressed	302466610
hard-shell clam	101960679 107802832
hard-shell crab	101980651
hard-shelled	302606941
hard-skinned puffball	112989891
hard-to-please	300714186
hardback	103497492 300201850
hardbacked	300201850
hardbake	107614193
hardball	100475780 106205153
hardboard	115127022
hardbound	300201850
hardcore	300944644 300965214
hardcover	103497492 300201850
harden	200273709 200295901 200303656 200444071 200444339
hardenbergia	112554497
hardenbergia comnptoniana	112554713
hardened	301155594 301159329 301462080 301525661 302456852
hardening	100403597 113512263 114387837
hardening of the arteries	114131806
hardfisted	301117247
hardheaded	301947268 302336289
hardheads	111969125
hardhearted	300509204 301161527
hardheartedness	107521388
hardihood	104866016
hardiness	104866016 105038178
harding	111048442
harding grass	112150677
hardinggrass	112150677
hardline	301029765
hardliner	110179781
hardly	400002669 400003317 400092166
hardly a	301557851
hardness	104647089 104717864 104851856 104944764 104945025
hardpan	114869748
hardscrabble	300108062
hardship	104717403 107351363 114499245
hardstem bulrush	112173550
hardstemmed bulrush	112173550
hardtack	107710584 115125137
hardtop	103498320
hardware	103498434 103498765 103498893
hardware error	107314408
hardware store	103499012
hardwareman	110236360
hardwood	115124679
hardworking	300758203
hardy	111048671 111048776 300250985 302046401 302046711
hare	102329084 107682266 202089251
hare and hounds	100461139
hare krishna	107048566 108114732 109704611
hare wallaby	101880976
hare's-foot bristle fern	112973229
hare's-foot fern	113209166
harebell	112057797 112479780
harebrained	302582476
haredi	108114497
hareem	103499206
harefoot	111049450
harelip	114237837
harem	103499206
hargeisa	109021419
hargreaves	111049001
haricot	107743717 112577943
haricot vert	107744561
haricots verts	107744561
harijan	110759538
harikari	100224229
hark	202194034
hark back	200961556
harkat ul-ansar	108039725
harkat ul-mujahedeen	108039725
harkat-ul-jihad-e-islami	108039419
harkat-ul-mujahidin	108039725
harken	202194034
harlan f. stone	111339805
harlan fisk stone	111339805
harlan fiske stone	111339239
harlan stone	111339805
harlean carpenter	111049128
