inexpensiveness	105153986
inexperience	105997841
inexperienced	300940009
inexperienced person	109644529
inexperient	300940009
inexpert	301876586
inexpertly	400275957
inexpiable	301726188
inexplicable	300942374
inexplicably	400035878
inexplicit	300944754
inexplicitness	104832050
inexpressible	300947206
inexpressibly	400373649
inexpressive	300503635
inexpressively	400336764
inexpugnable	300572182
inexpungeable	300901921
inexpungible	300901921
inextensible	300948226
inexterminable	300902107
inextinguishable	300951152
inextirpable	300902107
inextricable	300948414
inextricably	400375685
infallibility	104812364
infallible	300968095
infamous	301991476
infamy	114462478 114464696
infancy	114450643 115170546
infant	109846929
infant death	114333719
infant deathrate	115310840
infant feeding	101059973
infant mortality	115310840
infant mortality rate	115310840
infant prodigy	109938325
infant school	108294630
infant's-breath	112687130
infanticide	101253079 110224452
infantile	301496164 301652631 302759609
infantile amaurotic idiocy	114192846
infantile autism	105905862
infantile fixation	114526956
infantile paralysis	114163658
infantilism	100740170 114531389
infantry	108407114
infantryman	110224540
infarct	114231043
infarction	114231043
infatuate	201764521
infatuated	301468558
infatuation	105821211 107496224 107559739
infeasibility	105160606
infeasible	301829060
infect	200088465 200089502 200606893 202586322
infected	302121107
infection	104818548 104858652 106293036 107375247 113519607 113519869 114198031
infectious	301305746 302122026 302843955
infectious agent	109335749
infectious disease	114150693
infectious hepatitis	114154143
infectious mononucleosis	114158759
infectious polyneuritis	114377027
infectiously	400303849
infective	301171978 302122026
infective agent	109335749
infelicitous	301004300 301055513
infelicitously	400341175
infelicity	104729327
infer	200594917 200637723 200638236 200946956 201024429
inference	105782611
inferential	300588444 300727230 301300082 301300273 302759724
inferior	106833078 110224850 302305084 302348283 302353767 302357217 302358391 302450200
inferior alveolar artery	105343063
inferior cerebellar artery	105348520
inferior cerebral vein	105369745
inferior colliculus	105508116
inferior conjunction	107429996
inferior court	108349823
inferior epigastric vein	105373549
inferior labial artery	105356649
inferior labial vein	105379172
inferior mesenteric artery	105359516
inferior ophthalmic vein	105382512
inferior planet	109335905
inferior pulmonary vein	105385801
inferior rectus	105324224
inferior rectus muscle	105324224
inferior thalamostriate vein	105390691
inferior thyroid vein	105391134
inferior vena cava	105430196
inferior vocal cord	105538504
inferior vocal fold	105538504
inferiority	104737838 105172702 113974662
inferiority complex	107498260
infernal	110224963 300673178 301136015 301306711 302870142 302986357
infernal machine	104443966
infernal region	105637164 105637465
infernally	400133342
inferno	105637465 107318315 108600365
infertile	301005778
infertility	114068989
infest	202024265 202660680 202660781
infestation	108012854 114476082
infidel	110185987
infidelity	104886056
infield	102802752
infielder	110225076
infiltrate	201917356 201917525 201917700 202440481
infiltration	100978784 113555477
infiltrator	110225333 110225452
infinite	100028950 300005717 300302805 301010943 301012335
infinitely	400226558 400226881
infiniteness	105216592
infinitesimal	105872631 301396483
infinitesimal calculus	106023090
infinitival	302948631
infinitive	106329897
infinitude	105216592 113798260
infinity	115268787
infirm	301999637 302047640
infirmary	103545775
infirmity	114571235
infix	106320262 201301131 201424276
infix notation	106826879
inflame	200063328 200063495 201764964 202767330 202767643
inflamed	300059287 300271362 301180649
inflaming	101264205
inflammability	104719844
inflammable	300475648
inflammation	100379287 101264205 114060493 114359944
inflammatory	301180790 301903445
inflammatory bowel disease	114364496
inflammatory disease	114195164
inflatable	300950727
inflatable cushion	102690398
inflate	200257003 200264920 200265272 200563600 200563959
inflated	300884272 301856374
inflater	103574674
inflation	100368106 104825154 107423855 113520031
inflation rate	115304320
inflation therapy	100664957
inflationary	302549370
inflationary spiral	113520596
inflator	103574674
inflect	200984325 200984546
