lady-of-the-night	112919926
lady-slipper	112076686
ladybeetle	102168108
ladybird	102168108
ladybird beetle	102168108
ladybug	102168108
ladyfinger	107652566
ladyfish	102544648
ladylike	301955543
ladylikeness	104675178
ladylove	110263081
ladyship	106354347
laelia	112090517
laertes	109615908
laetrile	114911784
laevulose	114899083
lafayette	109108375 109114110 111134046
laffer	111134275
laffer curve	107017854
laffite	111134413
lafitte	111134413
lafora's disease	114111420
lag	101069501 104314407 115297873 201341732 201515677 202001894 202500005
lag b'omer	115224241
lag bolt	103639177
lag screw	103639177
lagan	103638765
lagarostrobus	111676215
lagarostrobus colensoi	111676425
lagarostrobus franklinii	111676574
lagenaria	112186520
lagenaria siceraria	112186645
lagend	103638765
lagenophera	112008191
lager	103635148 107903609
lager beer	107903609
lagerphone	103638923
lagerstroemia	112349537
lagerstroemia indica	112349777
lagerstroemia speciosa	112349990
laggard	110012790 300984258
lagger	110012790
lagging	114811102
lagidium	102370330
lagniappe	113292820
lagodon	102594874
lagodon rhomboides	102595001
lagomorph	102326101
lagomorpha	102325838
lagoon	109351652
lagophthalmos	114222628
lagopus	101798863
lagopus scoticus	101799160
lagorchestes	101880844
lagos	108996974
lagostomus	102370645
lagostomus maximus	102370768
lagothrix	102496888
laguna	109351652
laguncularia	112345610
laguncularia racemosa	112345751
lagune	109351652
lah	106882036
lahar	107419892
lahore	108999798
lahu	106945656
laic	302064630
laicise	200535174
laicize	200535174
laid	301685966
laid low	302556155
laid paper	114958665
laid up	302556254
laid-back	302416807
laid-off	300868071
lair	108608955
laird	110263279
laissez faire	105971803
laissez passer	106703153
laissez-faire	300298763
laissez-faire economy	108381886
laity	108170001
laius	109620652
lake	109351810 115015571 115015673
lake albert	109352967
lake albert nyanza	109352967
lake aral	109353139
lake baikal	109265673
lake balaton	109235842
lake baykal	109265673
lake bed	109353284
lake bottom	109353284
lake canandaigua	109255433
lake cayuga	109262487
lake chad	109353373
lake champlain	109353510
lake chelan	109265862
lake clark national park	108624622
lake constance	109275672
lake district	108893639
lake duck	101854372
lake dwelling	103639325
lake edward	109353819
lake erie	109353972
lake eyre	109300819
lake geneva	109354234
lake herring	102542204 107811435
lake huron	109354441
lake ilmen	109354560
lake keuka	109348152
lake kivu	109349205
lake ladoga	109354725
lake leman	109354234
lake malawi	109355300
lake mead	103639480
lake michigan	109354956
lake nasser	109355152
lake nyasa	109355300
lake okeechobee	109400773
lake onega	109355504
lake ontario	109355676
lake poets	108485732
lake powell	103639760
lake saint clair	109355882
lake salmon	102538390
lake seneca	109453004
lake st. clair	109355882
lake superior	109356077
lake tahoe	109266115
lake tana	109356240
lake tanganyika	109356418
lake trasimenus	101285678
lake trout	102540641 107810995
lake tsana	109356240
lake urmia	109356612
lake vanern	109356811
lake victoria	109356955
lake volta	103640014
lake whitefish	102542055
lake winnipeg	109503558
lakefront	109354157
lakeland	108893639
lakeland terrier	102098222
lakeshore	109355796
lakeside	109355796
lakh	113773544
lakota	109689336
lakshmi	109550225
lallans	106963162
lallation	106622496 114425892
lally	103640190
lally column	103640190
lallygag	202645159
lalthyrus tingitanus	112562548
lam	100061021 201418847 202079296
lam into	201245101
lama	102440456 110263361
lama guanicoe	102440804
lama pacos	102440903
lama peruana	102440602
lamaism	106251955
lamaist	109703730
lamarck	111134781
lamarckian	110263488 303025417
lamarckism	106120033
lamasery	103640323
lamaze method	113527322
lamaze method of childbirth	113527322
lamb	102415086 107682896 110263569 110263685 111135019 200057988
lamb chop	107683719
lamb curry	107840167
lamb roast	107683960
lamb succory	111948209
lamb's lettuce	112971556
lamb's-quarter	107749688
lamb's-quarters	111849046
lamb-chop	107683719
lambast	200826456 201414858
lambaste	200826456 201414858
lambchop	107683719
lambda	105240931 106848256
lambda hyperon	109357172
lambda particle	109357172
lambdacism	114426029
lambency	104961711
lambent	300280198
lambert	111135121 113661999
lambert-eaton syndrome	114102638
lambertia	112240392
lambertia formosa	112240536
lambis	101946008
lambkill	112258590
lambkin	102415275
lamblike	300700450
lamboid suture	105552208
lambrequin	103640399 103640527
lambskin	114783182 114789195
lame	103640621 110662386 200091399 301022380 302333032
lame duck	110263805
lamedh	106850945
lamella	103640743 105333608 113032439
lamellar mixture	114953800
lamellate placentation	111702334
lamellibranch	101958574 302493756
lamellibranchia	101958104
lamellicorn beetle	102174105
lamellicornia	102173906
lamely	400387593
lameness	114496484 114573529
lament	106391191 107064659 107226610 200913303 201806201
lamentable	301130672
lamentably	400093820
lamentation	101074160 107226610
lamentations	106450147
lamented	301382914
lamenter	110354959
lamenting	301368701
lamia	109567238
lamiaceae	112858787
lamina	105588560
lamina arcus vertebrae	105588792
laminal	300210205
laminar	300210205
laminar flow	111542257
laminar flow clean room	103640807
laminaria	101405925
laminariaceae	101405693
laminariales	101405472
laminate	103640959 201234951 201367834 201394192 201628703
laminated glass	114906521
lamination	100928738 103641223
laminator	110263923
laminectomy	100683991
laminitis	114372300
lamisil	104419862
lamium	112869630
lamium album	112870039
lamium amplexicaule	112870176
lamivudine	103641353
lammas	115215063
lammas day	115215063
lammastide	115215259
lammergeier	101620084
lammergeyer	101620084
lamna	101486348
lamna nasus	101486471
lamnidae	101485829
lamp	103641539 103641940
lamp chimney	103642182
lamp house	103642318
lamp housing	103642318
lamp oil	114711794
lamp shade	103642609
lamp shell	102318139
lampblack	114817703
lamper eel	101480166
lamphouse	103642318
lamplight	111493360
lamplighter	110264056
lamplit	300272832
lampoon	106793148 200854367
lampoon artist	110264200
lampooner	110420697
lamppost	103642472
lamprey	101480166
lamprey eel	101480166
lampridae	102548200
lampris	102548318
lampris guttatus	102548659
lampris regius	102548472
lampropeltis	101736914
lampropeltis getulus	101737278
lampropeltis triangulum	101737449
lampshade	103642609
lampshell	102318139
lampyridae	102170773
lan	103686803
lanai	103642794 109102531
lanai island	109102531
lanate	300216232
lancashire	108905033
lancaster	108172664 108893496
lancastrian	109723453 109723553 303090721 303090888
lancastrian line	108172664
lance	103642932 104278001 104278258 201606806 201607040 202089405
lance corporal	110264362
lance-shaped	302155524
lancelet	101470445
lancelike	302176106
lancelot	111135283
lanceolate	302176106
lanceolate leaf	113179284
lanceolate spleenwort	113203835
lancer	110264515
lancers	100541653
lancet	103642932 103643101
lancet arch	103643101
lancet fish	102546905
lancet window	103643212
lancet-shaped	302155602
lancetfish	102546905
lancewood	111716919 111717075
lancewood tree	111716919 112385802
lanchou	108744415
lanchow	108744415
lancinate	300807002
lancinating	300807002
land	100454755 108183451 108185877 108562388 108574028 109357302 109358146 111135548 113267561 113270947 114538407 200135665 201983915 201985050 201985293 201985450 202091423 202363526
land agent	110264610 110529403
land area	105136135
land cress	111894314
land development	100950456
land grant	113275596
land line	103644811
land mass	109358822
land mile	113672836
land mine	103644989
land of enchantment	109137349
land of lincoln	109105071
land of opportunity	109081737
land office	103645194
land rail	102018451
land reform	100261724
land resources	113353305
land site	108668822
land tax	113333591
land tenure	113263617
land up	200353212 201480518
land-office business	101098902
landau	103643328 111135775
landed	300270624
landed estate	113267561
landed gentry	108404416
lander	103643494 109182751
landfall	100882109 109358599
landfill	109358715
landgrave	110264726
landholder	110265336
landholding	113268257 113268344
landing	100053154 100053320 103643635 103643825
landing approach	100282596
landing craft	103643937
landing deck	103368062
landing field	102690851
landing flap	103644057
landing gear	103644197
landing net	103644391
landing party	108282268
landing place	103643635
landing skid	103644544
landing stage	103644674
landing strip	102695929
landlady	110264853
landler	100542375 107069963
landless	300270760
landline	103644811
landlocked	300466101
landlocked salmon	102538390
landlord	110264933
landlord's lien	113423143
landlubber	110265038 110265204
landlubberly	301571118
landman	110265204
landmark	105237687 107273987 107432451 108642466
landmass	109358822
landowner	110265336
landowska	111135919
landrover	103600138
landry's paralysis	114377027
landscape	103645325 103645480 106219675 108664477 201745102 201755644
landscape architect	110265560
landscape architecture	106134103
landscape gardener	110265560
landscape gardening	100922974
landscape painting	103645325
landscaped	301292206
landscaper	110265560
landscaping	100922974 103645602
landscapist	110265560 110265873
landside	103645770
landslide	107420011 107489325
landslip	107420011
landsmaal	106967508
landsmal	106967508
landsman	110265038 110265204
landsteiner	111136107
landward	400387726
landwards	400387726
lane	103645903 103645974
lane's prince albert	107758391
laney	111136274
lang syne	400022855
langbeinite	114704043
lange	111136456
langlaufer	110266014
langley	111136632 113631114
langmuir	111136865
langobard	109722740
langouste	101987336 107809236
langoustine	107809497
langsat	112720061
langset	112720061
langside	101285882
langston hughes	111085096
langsyne	115277446 400387850
langtry	111137098
language	105658665 105816565 106293304 106315049 107066015 107123904
language area	105497046
language barrier	105699928
language learning	105762896
language lesson	100730776
language requirement	105901750
language school	108299871
language system	107293750
language teaching	100889840
language unit	106294878
language zone	105497046
languas speciosa	112378002
langue d'oc	106978186
langue d'oc french	106978186
langue d'oil	106978029
langue d'oil french	106978029
languedoc-roussillon	108962553
languid	300879513
languidly	400387954
languish	200093345 200390663 201809651
languisher	110266092
languor	104643310 107499249 107531461 111468109
languorous	300879513
languorously	400388085
langur	102490922
laniard	103646616 103646765 103646883
laniary	302688598
laniidae	101601073
lanius	101601461
lanius borealis	101601910
lanius excubitor	101601800
lanius lucovicianus	101602197
lanius ludovicianus excubitorides	101602029
lanius ludovicianus migrans	101602382
lank	300992786 301437716
lankiness	105005865
lanky	300992683 302394060
lanolin	103646164 114840351
lanoxin	103202488
lansa	107761779
lansat	107761779
lanseh	107761779
lanseh tree	112720061
lanset	107761779
lansing	109123918
lansium domesticum	112720061
lansoprazole	114801436
lantana	112935900
lantern	103646302
lantern fly	102262639
lantern jaw	105607785
lantern pinion	103646448
lantern slide	104244879
lantern wheel	103646448
lantern-fly	102262639
lantern-jawed	301881810
lanternfish	102545886
lanthanide	114648921
lanthanide series	114649475
lanthanoid	114648921
lanthanon	114648921
lanthanotidae	101694025
lanthanotus	101694166
lanthanotus borneensis	101694293
lanthanum	114667296
lanugo	105263422
lanyard	103646616 103646765 103646883
lanzhou	108744415
lao	106948371 109739190 303091231
lao people's democratic republic	108976533
lao-tse	111137297
lao-tzu	111137297
lao-zi	111137297
laocoon	109620315
laos	108976533
laotian	109739190 303091055
laotian capital	108976837
laotian monetary unit	113702928
lap	100151411 100296016 103647020 103647261 105570228 114538643 200218002 201173263 201434809 202192644 202698039
lap choly	100670505
lap covering	103647261
lap joint	103647887
lap of honour	100296389
lap of luxury	114515700
lap of the gods	114538779
lap up	201173263
lap-jointed	300913999
lap-strake	300317724
lap-straked	300317724
lap-streak	300317724
lap-streaked	300317724
laparocele	114320908
laparoscope	103647458
laparoscopic cholecystectomy	100670505
laparoscopy	100684265
laparotomy	100684109
lapboard	103647655
lapdog	102087924
lapel	103647758
lapful	113790390
lapidarian	300318526
lapidarist	110266400
lapidary	110266208 110266400 302840123
lapidate	201235118 201326182
lapidation	101166884
lapidator	110678832
lapidify	200508566
lapidist	110266208
lapin	102327166 114789503
lapis lazuli	114953935
laplace	111137441
lapland	108976985
laportea	112414459
laportea canadensis	112414635
lapp	106972167 109739429
lappet	102310562 103648030 105479079
lappet caterpillar	102310685
lappet moth	102310562
lappic	106972001
lapping	103566837
lappish	106972001
lappland	108976985
lapplander	109739429
lappula	112840713
lapse	100069153 100075344 115296403 200093079 200204947 200352478 201976145 202076777 202308741
lapsed	301789111
lapsing	100069153
laptev sea	109358958
laptop	103648120
laptop computer	103648120
laputa	105638322
laputan	302508026 303091379
lapwing	102027417
laramie	109182849
larboard	103648242 302041149
larcener	110266610
larcenist	110266610
larcenous	104883130
larceny	100782543
larch	111639312 111639587
larch tree	111639312
lard	107688166 200958437 201683564
lard oil	114954035
larder	103891232 107588181
lardizabala	111723674
lardizabala family	111723468
lardizabalaceae	111723468
lardner	111137734
laredo	109167820
large	105103453 300174652 300530075 300581973 301118400 301385012 302024095 302170722 400227289 400388211 400388297
large calorie	113748672
large cap	108075961
large civet	102138262
large crabgrass	112137843
large cranberry	112266402
large indefinite amount	113779864
large indefinite quantity	113779864
large integer	113767560
large intestine	105543117
large magellanic cloud	109359177
large number	113797293
large order	100799384
large periwinkle	111798726
large person	110266741
large poodle	102116544
large tooth aspen	112754975
large white	102283788
large white petunia	112930374
large yellow lady's slipper	112077948
large-cap	302765390
large-capitalisation	302765390
large-capitalization	302765390
large-flowered calamint	112864076
large-flowered fiddleneck	112837889
large-flowering magnolia	111730605
large-grained	302239100
large-headed	301187727
large-hearted	301375875
large-leafed	301706706
large-leaved	301706706
large-leaved aster	111954932
large-leaved cucumber tree	111731456
large-leaved magnolia	111731456
large-minded	300287703
large-mouthed	301391261
large-scale	301391352 301391476
large-toothed aspen	112754975
largeleaf holly	112779085
largely	400006486 400065759
largemouth	102567955
largemouth bass	102567955 107793711
largemouth black bass	102567955
largemouthed bass	102567955
largemouthed black bass	102567955
largeness	104796210 105111246 105113617 105626076
larger	301386690
larger-than-life	301388944
largess	104839947 113286648
largesse	104839947 113286648
larghetto	107060795 300986495
larghissimo	300986592
largish	301386791
largo	107060601 300986387 400065886
lari	102043352 113722767
lariat	103649692
laricariidae	102523022
larid	102043739
laridae	102043526
larium	103748219
larix	111639201
larix decidua	111640296
larix laricina	111639678
larix lyallii	111640138
larix occidentalis	111639906
larix russica	111640467
larix siberica	111640467
lark	100430307 101530258 101531295 101575715 201887709
lark about	201887709
larkspur	111753781
larn	200599310
larodopa	114629310
larotid	102706753
larousse	111138062
larrea	112743644
larrea tridentata	112743822
larrup	201423582
lars onsager	111235374
larus	102044146
larus argentatus	102044700
larus canus	102044332
larus marinus	102044529
larus ridibundus	102044834
larva	102313712
larvacea	101472928
larvacean	101473120
larvacide	114624315
larval	301493965 303025679
larvicide	114954211
laryngeal	302893299
laryngeal artery	105357454
laryngeal vein	105379936
laryngectomy	100684467
laryngismus	100228004
laryngitis	114372448
laryngopharyngeal	302893439
laryngopharyngitis	114372613
laryngopharynx	105536792
laryngoscope	103648463
laryngospasm	114124439
laryngostenosis	114130305
laryngotracheobronchitis	114372716
larynx	105537362
las cruces	109138546
las vegas	109133578
lasagna	107716798 107886143
lasagne	107716798 107886143
lasalle	111138195
lascar	109199239 110266873
lascaux	109359322
lascivious	302140561
lasciviously	400388378
lasciviousness	107505354
lasek	100681426
laser	103648567
laser beam	111506081
laser printer	103649051
laser trabecular surgery	100681589
laser-assisted in situ keratomileusis	100681764
laser-assisted subepithelial keratomileusis	100681426
laser-guided bomb	103648805
lash	100135394 103649221 105322469 201306367 201400686 201413739 201881939
lash out	200864347
lash together	201290140
lash-like	303026626
lash-up	103649562
lasher	110266947
lashing	101165537 103649387 302522263
lashings	113799721
lashkar-e-jhangvi	108047234
lashkar-e-omar	108047464
lashkar-e-taiba	108047773
lashkar-e-tayyiba	108047773
lashkar-e-toiba	108047773
lasik	100681764
lasiocampa	102309324
lasiocampid	102309085
lasiocampid moth	102309085
lasiocampidae	102308811
lasiurus	102148716
lasiurus borealis	102148853
lasix	103411507
laskar jihad	108048139
lass	110267055
lassa	108927150
lassa fever	114159438
lassa virus	101333493
lassen volcanic national park	108624787
lassie	110267055
lassitude	105049292 107499249 114038461
lasso	103649692 111138352 201607172
last	101267160 103649846 107306517 113639461 113740283 113872345 115168236 115292365 202624202 202710788 300004295 300231668 300350996 301013868 301016876 301214767 301415749 301583536 301734561 400066148 400066222
last but not least	400066363
last day	115196354
last frontier	109077478
last gasp	115293504
last half	115282990
last hurrah	100213527
last in first out	100621498
last judgement	115196354
last judgment	115196354
last laugh	107489458
last mentioned	301051451
last mile	100292130
last minute	115269753
last name	106348274
last not least	400066363
last out	202625202
last quarter	115232226
last resort	100179821
last respects	101231839
last rites	101032184 101041669
last straw	101224523
last supper	101037536
last word	104820943 106423856 106662531
last-ditch	301583712
last-minute	301907761
last-place	300231668
lastex	103650012
lasthenia	112008425
lasthenia chrysostoma	112008601
lasting	301442370 301758923 301762851 302299232
lastingly	400066500
lastingness	105060839
lastly	400066222
lastreopsis	113218568
laszlo lowestein	111158914
lat	105566755
latakia	109056877 114739762
latanier	112610448
latanier palm	112610448
latch	103650172 103650325 201289380
latch on	200591761 200603507 201218758
latchet	103650482
latchkey	103650604
latchkey child	110267216
latchstring	103650725
late	300098527 300820050 300822804 300824290 301734051 301734676 301907298 400100817 400108184 400307214 400307328
late blight	114241158
late greek	106989747
late latin	106976313
late purple aster	111956756
late-blooming	301258602
late-flowering	301258602
late-night hour	115193127
late-ripening	301258787
late-spring-blooming	301257679
latecomer	110267417
lateen	103650891 301097217
lateen sail	103650891
lateen-rig	103651044
lateen-rigged	301097217
lately	400108184
latency	114506436 115298227 115322312
latency period	115171220
latency phase	115171220
latency stage	115171220
lateness	105054210
latent	300038575 300044828
latent content	106612008
latent diabetes	114143578
latent heat	111491497
latent hostility	114004081
