law enforcement	101130458
law enforcement agency	108365742
law firm	108080875
law merchant	108472048
law of action and reaction	105894873
law of archimedes	105883323
law of areas	105888463
law of averages	105889322
law of chemical equilibrium	105886019
law of closure	106259551
law of common fate	106259815
law of conservation of energy	106114185
law of conservation of mass	106114451
law of conservation of matter	106114451
law of constant proportion	105889461
law of continuation	106260338
law of definite proportions	105889461
law of diminishing returns	105889709
law of effect	105889910
law of equal areas	105888463
law of equivalent proportions	105890185
law of gravitation	105890474
law of independent assortment	105893591
law of large numbers	105883755
law of mass action	105891144
law of moses	108472531
law of motion	105894229
law of multiple proportions	105890833
law of nations	108471014
law of nature	105881589
law of parsimony	105999623
law of partial pressures	105885076
law of proximity	106260901
law of reciprocal proportions	105890185
law of segregation	105893343
law of similarity	106261163
law of the land	108471456
law of thermodynamics	105891400
law of volumes	105886836
law offender	110774117
law officer	110269156
law practice	100633347
law school	108299972
law student	110269566
law-abiding	301398826
law-breaking	100767761
law-makers	108180172
lawbreaker	110774117
lawcourt	103654773
lawful	301398622 301404228 301410239 301966617
lawfully	400253289 400365014
lawfully-begotten	301409825
lawfulness	104817036
lawgiver	110268967
lawless	300602836 301399338 301399508
lawlessly	400155669
lawlessness	104818378 113996506
lawmaker	110268967
lawmaking	101128014
lawman	110269156
lawn	108609148
lawn bowling	100463865
lawn cart	102800454
lawn chair	103655000
lawn furniture	103655123
lawn mower	103655235
lawn party	108272429
lawn tennis	100483309
lawn tool	103423152
lawrence	109111114 111140136 111140358 111140520 111140623 111140824 111141098
lawrence durrell	110966278
lawrence george durrell	110966278
lawrence of arabia	111140824
lawrence peter berra	110868542
lawrencium	114667501
laws	106463561
lawson's cedar	111655884
lawson's cypress	111655884
lawsuit	101185144
lawton	109154954
lawyer	110269647
lawyer bush	112674197
lawyer cane	112607486
lawyer-client relation	113861861
lawyerbush	112674197
lax	300641863 300759003 302412395 302413956
laxation	100148682 113480291
laxative	103655410 300640879
laxity	104673773 114569644
laxly	400389158
laxness	104673773 114569644
lay	106389921 107063753 201496967 201547474 201547861 201655514 202312241 301875925 302064630
lay aside	202270824
lay away	202310836
lay claim	202280210
lay down	200667394
lay eyes on	202134625
lay figure	103656008
lay hands on	201214588
lay in	202285938
lay into	201245101
lay off	202408679 202686624
lay on the line	202551275
lay out	200408773 200712869 200775012 201476839 202371574
lay over	201471892 202659017
lay reader	110270409
lay to rest	202461925
lay up	200513563
lay waste to	200389306
lay witness	110270570
lay-by	104027138
lay-up	100112480
layabout	110217586
layby	104027138
layer	101465900 101795800 103655499 106257026 108609236 201264677
layer cake	107648978
layered	300210341
layette	103655877
layia	112008888
layia platyglossa	112009065
laying	113527680
laying claim	100083690
laying on	100139261
laying on of hands	100166614 100701125
laying waste	100218640
layman	110270224
layoff	100230681
layout	101012843 105845595
layover	101058335
layperson	110270224
layup	100112480
lazar	110274367
lazar house	103656129
lazaret	103656129
lazarette	103656129
lazaretto	103445800 103656129
lazarus	110270699 110270822
laze	202422604
lazily	400363577 400389429
laziness	100760148 101066537 104644465
lazio	108824587
lazuli	114953935
lazuline	104976419
lazy	300295445 300984495
lazy daisy stitch	103656299
lazy susan	104509132
lazybones	110271026
lazzaro spallanzani	111329444
lb	113742201
lbf.	113669802
lbj	111108336
lcd	103682085
lcm	105869223
ld.	108202129
ldl	114967147
ldl cholesterol	115083554
le	114244620
le carre	111142815
le chatelier	111142967
le chatelier principle	105892295
le chatelier's law	105892295
le chatelier's principle	105892295
le chatelier-braun principle	105892295
le corbusier	111143114
le douanier rousseau	111292962
le duc tho	111143429
le gallienne	111144821
le havre	108956076
le notre	111147001
lea	108633625 113676189
leach	113527790 200489553 202075555 202075765
leaching	113527790
leacock	111141441
lead	101258857 101259362 103610056 103656410 103656591 103658258 105058239 105164526 105835238 106281532 106281845 106664322 108609721 110668135 113617665 113915822 114667645 200773677 200815452 201736802 202003250 202003455 202003830 202445109 202561616 202641740 202642040 202691775 202692313 202692467 202693227
lead acetate	115013810
lead arsenate	114624418
lead astray	200856102 202004320 202586477
lead bank	108435842
lead by the nose	200840873
lead carbonate	115122289
lead chromate	114836102
lead colic	114093537
lead glass	114906268
lead line	103657273
lead off	200349400 202586477
lead on	200786003 202581157
lead ore	114957801
lead pencil	103657426
lead plant	112524811
lead poisoning	114093377
lead sheet	106828316
lead story	106281845
lead tetraethyl	114624537
lead time	115314760
lead tree	111782902
lead up	200540626
lead-acid accumulator	103656714
lead-acid battery	103656714
lead-colored	300399543
lead-coloured	300399543
lead-free	301400256
lead-in	103656931 106281532
leadbelly	111143252
leaded	301064003 301399805 301660555
leaded bronze	114957707
leaded gasoline	114711422
leaded petrol	114711422
leaden	300464282 300811237 300841295 301193396 302764784
leader	103239498 109646208
leaders	108398167
leadership	101259004 105625093 108398167 114456827
leading	101259004 103656591 300200496 301475933 302347411 302500309
leading astray	100161117
leading edge	103657065
leading indicator	106653626
leading lady	110271114
leading light	110295935
leading man	110271214
leading off	100161117
leading question	107210425
leading rein	103657169
leading tone	106871589
leadless	301400130
leadplant	112524811
leadwort	112119041
leadwort family	112118444
leaf	103657552 106266806 113173519 200095501 202094104 202157453
leaf beet	107736022 111853140
leaf beetle	102172149
leaf blade	113152642
leaf blight	114241379
leaf bud	113186184
leaf bug	102240076
leaf cast	114241640
leaf disease	114241539
leaf fat	114888976
leaf form	113885010
leaf insect	102234875
leaf lard	114888976
leaf lettuce	107740399 112007595
leaf miner	102200781
leaf mold	114958049
leaf mould	114958049
leaf mustard	107729508 111899102
leaf node	113174985
leaf roller	102286876
leaf scorch	114305760
leaf shape	113885010
leaf soil	114958049
leaf spring	103657715
leaf-book	106419015
leaf-cutter	102214096
leaf-cutter bee	102214096
leaf-cutting bee	102214096
leaf-foot bug	102242720
leaf-footed bug	102242720
leaf-like	301706996
leaf-miner	102200781
leaf-nosed bat	102144365
leaf-nosed snake	101732313
leaf-roller	102286876
leafage	113173519
leafed	301706810
leafhopper	102261864
leafing	113504393
leafless	301707947
leaflet	105396968 106425532 113174872
leaflike	301706996
leafnose bat	102144365
leafstalk	113152377
leafy	301704867
leafy liverwort	111563556
leafy spurge	112940607
leafy vegetable	107725078
leafy-stemmed	300322433
league	108248105 108322044 113673684 200369717
league of iroquois	108322207
league of nations	108212263
league together	202434925
leak	107229845 107451261 109359954 113527930 114308083 200258995 200530839 200938201 200939053
leak fungus	112994822
leak out	200938201
leakage	107451261
leaker	110271309
leakey	111141630 111141866 111142104
leakiness	114601417
leakproof	301401869
leaky	300498304 300594806 301400390
leal	300965324
lean	105075249 200690162 201609495 202042202 202042858 202725274 300991420 301878342 302034381 302345258
lean against	201592928
lean back	202043001
lean on	201592928
lean-to	103658055
lean-to tent	103658152
leander	109577634
leaner	100106444
leaning	100071183 105075249 106209296 107514352 301237400
leaning tower	103657856
leaning tower of pisa	103657856
leanness	105008647 105120762
leap	100121022 105093947 107373585 107428822 200561468 201967949 201969163 202109360
leap day	115184386
leap out	201970508 202680375
leap second	115260131
leap year	115227065
leaper	109888577
leapfrog	100487009 100487141 200250074 201969918
leaping	100121022
lear	109624223 111142429
learn	200599310 200600349 200601387 200605971 200830768 200922307
learned	300833590 301641174 302091504
learned person	110226506
learned profession	100611641
learned reaction	100866213
learned response	100866213
learnedly	400331730
learnedness	105994884
learner	109821287 110271476
learner's dictionary	106431400
learner's permit	106562754
learning	105760541 105994884
learning ability	105625839
learning curve	107018078
learning disability	114084170
learning disorder	114084170
leary	111142569
lease	106535123 113269292 115299849 202213319 202213685 202465622 202466042
lease giver	110274793
lease-lend	101111019
leased	300361121
leasehold	113270053
leaseholder	110271772
leash	101148201 103658258 113766184 201291758
least	105679370 301560454 400112501
least bittern	102014839
least common multiple	105869223
least effort	100625676
least of all	400112653
least resistance	100625676
least sandpiper	102030011
least shrew	101896040
least squares	106030362
leastways	400105348
leastwise	400105348
leather	114783901 201401336
leather carp	101442801
leather fern	113221884 113227076
leather flower	111751219 111751402
leather soap	104131865
leather strip	103658546
leather-leafed	301707080
leather-leaved	301707080
leatherback	101668182
leatherback turtle	101668182
leathered	302455138
leatherette	103658436
leatherfish	102656742
leatherjack	102580293
leatherjacket	102314977 102580293 102656742
leatherleaf	112254835 113194386
leatherleaf fern	113221884
leatherleaf saxifrage	112820029
leatherleaf wood fern	113214934
leatherlike	302455138
leatherneck	110313800
leatherwood	112368156 112771527
leatherwork	103658702
leathery	302455138
leathery grape fern	112982153
leathery polypody	113194386
leathery turtle	101668182
leave	100053917 106702859 115164090 200136799 200360745 200614532 200615374 202013448 202019450 202233837 202301114 202361226 202388582 202641740 202727313 202735289 202736010
leave alone	200136799
leave behind	200136799 200360745 202085825
leave no stone unturned	201318869
leave of absence	115164090
leave off	200573738 200617464 202689901
leave office	202387509
leave out	200616690 200617464
leave-taking	100053917
leaved	301706810
leaven	105878029 114958169 201979601
leavened	301402752
leavening	105878029 114958169
leaver	110024201
leaving	100043495
lebanese	109739991 303092047
lebanese hizballah	108040127
lebanese monetary unit	113716930
lebanese pound	113717041
lebanese republic	108977154
lebanon	108977154
lebensraum	113800742
lebistes	101451137
lebistes reticulatus	101451235
leboyer method	113528109
leboyer method of childbirth	113528109
lecanopteris	113196898
lecanora	113008918
lecanoraceae	113008594
leccinum	113079207
leccinum fibrillosum	113079368
lech	110572408
lech after	201832198
lech walesa	111390985
lechanorales	113008412
lechatelierite	114903901
lecher	110572408
lecherous	302140785
lecherousness	107504854
lechery	100858362
lechwe	102430222
lecithin	114704201
leclanche cell	103658780
lectern	103658909
lectin	114913225
lector	110271919 110272051
lecture	100894541 106726869 107255209 200826456 200832422
lecture demonstration	100894768
lecture room	103659066
lecturer	110271919 110272244
lectureship	100595261
lecturing	100894541
lecythidaceae	112347726
led	103671688
leda	109624393
ledbetter	111143252
lede	106281532
ledercillin vk	103917370
lederhosen	103659159
ledge	109360159
ledgeman	109893070
ledger	103169877 113425421
ledger board	103659301
ledger entry	113426469
ledger line	106875449
ledger paper	114958367
ledum	112258823
ledum groenlandicum	112259008
ledum palustre	112259430
lee	108609908 111143580 111143752 111143884 111144078 111144290 111144462 111144637 301403241
lee buck trevino	111368807
lee de forest	110947175
lee harvey oswald	111238143
lee krasner	111130386
lee side	108609908
lee strasberg	111341046
lee tide	107418201
lee trevino	111368807
lee yuen kam	111144290
lee's birthday	115207404
leech	101940550 110272371 200085829
leech onto	201359844
leechee	107782149
leechlike	300730167
leeds	108899255
leek	107738784 112454744
leer	104687384 106729422 202168719
leering	300227000 302141007
leery	302473505
lees	109360312
leeuwenhoek	111149798
leeward	108609908 113852047 301403102 400095742
leeward islands	108767280
leeward side	113852179
leeward tide	107418201
leeway	104757264 113528413
leflunomide	103659412
left	100351994 103659700 105573181 108433285 108643037 300929746 302036816 302038342 302040360 400389570
left atrioventricular valve	105401156
left atrium	105400972
left atrium of the heart	105400972
left bank	108952857
left brain	105484764
left coronary artery	105351761
left field	100725684 103659700
left fielder	110407285
left gastric artery	105353526
left gastric vein	105380068
left hand	105573181
left hander	110272618
left hemisphere	105484764
left over	300929746
left stage	108643259
left ventricle	105399320
left wing	108433285
left-eyed	300957343
left-hand	302036816 302040730
left-handed	300063822 300103995 300444272 301409933 301411212 302036545
left-handed pitcher	110272618
left-handedness	105074536 113976574
left-hander	110272618 110272819
left-luggage office	103015546
left-of-center	302038742
left-slanting	302292626
left-wing	302038742
left-winger	110638692
lefteye flounder	102663647
lefteyed flounder	102663647
leftfield	100725684 103659700
lefthander	110272618
leftish	302038655
leftism	106228396
leftist	110638692 302038742
leftmost	302040857
leftover	113833396 300929746
leftovers	107579074
lefty	110272618 110272819
leg	100307726 100308002 103659902 103660152 103912225 105568420 105569140 107671114 113936864
leg bone	105601792
leg covering	103660398
leg curl	100631508
leg curling	100631508
leg exercise	100631151
leg extensor	100631641
leg it	201910315
leg of lamb	107684333
leg-pull	100516170
