lessen	200151509 200233328 200442400
lessened	301278055 301523663
lessening	107370487
lesseps	111149276
lesser	301396681 301398493
lesser anteater	102463759
lesser antilles	108766113
lesser ape	102485723
lesser bullrush	112176634
lesser burdock	111945130
lesser butterfly orchid	112098445
lesser calamint	112864317
lesser celandine	111741806
lesser centaury	112311660
lesser duckweed	111815518
lesser galangal	112377617
lesser hemlock	112951991
lesser knapweed	111969125
lesser kudu	102427235
lesser omentum	105437417
lesser panda	102512446
lesser peritoneal cavity	105435713
lesser prairie chicken	101801480
lesser rhomboid muscle	105583005
lesser rorqual	102068060
lesser scaup	101854372
lesser scaup duck	101854372
lesser spearwort	111742111
lesser sunda islands	108861575
lesser twayblade	112091978
lesser whitethroat	101567719
lesser wintergreen	112277039
lesser yellow trefoil	111773406
lesser yellowlegs	102031105
lessing	111149468 111149655
lesson	100730583 100891150 106618397 106685497
lessor	110274793
lester willis young	111423688
lesvos	108801435
let	100570110 108047773 200120604 200497754 200773535 200803980 202213685 202427979
let alone	200136799 400063907
let down	201802947 201977139
let drive	201136801
let fly	201136801
let go	201477180 202742938
let go of	201477180
let in	202454712 202508185
let it go	202376330
let loose	200985856 201478166
let off	200895399
let on	200935783
let out	200304721 200935783 200985856 201477931
let the cat out of the bag	200939238
let up	200156084 200245945
letch	110572408
letdown	107555990
lethal	300997235
lethal agent	109361267
lethal dose	103663151
lethal gene	105446532
lethality	104798291
lethargic	300879020
lethargic encephalitis	114367140
lethargically	400390494
lethargy	104643310 105049292 114038461
lethe	109361359
leto	109601011
letter	106636668 106719443 106841868 107188040 110274904 201696338 201696474 202295310
letter bomb	103663244 201135914
letter bond	113441895
letter box	103715732 103995432 103996568
letter carrier	110302734
letter case	103663428
letter of credit	113400926
letter of intent	106639367
letter of jeremiah	106471120
letter of mark and reprisal	106562882
letter of marque	106562882
letter of the alphabet	106841868
letter opener	103663511
letter paper	106269505 114958896
letter security	113440708
letter stock	113441717
letter telegram	106285872
letter writer	109986084
letter-perfect	300634911
lettercard	106640632
lettered	300833590
letterer	110275045
letterhead	106269680
lettering	106417342
letterman	110275156
letterpress	106691409
letters	105760419 105995180
letters of administration	106543472
letters of marque	106562882
letters patent	106563618
letters testamentary	106543648
letterset printing	106693658
letting	113269292
letting down	100328509
lettish	106959117
lettre de cachet	106560101
lettuce	107739304 112006775 113406389
letup	115299427
leu	113707580 113724336
leucadendron	112240764
leucadendron argenteum	112241013
leucaemia	114266404
leucaena	111782706
leucaena glauca	111782902
leucaena leucocephala	111782902
leucanthemum	112010105
leucanthemum lacustre	112011096
leucanthemum maximum	112010636
leucanthemum superbum	112010782
leucanthemum vulgare	112010338
leucine	114959266
leuciscus	101443590
leuciscus cephalus	101443913
leuciscus leuciscus	101443758
leucocyte	105457535
leucocytosis	114219703
leucocytozoan	101427864
leucocytozoon	101427864
leucogenes	112011273
leucogenes leontopodium	112011389
leucoma	114281065
leucopenia	114219887
leucorrhea	105425165
leucothoe	112260164
leucothoe editorum	112260397
leucothoe fontanesiana	112260397
leucothoe racemosa	112260667
leucotomy	100685381
leuctra	101286246
leukaemia	114266404
leukemia	114266404
leukeran	103025214
leukocyte	105457535
leukocytosis	114219703
leukoderma	114252730
leukoencephalitis	114366707
leukoma	114281065
leukopenia	114219887
leukorrhea	105425165
leukotomy	100685381
leuwenhoek	111149798
lev	113707914
lev davidovich bronstein	111369313
lev davidovich landau	111135775
lev ivanov	111095342
levallorphan	103663699
levant	108934932 114787397 202078021
levant cotton	112197226
levant garlic	112452861
levant morocco	114787397
levanter	111493433
levantine	109740098 303092290
levator	105300235
levee	103663961 103664085 108271548
level	103370837 103541528 103664184 105101152 105139167 106257026 113962925 114451564 200357303 200966269 201154680 201155362 201309802 201665698 300895536 300913184 300914205 301235977 302310218
level best	105132193
level crossing	103664448
level off	200357303
level-headed	301950705
leveler	110275264
levelheaded	301950705
leveling	100045411 100218912 100914407
leveller	110275264
lever	103664618 103665012 103665135 201596175
lever hang	100437757
lever lock	103665276
lever scale	104319292
lever tumbler	103665012
leverage	101101851 105163864 111493538 202364689 202364838
leveraged buyout	100176023
leveraging	101101851
leveret	102329415
levi	111184661
levi's	103665450
levi-lorrain dwarf	110456225
levi-strauss	111150103
leviathan	109519933 110275425
levirate	105677462
levis	103665450
levisticum	112960820
levisticum officinale	112960986
levitate	201948111 201948325
levitation	100325525 107377667 111428847
levite	110275612
levitical	302766171
leviticus	106444705
levitra	104528723
levity	104656106 107527145
levodopa	114629310
levorotary	300444272
levorotation	107456094
levorotatory	300444272
levulose	114899083
levy	101160551 113329886 201100863 202311442
levy en masse	101160551
lewd	300427259 302140561
lewdly	400390651
lewdness	104910545
lewis	111150281 111150464 111150651 111150930 111151125 111151348
lewis and clark expedition	108426280
lewis carroll	110903813
lewis henry morgan	111211103
lewisia	111880450
lewisia cotyledon	111880677
lewisia rediviva	111881024
lewiston	109104486 109115765
lexeme	106317024
lexical	302897933 302898173
lexical ambiguity	104832807
lexical database	106651393
lexical disambiguation	107186317
lexical entry	106311813
lexical meaning	106614326
lexical semantics	106190128
lexicalisation	113528675
lexicalise	200964222
lexicalised	302766297
lexicalization	113528675
lexicalize	200964222
lexicalized	302766297
lexicalized concept	105882491
lexically	400137473
lexicographer	110275777
lexicographic	302921121
lexicographical	302921121
lexicography	100933536
lexicologist	110275777
lexicology	106188528
lexicon	105659087 106430544
lexicostatistic	302892550
lexicostatistics	106189290
lexington	101286428 109112347 109119875
lexington and concord	101286428
lexis	105658913
ley	108633625
leycesteria	112693604
leycesteria formosa	112693773
leyden	108970850
leyden jar	103660796
leydig cell	105467033
leydig's cell	105467033
leymus	112144875
leymus arenaria	112140056
leymus condensatus	112139907
leyte	101286617
leyte invasion	101286617
leyte island	101286617
lf	105064533
lgb	103648805
lgv	114161043
lh	114773451
lhasa	102101065 108927150
lhasa apso	102101065
lhotse	109361618
li	113676292 114667971 302198975
li po	111154105
liabilities	113417227
liability	105168909 114513903 114554005
liability insurance	113368080
liable	301414776 302004683 302370732 302374933
liaise	200763001
liaison	106271913 113954922
liakoura	109408479
liam o'flaherty	111232659
liana	113140970
liao	108172953
liao dynasty	108172953
liaodong bandao	109361816
liaodong peninsula	109361816
liar	110276234
liatris	112011549
liatris punctata	112012018
liatris pycnostachya	112012246
