lingeringly	400393893
lingo	107171981
lingonberry	107760033 112270059
lingua	105308571
lingua franca	106918892
lingual	107134229 302840711 302853330
lingual artery	105357804
lingual vein	105380267
lingually	400131610
lingualumina	106909737
linguica	107693810
linguine	107716284
linguini	107716284
linguist	110283916 110284134
linguistic	302853330 302854103
linguistic atlas	106438910
linguistic communication	106293304
linguistic competence	105161144
linguistic context	106295551
linguistic geography	106178419
linguistic performance	100098871
linguistic process	105816565 113529536
linguistic profiling	106899705
linguistic relation	113819354
linguistic rule	107274440
linguistic scientist	110284134
linguistic string	107026850
linguistic unit	106294878
linguistic universal	107274652
linguistically	400131610 400131928
linguistics	106180756 106182505
linguistics department	108133854
lingulate	302054156
lingvo kosmopolita	106909818
liniment	103678920
linin	105444124
lining	100828901 100829040 103678596 103679093
link	103679297 103679596 104049875 106271913 106598647 113676395 113814904 113893444 114442568 200715072 201357376 201494709 202628315
link trainer	103680057
link up	200715072 201357376 202628315
link-attached station	104082403
link-attached terminal	104082403
linkage	100149798 103679766 104930201 113814791
linkage editor	106588552
linkage group	105446676
linkboy	110284625
linked	300569425
linked genes	105446676
linking verb	106484495
linkman	110284625
links	103679917
links course	103451472
linksman	110156479
linkup	103679297
linnaea	112693939
linnaea borealis	112694089
linnaea borealis americana	112694349
linnaean	302840895
linnaeus	111153541
linnean	302840895
linnet	101533985 101535470
lino	114962527
linocut	103680168 103680272
linoleic acid	114962081
linolenic acid	114962337
linoleum	114962527
linoleum cutter	103680402
linoleum knife	103680402
linolic acid	114962081
linosyris vulgaris	111954708
linotype	103680561
linotype machine	103680561
linseed	115110814
linseed oil	115110919
linsey-woolsey	103680771
linstock	103680884
lint	103681106 114962605
lintel	103508377
lintwhite	101533985
linum	112506902
linuron	114962716
linus carl pauling	111246923
linus pauling	111246923
linux	106581031
linz	108865731
liomys	102352382
liomys irroratus	102352499
lion	102131817 108704559 109772126 110284767
lion cub	101325389
lion marmoset	102493738
lion monkey	102493738
lion's beard	111758221
lion's foot	112017878
lion's-ear	112871854
lion-hunter	110284897 110284978
lion-jaw forceps	103681233
lionel barrymore	110855305
lionel hampton	111047123
lionel trilling	111369087
lioness	102132115
lionet	102132182
lionfish	102646196
lionhearted	300265044
lionise	202404098
lionize	202404098
lions club	108252948
liopelma	101647919
liopelma hamiltoni	101648107
liopelmidae	101647734
liothyronine	105421216
lip	101944179 102905554 105313305 106734698 111712326
lip balm	103681332
lip fern	113229603
lip off	200827437
lip reader	110285087
lip rouge	103681809
lip service	106772787
lip sync	100912231
lip synch	100912231
lip synchronisation	100912231
lip synchronization	100912231
lip-gloss	103681413
lip-read	200629632
lip-shaped	302155692
lip-sync	201042792
lip-synch	201042792
lipaemia	114217407
liparidae	102649615
liparididae	102649615
liparis	102649774 112090882
liparis liparis	102649924
liparis loeselii	112091213
lipase	114962825
lipchitz	111153768
lipectomy	100683333
lipemia	114217407
lipfern	113229603
lipid	114963045
lipid granulomatosis	114257199
lipid-lowering medication	103681501
lipid-lowering medicine	103681501
lipidaemia	114217407
lipide	114963045
lipidemia	114217407
lipidosis	114217193
lipitor	102757426
lipizzan	102382704
lipless	301709128
liplike	301708873
lipmann	111153928
lipo-hepin	103520118
lipo-lutin	114770227
lipochondrodystrophy	114180645
lipogram	107027301
lipoid	114963045
lipoid granulomatosis	114257199
lipoidaemia	114217407
lipoidemia	114217407
lipoma	114262804
lipomatosis	114139281
lipophilic	300494522
lipoprotein	114963368
liposarcoma	114264723
liposcelis	102263938
liposcelis divinatorius	102264071
liposomal delivery vector	109362574
liposome	105527943
liposuction	100683496
lipotropic	300494522
lipotyphla	101891462
lipped	301708526
lippi	111154186 111154329
lippizan	102382704
lippizaner	102382704
lippmann	111154456 111154610
lipread	200629632
lipreading	100884232
lipscomb	111154720
lipstick	103681809 200041148 201693484
lipstick plant	112851549
liquaemin	103520118
liquefaction	113529854
liquefiable	302269741
liquefied	301510205 302269929
liquefied petroleum gas	114902634
liquefy	200444939 200445264 202763262
liquescent	301083666
liqueur	107924183
liqueur glass	103681949
liquid	107134351 114504004 114964238 114964524 300434168 300781576 301143332 301508720 301509670 302269142 302482846
liquid air	114964994
liquid assets	113354062
liquid bleach	114965090
liquid body substance	105404811
liquid crystal	114965225
liquid crystal display	103682085
liquid detergent	103682352
liquid diet	107579365
liquid ecstasy	104260861
liquid measure	113636045
liquid metal reactor	103682441
liquid nitrogen	114964888
liquid oxygen	114672704
liquid pred	114777593
liquid soap	103682557
liquid state	114504004
liquid unit	113636045
liquid-fueled	301102744
liquidambar	112336817 112336961 112337370
liquidambar styraciflua	112337089
liquidate	201329983 202259303 202261397 202357015
liquidation	100224587 100229402 101247608
liquidator	110285229 110358420
liquidise	200445264
liquidiser	102853991
liquidity	104744670 104944220 114504004
liquidity crisis	114512496
liquidize	200445264 202252366
liquidizer	102853991
liquidness	104944220 114504004
liquifiable	302269741
liquified	301509670 301510205 302269929
liquify	200444939 200445264
liquor	107600292 107917827 114965368
liquor licence	106563061
liquor license	106563061
liquor store	103877049
liquorice	107622970 112553391
lir	109532902
lira	113708481 113709265 113717294
liriodendron	111732622
liriodendron tulipifera	111732751
liriope	112493516
liriope muscari	112493676
lis pendens	101187210
lisboa	109008436
lisbon	109008436
lise meitner	111191604
lisinopril	103682634
lisle	103682866 103683008
lisle thread	103682866
lisp	106914712 114426167 200984210
lisp compiler	106586308
lisp program	106914885
lisper	110285498
lispingly	400394078
lissom	301143790
lissome	301143790
lissomeness	105011256
list	105075249 106492991 200947885 200948787 202042636 202042858 202477646
list price	113326092
list processing	113530033
list system	105913210
list-processing language	106914712
listed	301421158
listed security	113442073
listen	202174335 202175483 202577816
listen in	202174748 202194160
listener	110185041
listening	100883837
listening watch	100882935
lister	103683092 110285588 111154885
lister plough	103683092
lister plow	103683092
listera	112091451
listera convallarioides	112091760
listera cordata	112091978
listera ovata	112092245
listeria	101369724
listeria meningitis	114160548
listeria monocytogenes	101369849
listeriosis	114160548
listing	101013108 106492991
listless	300879774 302289672
listlessly	400394150
listlessness	104644238 107499249
liston	111155034
lisu	106945511
liszt	111155226
lit	106179204 300272446 300477115
lit crit	106179522
litany	106469112 107255423
litas	113723720
litchee	107782149
litchi	107782149 112765147
litchi chinensis	112765147
litchi nut	107782149
litchi tree	112765147
