long-acting	301443205
long-ago	301644266
long-armed	300147877
long-beard	102828382
long-billed marsh wren	101587928
long-bodied	300631273
long-branched	300616743
long-chain	302841108
long-chain molecule	109366172
long-clawed prawn	101990368
long-dated	301443296
long-distance	300448367 302767666
long-distance call	106284745
long-distance runner	110312630
long-eared bat	102151487
long-eared owl	101627474
long-faced	300237323
long-familiar	300969356
long-fin tunny	102629667
long-haired	300216404
long-handled	301437841
long-handled spade	103219153
long-head coneflower	112027665
long-headed	300263571
long-horned beetle	102171351
long-horned grasshopper	102230618
long-jawed	302607560
long-lasting	301442370
long-legged	302394419
long-legs	102037315
long-life	301443515
long-lived	301442370
long-neck clam	101959976 107803405
long-play	300984646
long-playing	300984646
long-range	301437935 301443763
long-run	301443874
long-shanked	302394419
long-snouted	301438064
long-spurred	302606537
long-spurred violet	112410449
long-stalked	302394873
long-standing	301444145
long-staple	301438165
long-staple cotton	114894476
long-sufferance	105040446
long-suffering	105040446 301740633
long-tailed porcupine	102350225
long-tailed weasel	102445299
long-term	301443874
long-term memory	105768874
long-time	301644403
long-wearing	302131477
long-winded	300551456
long-windedly	400494741
long-windedness	107104300
long-wool	301438274
long-wooled	301438274
longan	112764112
longanberry	107782385 112764112
longanimity	104647895
longanimous	301740820
longar palm	112606390
longbeard	102828382
longboat	103693146
longbow	103693254
longbowman	110290474
longcase clock	103457538
longed-for	302537648
longer	110290575 400394594
longest	400394686
longevity	104935067 105058885
longfellow	111157918
longfin mako	101487088
longhand	106361681 302293473
longheaded thimbleweed	111746614
longhorn	102407084
longicorn	102171351
longicorn beetle	102171351
longing	107501768
longingly	400391325
longish	301443448
longitude	108614224
longitudinal	301443650 301448449 302841230
longitudinally	400130452 400390113 400390283
longleaf pine	111636418
longlegs	102037315
longness	105058752 105140552
longroot	111826838
longshoreman	110674608
longshot	103693642
longsighted	301901363 302165009
longsightedness	114577603
longstanding	301444145
longtail weasel	102445299
longtime	301644403
longueur	115159006
longways	100540547 400390113
longways dance	100540547
longwise	400390113
longwool	102416855
longyi	103703247
lonicera	112694516
lonicera albiflora	112695245
lonicera canadensis	112695446
lonicera caprifolium	112695656
lonicera dioica	112695861
lonicera flava	112696060
lonicera hirsuta	112696276
lonicera involucrata	112696477
lonicera japonica	112696637
lonicera japonica halliana	112696895
lonicera morrowii	112697131
