pale chrysanthemum aphid	102256043
pale coral root	112074664
pale violet	112410616
pale yellow	104974118
pale-colored	300400984
pale-faced	300237505
pale-hued	300400984
paleacrita	102289856
paleacrita vernata	102290004
paleencephalon	105489781
palely	400418906 400419049
paleness	104982879 104984514 104984828
paleo-american	110414133
paleo-american culture	108308259
paleo-amerind	110414133
paleo-amerind culture	108308259
paleo-indian	110414133
paleo-indian culture	108308259
paleoanthropological	302918643
paleoanthropology	106083739
paleobiology	106088274
paleobotany	106083922
paleocene	115150952
paleocene epoch	115150952
paleocerebellum	105493971
paleoclimatology	106154777
paleocortex	105489522
paleocortical	303022412
paleodendrology	106084278
paleoecology	106092297
paleoencephalon	105489781
paleoethnography	106156211
paleogeography	106154897
paleogeology	106127002
paleographer	110414372
paleographist	110414372
paleography	106155037
paleolith	103884115
paleolithic	115257202 303101721
paleolithic age	115257202
paleology	106155593
paleomammalogy	106084566
paleontological	302783465
paleontologist	110414485
paleontology	106083438
paleopathology	106155180
paleornithology	106084662
paleostriatum	105505951
paleozoic	115151883 303008309
paleozoic era	115151883
paleozoology	106084410
palermo	108829325
palestine	108816234 108816623
palestine authority	108337853
palestine islamic jihad	108053870
palestine liberation front	108054255
palestine liberation organization	108337315
palestine national authority	108337853
palestinian	109732753 302986160
palestinian arab	109732753
palestinian hizballah	108054613
palestinian islamic jihad	108053870
palestinian national authority	108337853
palestra	103884208
palestrina	111241258
paletiology	106155348
palette	103884371 103885402 105135635
palette knife	103884525
palfrey	102380951
palgrave	111241379
pali	106985994
palilalia	114354542
palimony	113304508
palimpsest	106419157
palindrome	106305609
paling	103936551
palingenesis	113552855
palingenetic	302698171
palinuridae	101987057
palinurus	101987188
palisade	103884660 201133033
palish	300410218
paliurus	113164403
paliurus spina-christi	113164535
pall	103155743 103884813 107552647 200075867 200392844 200539279 200539403 200539534 201196465 201338270 201789567
pall mall	108896366
pall-mall	100464177
palladian	302783630
palladio	111241485
palladium	114672932
pallas	109406891 109580516
pallas athena	109580516
pallas athene	109580516
pallas's cat	102129439
pallas's sandgrouse	101819115
pallasite	109406999
pallbearer	110414772
pallet	103884371 103885033 103885153 103885279 105135635
pallette	103885402
palliasse	103880766
palliate	200063866 200907990
palliation	100355409 100356373
palliative	103885551 301344206
pallid	300406956 300409522 302333753
pallid bat	102150243
pallidity	104982879
pallidly	400419049
pallidness	104984828
pallidum	105505951
pallium	103885729 103885826 105251388 105494162
pallone	100484859
pallor	104984828
pally	301079212
palm	105573329 106719615 112602979 113677693 201213301
palm beach	109096790
palm cat	102140821
palm civet	102140821
palm family	112602129
palm kernel	112611476
palm nut	112611476
palm off	202249208
palm oil	107690362
palm reading	105785827
palm sunday	115216496
palm tree	112602979
palm-shaped	302180685
palma christ	112945383
palma christi	112945383
palmaceae	112602129
palmae	112602129
palmales	112601978
palmar	302783873
palmate	302180685 302601554
palmate leaf	113177884
palmately	400023528
palmately-lobed	300241334
palmatifid	302180824
palmature	114354676
palmer	111241640
palmer peninsula	109221633
palmetto	112604149
palmetto state	109160577
palmist	110414908
palmister	110414908
palmistry	105785827
palmitic acid	114997862
palmitin	114998051
palmlike	300617414
palmy	302339849
palmyra	112606390
palmyra palm	112606390
palo alto	109086945
palo santo	112742237
palo verde	112518560
