pekan	102453460
peke	102088731
pekinese	102088731
peking	108742559
peking man	102476488
pekingese	102088731
pekoe	107951148
pel	103958553
pelage	101901372
pelagianism	106200289
pelagic	302901417
pelagic bird	102060385
pelagius	111248681
pelargonium	112707972
pelargonium graveolens	112708223
pelargonium hortorum	112708459
pelargonium limoneum	112709133
pelargonium odoratissimum	112708948
pelargonium peltatum	112708718
pelecanidae	102054355
pelecaniform seabird	102054128
pelecaniformes	102053867
pelecanoididae	102064369
pelecanus	102054698
pelecanus erythrorhynchos	102054858
pelecanus onocrotalus	102055019
pelecypod	101958574 302493756
pelecypodous	302493756
peleus	109621444
pelew	109000318
pelf	113406389
pelham	103912582
pelham grenville wodehouse	111414037
pelican	102054499
pelican crossing	103912709
pelican state	109113391
peliosis	114220950
pelisse	103912908
pell-mell	301274520 400165190
pellaea	113232414
pellaea andromedifolia	113232923
pellaea atropurpurea	113233073
pellaea mucronata	113233277
pellaea ornithopus	113233277
pellaea rotundifolia	113233457
pellagra	114224355
pellet	104212826 113924116
pellicle	101461387
pellicularia	113036586
pellicularia filamentosa	113036836
pellicularia koleroga	113037049
pellitory	111941467 112415155
pellitory-of-spain	111941467
pellitory-of-the-wall	112415155
pellucid	300430851 300433489
pellucidity	104709291 104827489
pellucidly	400391499
pellucidness	104709291
pelmet	103115947
pelobatidae	101651459
peloponnese	108808347
peloponnesian	302891251
peloponnesian peninsula	108808347
peloponnesian war	101309402
peloponnesus	108808347
pelota	100481377
pelt	101898376 114788240 201123738 201510546 202763991
pelt along	202062918
peltandra	111811093
peltandra virginica	111811405
peltate	302177756
peltate leaf	113180355
pelter	110433174 111522520
pelting	105052359
peltiphyllum	112817973
peltiphyllum peltatum	112818128
peludo	102458351
pelvic	302905993
pelvic arch	105604406
pelvic cavity	105604805
pelvic fin	102469362
pelvic girdle	105604406
pelvic inflammatory disease	114196040
pelvimeter	103913013
pelvimetry	101005055
pelvis	105604197 105604406
pelycosaur	101724539
pelycosauria	101724359
pembroke	102115675
pembroke welsh corgi	102115675
pemican	107680891
pemmican	107680891
pempheridae	102606367
pemphigous	302787186
pemphigus	114254282
pen	101861486 103913116 103913346 103917632 103970789 201702148
pen name	106350023
pen nib	103828651
pen pal	110434124
pen up	201348559
pen-and-ink	103914230
pen-friend	110434124
pen-tail	102498201
pen-tailed tree shrew	102498201
penal	301407374 301908978 302790227
penal code	106680764
penal colony	103913594
penal facility	103913773
penal institution	103913773
penalisation	101162829
penalise	202505278
penalization	101162829
penalize	202505278
penally	400437844
penalty	101162829 105170716 105172372 113321578
penalty box	103914027
penalty free throw	100111784
penance	101041172 101168027 107552258
penang	108985331
penchant	107513449
pencil	103914323 103914575 113885623 114820918 201692499
pencil box	103914737
pencil case	103914737
pencil cedar	111644136 111657466
pencil cedar tree	111657466
pencil eraser	104123606
pencil lead	103656410
pencil pusher	110434252
pencil sharpener	103914833
penciled	303163722
pencilled	303163722
pendant	103008889 103914950 302359909
pendant earring	103915139
pendent	103008889 103914950 302359909
pending	301008292
pendragon	110433333
pendulous	301241359
pendulum	103915279
pendulum clock	103915525
pendulum watch	103915635
peneidae	101990579
penelope	101802517 109616318
peneplain	109411546
peneplane	109411546
penetrability	104947907
penetrable	301776007 302534722
penetralium	108606395
penetrate	200593150 200730916 201230239 201231635 201424657 201997063 202440481
penetrating	300806085 301748764
penetrating injury	114318466
penetrating trauma	114318466
penetratingly	400421314
penetration	100052345 100848447 100977538 105142553 105208720 105718303
penetration bomb	103915777
penetrative	300806085 301748764
penetratively	400421314
penetrator	110433433
peneus	101990705
pengo	106993745 113698863
penguin	102058457
penial	303109409
penicillamine	103915954
penicillin	103916152
penicillin f	103916720
penicillin g	103916842
penicillin o	103917006
penicillin v	103917158
penicillin v potassium	103917370
penicillin-resistant	302790337
penicillin-resistant bacteria	101380033
penicillinase	115003103
penicillinase-resistant antibiotic	103916536
penicillium	113100713
penile	303109409
penile implant	103917525
peninsula	109411741
peninsular	303109709
peninsular malaysia	108984077
penis	105534035
penis envy	107565670
penitence	107552258
penitent	110433579 301747466
penitential	301747953
penitentially	400366906
penitentiary	103917632 301747953 301909159
penitently	400366906
penknife	103917777
penlight	103917886
penman	110584088
penmanship	106415612
penn	104519771 111248946
penn'orth	113683268
pennant	103917985 106718654 106888338
pennate	301002017
pennatula	101918182
pennatulidae	101918055
penne	107716892
penni	113710682
penniless	302030912
pennilessness	114517770
pennine chain	108814865
pennines	108814865
penning	100931533
pennisetum	112149162
pennisetum americanum	112149342
pennisetum cenchroides	112134527
pennisetum glaucum	112149342
pennisetum ruppelii	112149651
pennisetum setaceum	112149651
pennistum villosum	112149866
pennon	102155098 103917985
pennoncel	103918111
pennoncelle	103918111
pennsylvania	104519771 109157081 109157583
pennsylvania dutch	106964877
pennsylvanian	109764655 115152459
pennsylvanian period	115152459
penny	113411799 113716472
penny ante	100498830 101112625
penny ante poker	100498830
penny arcade	103918224
penny bank	103941611
penny dreadful	106379944
penny grass	111919244
penny pincher	110433829
penny stock	113358065
penny-pinch	202271629
penny-pinching	104900720 301116967
penny-wise	302430607
pennycress	111919108
pennyroyal	112868687 112877440
pennyroyal oil	112868972 112877628
pennyweight	113744303
pennywhistle	103918337
pennyworth	113683268
penobscot	109412494 109685072
penobscot bay	109412639
penobscot river	109412494
penoche	107621413
penologist	110433984
penology	106161930
penoncel	103918111
penpusher	110434252
pensacola	109097101
pension	113405337 202267409
pension account	105919849
pension fund	108087510 113381276
pension off	202267409 202385713
pension plan	105919849
pensionable	300856054
pensionary	110196544 110434357
pensioner	110434357
pensive	301365866 302428209
pensively	400421486
pensiveness	104668162 107548995
penstemon	112905283
penstemon barbatus	112905805
penstemon centranthifolius	112906025
penstemon cyananthus	112906514
penstemon davidsonii	112906716
penstemon deustus	112906945
penstemon dolius	112907162
penstemon fruticosus	112907360
penstemon linarioides	112907591
penstemon newberryi	112907825
penstemon palmeri	112908053
penstemon parryi	112908292
penstemon rupicola	112908473
penstemon rydbergii	112908776
penstemon serrulatus	112908994
penstemon whippleanus	112909217
penstock	104251507 104251743
pent	300561177
pent-up	301319421
pentacle	113904665
pentad	113766661
pentaerythritol	103918447
pentagon	103918615 108224016 113904858
pentagon gang	108054883
pentagonal	302845615
pentagram	113904665
pentahedron	113938242
pentail	102498201
pentamerous	302491976
pentameter	107110808
pentamethylenetetrazol	103919821
pentangle	113904665
pentangular	302845615
pentanoic acid	114764273
pentastomid	101791505
pentastomida	101791371
pentasyllabic	302297019
pentateuch	106463561
pentathlete	110434513
pentathlon	107472513
pentatone	106874485
pentatonic	302949822
pentatonic scale	106874485
pentavalent	303109847
pentazocine	103918783
pentecost	115221877 115267020
pentecostal	110434610 303109948 303110085
pentecostal religion	108104285
pentecostalism	106242452
pentecostalist	110434610
penthouse	103918940
pentimento	103919048
pentlandite	114713833
pentobarbital	103919248
pentobarbital sodium	103919248
pentode	103919462
pentose	114714224
pentothal	104432071
pentoxide	114714496
pentoxifylline	103919556
pentylenetetrazol	103919821
penuche	107621413
penuchle	100495111
penult	106316099
penultima	106316099
penultimate	106316099 301018989
penumbra	114008704
penumbral	302790461
penurious	301117858 302030912
penuriously	400421600
penuriousness	104841570 114517770
penury	114517300
penutian	106936657 109685250
peon	110055534
peonage	100416553 114021671
peony	111739755
peony family	111739380
people	107958392 107987588 108177175 108197108 200452416 202656935
people against gangsterism and drugs	108056353
people in power	108404537
people's liberation army	108041161
people's mujahidin of iran	108051531
people's party	108279415
people's republic of bangladesh	108867723
people's republic of china	108740839
people's republican army	108041161
peopled	301315060
peoples	107959576
peoria	109106613
pep	104642190
pep pill	102707012
pep rally	108375419
pep talk	107260875
pep up	200193003 200860463
pepcid	103324803
peperomia	113171671
