pervasively	400423235
pervasiveness	104772421
perverse	300624143 301618393 301824324
perversely	400249338 400249448
perverseness	104860734 104916195
perversion	100743772 100856347 113899560
perversity	104860734 104916195
perversive	301135866
pervert	110438792 200203575 200934760 202585532
perverted	300624143 301314022 301602091
pervious	301777779
perviousness	104947907
pes	105570899
pes cavus	114237483
pes planus	105584052
pesach	115220763
pesah	115220763
pesantran	108300787
pesantren	108300787
peseta	113712863
pesewa	113689255
pesh merga	108047132
peshawar	108999897
peshmerga	110437033
pesky	300090253
peso	113713614 113713869 113714119 113714383 113714664 113714927 113715189 113715454
pessary	103194145
pessimal	300231800
pessimism	105219242 107558421
pessimist	110439217
pessimistic	301669060
pessimistically	400416346
pessimum	300231800
pest	101316879 110439375 114099961 114162173
pester	201807344
pestered	302464897
pesterer	110439375
pestering	300090253
pesthole	108636825
pesthouse	103656129
pesticide	115004774
pesticide poisoning	114536110
pestiferous	300090253 301135866 301430206 302121576
pestilence	105701634 114099961 114162173
pestilent	301430206 301615857
pestilential	301430206
pestis	114162173
pestis ambulans	114162815
pestis bubonica	114162497
pestle	103925411 103925552 104307218 200332652
pesto	107848392
pet	100904074 101321385 107568642 110011405 201229164 201428543 301465804
pet food	107821707
pet name	106350614
pet peeve	107226264
pet scanner	103994348
pet shop	103926763
pet sitter	110440252
pet sitting	100657121
pet-food	107821707
petabit	113652006
petabyte	113651674 113651848
petal	111710924
petal-like	301707180
petaled	301780085
petalled	301780085
petalless	301781077
petallike	301707180
petaloid	302787303
petalous	301780085
petard	103925824
petasites	112022666
petasites fragrans	112023120
petasites hybridus	112022897
petasites sagitattus	112023295
petasites vulgaris	112022897
petaurista	102365072
petaurista petaurista	102365221
petauristidae	102364677
petaurus	101884632
petchary	101551694
petcock	103925930
pete seeger	111310974
petechia	114312695
peter	111251147
peter abelard	110826921
peter alexander ustinov	111378060
peter behrens	110861476
peter carl faberge	110984821
peter carl goldmark	111025046
peter cooper	110929223
peter goldmark	111025046
peter i	111251423
peter ilich tchaikovsky	111353757
peter lorre	111158914
peter mark roget	111289075
peter medawar	111190903
peter minnewit	111201428
peter minuit	111201428
peter o'toole	111238463
peter out	200099271 202689494
peter pan	109626002 110439530
peter pan collar	103926096
peter paul mauser	111185844
peter paul rubens	111293094
peter seamus o'toole	111238463
peter seeger	111310974
peter sellers	111312095
peter stuyvesant	111343089
peter tchaikovsky	111353757
peter the great	111251423
peter's gland	105438031
peter's pence	113291783
peterburg	109030824
petersburg	101292928 109174973
petersburg campaign	101292928
petfood	107821707
petiole	113152377
petiolule	111698750
petit bourgeois	108199023 110439661
petit dejeuner	107590345
petit four	107649249
petit juror	110440022
petit jury	108432229
petit larceny	100785737
petit mal	114107041 114111609
petit mal epilepsy	114111609
petit point	103926209 103926303
petite	105103970 301395201
petite bourgeoisie	108199023
petite marmite	107602465
petiteness	105114228
petitio	105903421
petitio principii	105903421
petition	106525357 107203790 200756776
petitionary	300718029
petitioner	110439776 110691631
petrarca	111251673
petrarch	111251673
petrarchan sonnet	106394359
petrel	102061815
petri dish	103926410
petrifaction	109413573 113556786
petrification	113556786
petrified forest national park	108625871
petrify	200192803 200419035 200508566
petrifying	300197825
petrissage	100661077
petrochemical	115005027
petrocoptis	111834299
petrogale	101881444
petroglyph	100944256
petrograd	109030824
petrol	114711074
petrol bomb	103786588
petrol engine	103429540
petrol gage	103429772
petrol gauge	103429772
petrol line	103406415
petrol pump	103430323
petrol station	103430002
petrol tank	103431044
petrolatum	115005469
petrolatum gauze	103926506
petroleum	115005138
petroleum future	103849244
petroleum geologist	110440137
petroleum geology	106131297
petroleum jelly	115005469
petroleum refinery	103850193
petrology	106130982
petromyzon	101480386
petromyzon marinus	101480516
petromyzoniformes	101479825
petromyzontidae	101480014
petronas towers	103926619
petronius	111251811
petronius arbiter	111251811
petroselinum	112963030
petroselinum crispum	112963155
petroselinum crispum neapolitanum	112963332
petroselinum crispum tuberosum	112963489
petrous	301155823
petrus stuyvesant	111343089
petter	110440394
petteria	112518821
petteria ramentacea	112518962
petticoat	103926859
petticoated	300458469
pettifog	200776101
pettifogger	110520788 110614265
