physician-assisted suicide	100224011
physician-patient privilege	105188010
physicist	110447768
physicochemical	302703923
physics	106100457 106104194
physics department	108134354
physics lab	103934239
physics laboratory	103934239
physidae	101955070
physiognomy	105609112
physiography	106132052
physiologic	301784103
physiological	301784103 302960419
physiological anatomy	106069259
physiological condition	114057659
physiological jaundice of the newborn	114343443
physiological nystagmus	100338670
physiological property	105012434
physiological psychology	106150250
physiological reaction	100865191
physiological sphincter	105579132
physiological state	114057659
physiologically	400116277
physiologist	110449729
physiology	105012229 106090110
physiotherapeutic	302900820
physiotherapist	110447528
physiotherapy	100701253
physique	105005695 105224424
physostegia	112882652
physostegia virginiana	112882876
physostigma	112507237
physostigma venenosum	112507387
physostigmine	112507767
phytelephas	112614926
phytelephas macrocarpa	112615085
phytochemical	115007702
phytochemist	110450318
phytochemistry	106099316
phytohormone	114769020
phytolacca	111875591
phytolacca acinosa	111875904
phytolacca americana	111876022
phytolacca dioica	111876311
phytolaccaceae	111875229
phytologist	109887676
phytology	106076105
phytomastigina	101423296
phytonadione	115117509
phytophagic	300315536
phytophagous	300315536
phytophilous	300315536
phytophthora	113003483
phytophthora citrophthora	113003675
phytophthora infestans	113003808
phytoplankton	101386537
phytotherapy	100701674
phytotoxin	115061205
pi	104020369 106848790 110494748 110496256 113776148
pi-meson	109415549
pia	112496279
pia mater	105490452
piaf	111254142
piaffe	100289228
piaget	111254282
piagetian	303047978
pianism	106906104
pianissimo	104998511 301461331 400345734
pianissimo assai	301461461
pianist	110450429
pianistic	303034730 303034862
piano	103934354 104998511 301461111 400345456
piano accordion	102675726
piano action	103934827
piano damper	103166559
piano keyboard	103935052
piano lesson	100891561
piano maker	110450886
piano music	105727272 106828479
piano player	110450429
piano sonata	107058022
piano stool	103807420
piano teacher	110450988
piano tuner	110752774
piano wire	103935232
pianoforte	103934354
pianola	103743557
piassava palm	112605898
piaster	113709383 113716265
piastre	113709383 113716265
piazza	108637370
pib	113651674
pibgorn	103542731
pibit	113652168
pibroch	107072802
pic	103931348 106626039
pica	101584752 113734533 114079459
pica em	113734533
pica pica	101585039
pica pica hudsonia	101585139
pica-pica	112945939
picador	109856174
picaninny	110451094
picardie	108963862
picardy	108963862
picaresque	301227405
picariae	101828399
picasso	111254941
picayune	301284018
piccalilli	107841573
piccaninny	110451094
piccolo	103935329
picea	111644818
picea abies	111645454
picea breweriana	111645674
picea engelmannii	111645842
picea glauca	111646083
picea mariana	111646255
picea obovata	111646461
picea orientalis	111646860
picea pungens	111647036
picea rubens	111647277
picea sitchensis	111646603
pichi	112924724
pichiciago	102458906
pichiciego	102458906
picidae	101840967
piciform bird	101840679
piciformes	101840387
