poronotus triacanthus	102636052
poroporo	112914554
porose	300330483
porosity	104947323
porous	300330294 301401002 301776850
porousness	104947323
porphyra	101418034
porphyria	114531253
porphyrin	115048691
porphyrio	102019747
porphyrio porphyrio	102019867
porphyritic	303112513
porphyritic rock	115020962
porphyrula	102019989
porphyrula martinica	102020129
porphyry	115020962
porpoise	102073082
porpoise oil	115021146
porridge	107890756
porringer	103991117
port	103583825 103648242 103991266 107917065 108651532 200588439 201173958 201241766 201453403 201912197 201983099 202091739 202095121 302041149
port arthur	101294510 108745229
port jackson fig	112423781
port jackson heath	112274352
port jackson pine	111654314
port louis	108990039
port moresby	108864045
port of call	108657054
port of entry	108656017
port of spain	108774344
port orford cedar	111655884 111656160
port sudan	109052837
port vila	109183761
port watcher	110475387
port wine	107917065
port-access coronary bypass surgery	100677403
port-au-prince	108769718
port-of-spain	108774344
port-wine stain	104703541
porta	105257118
porta hepatis	105257672
portability	104783415
portable	103991427 301294712 301529895
portable circular saw	103991799
portable computer	103991590
portable saw	103991799
portacaval shunt	105555947
portage	100320543 103991946 113327368
portal	103992042 105385008 106371064
portal hypertension	114128312
portal site	106371064
portal system	105384858
portal tomb	103224940
portal vein	105385008
portcullis	103992239
porte	108068979
porte-cochere	103992429 103992582
portend	200873606
portent	107301073
portentous	301855888 301889205 302171721
portentously	400429472
porter	107906201 110046278 110474871 110475013 111263092 111263258 111263414 201453572
porter's beer	107906201
porterage	100320651 113345732
porterhouse	107676545
porterhouse steak	107676545
portfolio	100722534 103992713 106506144 108259349
porthole	103991266 103992920
portia tree	112209152
portico	103993062
porticoed	300140760
portiere	103993215
portion	101087022 103898588 107593928 113286324 113306199 113831419 114496806 202233480
portion out	202299140
portland	109116050 109156590
portland cement	114829128
portly	300991265
portmanteau	103993307 106299307
portmanteau word	106299307
porto	109008744
porto novo	108777517
porto rico	108770647 108770807
portrait	103993437 107217051
portrait camera	103993624
portrait lens	103993734
portrait painter	110475185
portraitist	110475185
portraiture	100902655 107217051
portray	200990922 201692151 201692666 201727567
portrayal	100549839 100902424 103993437 105774981 107217051
portrayed	301719610
portrayer	110475185
portraying	105774981
portsmouth	108899907 109134769 109173971
portugal	109007158
portuguese	106979090 109747351 302970553
portuguese cypress	111652827
portuguese escudo	113698213
portuguese guinea	108967545
portuguese heath	112249403
portuguese man-of-war	101915807
portuguese monetary unit	113698081
portuguese republic	109007158
portulaca	111878165
portulaca grandiflora	111878344
portulaca oleracea	111878546
portulacaceae	111877450
portunidae	101981385
portunus	101981765
portunus puber	101981910
portwatcher	110475387
porzana	102018598
porzana porzana	102018720
pos tagger	106590092
pose	100757016 104795239 105088507 200624056 200838967 201496967 202147248 202524849 202728538
posed	303164260
poseidon	109592056
poser	106798224 110344226 110475481
poseur	110475481
poseuse	110475636
posh	300978969
posing	100345247
posit	106766013 200718663 200879667 201578506
position	100084268 100587299 100722683 100723730 101053255 105081943 105087073 106206019 106218486 106495143 106796122 108639173 108639776 108640161 113948785 113968971 201496967 201991174
position effect	111436648
position paper	106518421 107234705
positionable	302793435
positional	302793521
positional notation	106822279
positional representation system	106822279
positioner	104117533
positioning	101053255 301689471
positive	103993867 106333461 300065384 300338070 300340186 300359758 300725282 301047187 301823004 301825196 301825607 301825985 302793621
positive charge	111455985
positive chemotaxis	100864799
positive correlation	106042428
positive degree	106333461
positive feedback	113560465
positive fraud	100779710
positive identification	106898439
positive magnetic pole	103994032
positive muon	109222459
positive pole	103994032 103994223
positive reinforcer	105837144
positive reinforcing stimulus	105837144
positive stimulus	105837666
positively	400183685 400514106
positively charged	300359758
positiveness	104762473 105115409 105168179 105174332 113879054
positivism	105174332 106002252
positivist	110475704 302793621
positivistic	302793621
positivity	104762473 105115409 105168179 105174332 113879054
positron	109420771
positron emission tomography	100904074
positron emission tomography scanner	103994348
posology	106065223
posse	108422447
posse comitatus	108422447
posseman	110475957
possess	202209474 202638248 202653395
possessed	300602112 302873340
possession	100032912 100811126 100811363 104869236 108649106 109205421 114431199
possessive	106322842 300030621 300796031 302873533
possessive case	106322842
possessively	400429596
possessiveness	104953119
possessor	110409097
posset	107933013
possibility	105800018 105897536 105960047 114505513
possible	105800200 110476080 300044573 301826770
possible action	105800018
possibleness	114505513
possibly	400301501 400301868
possum	101877569 101883812
possum haw	112778063
possum oak	112296627
possumwood	112792357
post	100319012 100587299 103768938 103994528 106275051 107272483 108480074 108641960 111263552 111263710 111263897 200993715 201001760 201033142 201033289 201091334 201573231 201594397 201594542 201963964 202237977 202390776 202478754
post and lintel	103995284
post card	106640445
post chaise	103995557
post doc	110476262 113288710
post exchange	103995805
post hoc	105903579
post hoc ergo propter hoc	105903579
post hole	103995911
post horn	103996135
post horse	102390374
post house	103996256
post meridiem	300131773 400252877
post oak	112298888
post office	100488337 108162285 108162561
post road	103996743
post-communist	302886408
post-free	301713807 400429740
post-haste	400261595
post-hole digger	103996023
post-horse	102390374
post-impressionist	110478980
post-it	106269950
post-maturity	114449729
post-menopause	114449729
post-mortem	100142216 107158747
post-mortem examination	100142216
post-obit bond	113360204
post-office box	103996568
post-office box number	108508541
post-paid	400429740
post-rotational nystagmus	100339230
postage	106808977 113345848
postage meter	103995116
postage stamp	106808977
postal	302897238
postal card	106640445
postal clerk	110478682
postal code	106367112
postal order	113401993
postal rate commission	108144148
postal service	106275051
postbag	103715362
postbiblical	302865853
postbox	103995432
postcard	106640445
postcava	105430196
postcentral gyrus	105500793
postcode	106367112
postdate	200278024 202718647
postdiluvian	110476169 302773294
postdoc	110476262 113288710
postdoctoral	113288710 302773393
poste restante	106276289 108162708
posted	303164491
poster	102390374 106806283 109873916
poster board	114825316
poster boy	110476440
poster child	110476516
poster color	104414392
poster colour	104414392
poster girl	110476780
poster paint	104414392
posterboard	114825316
posterior	105313975 105566889 300124357 300132498
posterior cardinal vein	105367718
posterior cerebral artery	105349337
posterior facial vein	105386781
posterior horn	105432547
posterior labial veins	105431848
posterior meningeal artery	105359120
posterior naris	105608025
posterior pituitary	105492514
posterior pituitary gland	105492514
posterior root	105432547
posterior serratus muscle	105558321
posterior subcapsular cataract	114279709
posterior synechia	114230308
posterior temporal artery	105362889
posterior vein of the left ventricle	105385176
posteriority	105054768 105085657
posterity	108386069 108386147
postern	103995707
postexilic	302773554
postfix	106319977
postfix notation	106827513
postganglionic	303112684
postglacial	302773703
postgraduate	110160629 301214337
posthitis	114377526
posthole	103995911
posthole digger	103996023
posthouse	103996256
posthumous	300820811
posthumous birth	107335612 107335742
posthumously	400425509
posthypnotic amnesia	105681554
posthypnotic suggestion	105925114
postiche	103323383 103481206
postictal	303112872
postilion	110478778
postillion	110478778
postimpressionist	110478980
postindustrial	301305072
posting	100123158 106506364 106806283
postlude	107055090
postman	110302734
postmark	107285423 201276668
postmaster	110479141
postmaster general	110479330
postmature infant	110476859
postmenopausal	302773828
postmeridian	300131668
postmillennial	303113010
postmistress	110479253
postmodern	302846214
postmodernism	103996383
postmodernist	302846214
postmortal	300122459
postmortem	100142216 107158747 300122459 300129334
postmortem examination	100142216
postnasal drip	114357126
postnatal	300130539
postnuptial	303054885
postoperative	301173204
postoperatively	400138162
postpaid	301713890
postpartum	300130539
postpone	202648898
postponement	101068805 115297015
postponer	110498211
postpose	201250769
postposition	106495391
postpositive	302773912
postprandial	300130801
postscript	106411274 106777334
posttraumatic amnesia	105680706
posttraumatic epilepsy	114112932
posttraumatic stress disorder	114409535
postulant	110479448
postulate	106766013 200718663 200758943 202634015
postulation	106525357 106745976
postulational	302664090
postulator	110477010 110477163
postum	107747412
postural	303113124
postural hypotension	114127849
posture	105009987 105087073 105210917 106206019 202147248 202524849
posturer	110477343
posturing	104894896
postwar	300131089
posy	102882329
pot	103996832 103997192 103997420 103998004 104453655 105563704 113364789 113791173 113796604 201532279
pot cheese	107867743
pot farm	103998327
pot likker	107600292
pot liquor	107600292
pot marigold	111964129
pot marjoram	112874047
pot metal	114742523 114826337
pot plant	111556681
pot roast	107677456
pot-au-feu	107608575
pot-trained	301918864
potable	107897775 300800668
potage	107602594
potage st. germain	107603990
potamogale	101897597
potamogale velox	101897597
potamogalidae	101897311
potamogeton	112636747
potamogeton americanus	112637391
potamogeton crispus	112637009
potamogeton gramineous	112637203
potamogeton nodosus	112637391
potamogetonaceae	112636188
potamophis	101739210
potamophis striatula	101739437
potash	115021410
potash alum	114652297
potash muriate	114885193
potassium	114674986
potassium acid carbonate	114884993
potassium alum	114652297
potassium bicarbonate	114884993
