prefer	200681308 201830440 202405179 202405393
preferable	300737286
preferably	400116461
preference	105165478 105799460 106210079 107513449
preference shares	113356989
preferent	301465804
preferential	300065504
preferentially	400185898
preferment	100199480 107252307
preferred	300737286 301465804
preferred shares	113356989
preferred stock	113356989
prefiguration	105784012 105947827
prefigurative	301888261
prefigure	200873606 201640535
prefix	106319294 201300547
prefix notation	106827301
prefixation	100929660
preform	201663976 201664146
preformation	106001834
prefrontal	300132369
prefrontal cortex	105501644
prefrontal leucotomy	100685381
prefrontal leukotomy	100685381
prefrontal lobe	105501644
prefrontal lobotomy	100685381
pregnancy	114069684
pregnancy test	105751815
pregnanediol	115136004
pregnant	300174481 301088588 301500681
pregnant chad	114859987
preheat	200373053
prehend	201215136
prehensile	300030046 300129954 301339037
prehension	100813935
prehensor	101787566
prehistoric	300978202 301735158 302957696
prehistoric culture	115279361
prehistorical	301735158
prehistory	115279361
preindication	107300719
preinvasive cancer	114270517
preisolate	200498037
prejudge	200683200
prejudgement	105797671
prejudgment	105797671
prejudice	106211643 200682064 202519408
prejudiced	300286014 301620396
prejudicial	301165528 302772853
prejudicious	301165528 302772853
prelacy	100597707 108130676
prelapsarian	302794874
prelate	109826498
prelature	100597707 108130676
prelim	107213673 107472390
preliminary	107341613 107472390 300881395
preliminary exam	107213673
preliminary examination	107213673
preliminary prospectus	107180429
prelims	106402331
preliterate	300414389 301425116
prelone	114777367
prelude	107054289 107341613 201729492 202677287
premarital	303054687
premature	300818569 300818796 301498683
premature baby	110485017
premature ejaculation	113561632
premature infant	110485017
premature labor	114071791
premature labour	114071791
premature ventricular contraction	114386246
prematurely	400431857 400431998
prematureness	114450140
prematurity	114450140
premedical	300127574 302771272
premeditate	200632906 200705839
premeditated	301848678
premeditation	105804230 105804625
premenopausal	302773098
premenstrual	302794991
premenstrual syndrome	114331738
premie	110485017
premier	109926439 109926654 201722044 201722190 301016452 301016587
premiere	106906324 201722044 201722190 301016452
premiership	100597807
premise	106766514 200719132 200903562 201003512
premises	108644736
premiss	106766514 200719132
premium	113293082 113293306 113322642 113345319 113435159 302352428
premium bond	113439220
premix	107898861
premolar	105314857
premonition	107240110 107537367
premonitory	301889325
prenanthes	112025155
prenanthes alba	112017629
prenanthes purpurea	112025456
prenanthes serpentaria	112017878
prenatal	300130175
prenatal diagnosis	100154108
prenominal	300173823
prentice	109821287
prenuptial	303054687
preoccupancy	100087893 105708052
preoccupation	100087893 105708052 105845245
preoccupied	300546698 302427955
preoccupy	201787213 202277928
preoperative	301173077
preordain	200704735
preordination	105974996
prep	100730406
prep school	108426926
prepackaged	301743564
prepacked	301743564
prepaid	301713890
preparation	100244785 100730406 100895653 101145325 105802702 107041429 114054590 114897792
preparation fire	100994188
preparative	300127702
preparatory	300127702
preparatory school	108426926
prepare	200407168 200604200 200604693 201654986 201668067 201758079 202184359 202392176
