recalcitrate	201094255
recalculate	200641355
recalculation	100871779
recall	101261399 105769556 106817246 107205500 107294777 200609334 200724810 200793168 200961556 202317458 202485805 202681269
recall dose	102875533
recant	200800379
recantation	107220756
recap	104091054 106481048 201010930
recapitulate	201010930 201731369 201739025
recapitulation	100942033 106481048 107052984 113552855
recapture	100097789 100097942 201442223 201690722 201776284 202308993
recast	201662480 201667100 201714793
recasting	106440815
recce	100987094
recco	100987094
reccy	100987094
recede	200571771 201116231 201998474
receding	100058306 107350814 300204003
receipt	100091073 106532213 200664403 200894219
receipts	113277590
receivable	300138366
receivables	113351305
receive	200117154 200523831 200618785 200688780 200902346 201175135 201472854 202111702 202112480 202113108 202214901 202499160 202745355
received	300608270 302305339
received pronunciation	106961158
receiver	104067759 104409715 109651094 110285229 110530411 110530567
receiver-creditor relation	113862238
receivership	100599882 101189068 114502904
receiving set	104050813
receiving system	104067759
recency	104934445 105056959
recent	115149665 301646919 301734676
recent epoch	115149665
recently	400108184
recentness	104934445 105056959
receptacle	104068016 104068554 113150920
reception	100091073 100140739 106291693 106643359 108271252
reception desk	104068793
reception line	108450087
reception room	104068905
receptionist	110530662
receptive	300007227 300334509 301777965 301992330
receptive aphasia	114122654
receptively	400441823
receptiveness	104652377
receptivity	104652377
receptor	105306677 105616623
recess	101064921 104069081 109336622 113895060 114037117 200364950 201279869 201501511
recessed	300539218 302272277
recession	100058306 101252578 108446513 113895060 114036839
recessional	107050978 108446513 303120911
recessional march	107072911
recessionary	303120791
recessive	105445891 300797543 303120791
recessive allele	105445891
recessive gene	105448451
recharge	200519368 201493229
rechargeable	301763763
rechauffe	107587699
recherche	300853958
rechewed food	107821454
recidivate	200093079
recidivism	100069437
recidivist	110530832 110531018
recife	108875467
recipe	106801642
recipient	106344088 109651094
recipient role	106344088
reciprocal	100852776 113865372 113865800 300773320 301952167
reciprocal cross	100852776
reciprocal inhibition	100703912
reciprocal ohm	113658719
reciprocal pronoun	106338254
reciprocal-inhibition therapy	100703912
reciprocality	113863412
reciprocally	400177405 400407555 400407778
reciprocate	201879813 202377417
reciprocating engine	104069291
reciprocating saw	104128822
reciprocation	100040890 100342261 101238614
reciprocative	301953212 301953381
reciprocatory	301953212 301953381
reciprocity	100041158 113863412
recirculation	100369323
recission	100233730
recital	106906480 107235433 107236416 107249395 107249541
recitalist	110531242
recitation	100896250 101234811 107249541 107249878
recitative	107101538
recite	200947287 200948137 200955248 201053236 201707313
reciter	110531364
reckless	300251605 300313654
recklessly	400356657
recklessness	104669283
reckon	200633399 200638921 200692380 200713964 200714385 200714537
reckoner	106435139 109906486
reckoning	100635829 105810193 106529770
reclaim	200302911 200384542 200385291 202231615 202281167
reclaimable	302506224
reclaimed	301454716
reclamation	100094174 100096791 100269862
reclassification	101015258
reclassify	200657463
recline	201550172 201550423 202043001
recliner	104069540
reclining	100342374
reclining chair	104069540
recluse	110192120 302258435
reclusive	301864995 302258435
reclusiveness	104630129
recode	200279284
recoding	100618191
recognisable	301276030
recognisance	113371458
recognise	200594278 200611928 200730579 200893988 200898754 202197640 202480958 202552164
recognised	300027712 301640568
recognition	100166384 105770995 105815548 106203951 106701019 107163815 111523113 114435385
recognizable	301276030 301752480
recognizably	400425915
recognizance	113371458
recognize	200594278 200611928 200730579 200893988 200898754 202197640 202480958 202552164 202760033
recognized	300027712 301640568
recoil	107364792 107365354 201374119 201896097 202064997 202384041
recoilless	302798451
recollect	200609334
recollection	105769556 105769915 105944010
recollective	302012852
recombinant	101316379 302798564
recombinant deoxyribonucleic acid	114855649
recombinant dna	114855649
recombinant dna technology	106136660
recombinant human insulin	105418392
recombinant protein	114753812
recombination	107388752 107388957
recombine	200194298 200566935 200567101
recommence	200347191 200350070
recommencement	100242870
recommend	200579810 200876672 200884469
recommendation	104681025 106684382 106707285
recommit	201957050 202353053 202589126
recompense	100260486 113303030 202254549 202255433
reconcilable	301993565
reconcile	200483404 200483824 200734417 200766947
reconciled	300579963
reconciler	109971642
reconciliation	100185953 101208317
reconciling	300046559
recondite	300902519
reconditeness	104830647 105934990
recondition	200207996
reconfirm	201014914
reconnaissance	100986695
reconnaissance by fire	100987602
reconnaissance in force	100987832
reconnaissance mission	100986695
reconnaissance plane	104069756
reconnaissance vehicle	104069919
reconnoiter	202172015
reconnoitering	100987192
reconnoitre	202172015
reconnoitring	100987192
reconquer	202277783
reconsecrate	200868617
reconsider	200655686 200655929
reconsideration	105798017 107154240
reconstitute	200405308
reconstruct	200151268 200199854 200635752 201659445 202558146
reconstructed	300289551
reconstruction	100270102 105770255 107188789 115286469
reconstruction period	115286469
reconstructive	300588549
reconstructive memory	105770255
reconstructive surgery	100691754
reconvene	202028562
reconvert	200117306
reconvict	200908590
recopy	201699038
record	100048486 100063834 103930191 106502164 106649049 106659969 113424816 113618229 200924838 201000444 201002259 202110264
record album	103929923 106604096
record book	106649049
record changer	104070266
record company	108495272
record cover	104071859
record hop	107464148
record jacket	104071419
record player	104071513
record sleeve	104071859
record-breaker	110531449
record-breaking	300230559
record-holder	110531449
record-keeper	110536467
recorded	301425829 301965322
recorder	103348200 104070485 110531553 110536467
recorder player	110531702
recording	100911901 104070773 104070980
recording equipment	104070485
recording label	106864566
recording machine	104070485
recording studio	104071219
recording system	104071325
recount	100655201 200803017 200955248
recounting	107237483
recoup	202219783 202254246 202254399
recourse	101211087 105162506
recover	200092442 200529419 201339223 202231615 202252785 202254246
recoverable	301962882
recovered	301453667 302551782
recoverer	110542352
recovering	302554368
recovery	100046648 107434392 113473520
recovery room	104071974
recreant	110026763 110471580 300266362 300967047
recreate	200024272 201741498 201821905 202423521
recreation	100402591 100427931
recreation facility	104072244
recreation room	104072576
recreational	301875584 302798655
recreational drug	104072100
recreational facility	104072244
recreational vehicle	104072384
recriminate	200846232
recrimination	107249317
recriminative	300928528
recriminatory	300928528
recrudesce	200309856 200340274
recrudescence	107450491
recrudescent	302020518
recruit	110531794 110531965 201100863 202245101 202476750
recruiter	110532155 110532301
recruiting-sergeant	110532452
recruitment	101266204
rectal	302944763
rectal artery	105361786
rectal reflex	100812882
rectal vein	105376435
rectangle	113906003
rectangular	301724877 302056397
rectangularity	105079038
rectifiable	301970334
rectification	100156939 100259697 107430908 113568402
rectified	300637399
rectifier	104072744 110532575
rectify	200161539 200200023 200200276 200385291 200475423 200921800
rectifying tube	103207624
rectifying valve	103207624
rectilineal	300661929
rectilinear	300661929
rectilinear regression	106038434
rectitude	104833854
recto	106268061
rectocele	114320652
rectoplasty	100692186
rector	110003102
rectorate	100599983
rectorship	100599983
rectory	103898254
rectosigmoid	302944877
rectum	105545439
rectus	105324140
rectus inferior	105324224
rectus lateralis	105323957
rectus medialis	105324400
rectus superior	105324563
recumb	201550172
recumbent	301241074
recuperate	200092442 200092915 200529419 202254246
recuperation	113473520
recuperative	301171084
recur	200343988 200961746 202596228
recurrence	107357963
recurrent	300595517
recurrent event	107310808
recurrent fever	114165941
recurrently	400517422
recurring	300595913
recurring decimal	113758516
recursion	105856884
recursive	300093701
recursive definition	106758117
recursive routine	106596338
recurvate	302324304
recurve	202038728
recurved	302324304
recurvirostra	102039202
recurvirostridae	102039053
recusal	101081986
recusancy	101246000
recusant	109977313 301619112 301695755
recusation	101027962 101081986
recuse	200688150 200974899
recyclable	302506224
recycle	201164741 202056801
recycling	100950684 114606023
recycling bin	104072901
recycling plant	104073021
red	104969961 109428827 109883155 113348253 300249427 300382159 300396687
red admiral	102279007
red alder	112306029
red alert	114055582
red algae	101416583
red amaranth	111844225
red angel's trumpet	112920731
red army faction	108057858
red ash	112325992
red baneberry	111744578
red bat	102148853
red bay	111727411
red bearberry	112251875
red beech	112220307 112282325
red birch	112303450
red bird's eye	111836590
red blood cell	105461646
red bone marrow	105293334
red bordeaux	107911410
red brass	115027706
red brigades	108058236
red bryony	112183973
red buckeye	112789979
red cabbage	107730547 111896785
red campion	111836590
red carpet	104073382 300490684
red cedar	111644007 111655187 111657698 111664497
red cent	105148040
red china	108740839
red clay	114719230
red clintonia	112492831
red cloud	111275907
red clover	111773824
red cole	111893442
red coral	101919229 114847206
red cross	108064499
red currant	107760658 112826133
red cypress pine	111654450
red dagga	112871666
red deer	102433768
red delicious	107756437
red devil	104170801
red dogwood	112968304 112968813
red drum	102598332
red dwarf	109429076
red dwarf star	109429076
red eft	101633542
red elm	112428785 112429222
red false mallow	112208408
red fire	114719345
red flag	100426618 106895294 107280324
red fox	102121674 102122129 111845680
red giant	109429246
red giant star	109429246
red ginger	112377860
red goatfish	102603133
red goosefoot	111850391 111850721
red gram	112531279
red grouse	101799160
red guard	108338399
red gum	112337089 112337499 112356609 112356741 112359607
red hand defenders	108058592
red haw	112649117 112649466
red heat	105023737
red helleborine	112071572
red herring	100351704 107180429 107814209
red hot	107713282
red ink	113348253
red jungle fowl	101794104
red juniper	111657698
red kauri	111668719
red lauan	112398011 112398175
red lauan tree	112398011
red laver	101418165
red lead	115027896
red light	106887547 106887621
red line	108647497
red maids	111879283
red man	109686910
red maple	112774333
red marrow	105293334
red meat	107666934
red morning-glory	112848980
red mulberry	112420161
red mullet	102602928
red notice	107291437
red oak	112292160
red onion	107738633
red osier	112750489 112968304
red osier dogwood	112968304
red panda	102512446
red pepper	107737797 107838494
red periwinkle	111792877
red phalarope	102040523
red pimpernel	112112934
red pine	111636937 111674744
red planet	109370342
red poll	102408344
red porgy	102593960
red raspberry	112676990
red rat snake	101735255
red region	105638192
red river	109428827
red rockfish	102647295 107813494
red salmon	102538796 107812141
red sandalwood	111779268 112586836 112587132
red sanders	112586836
red sanderswood	112586836
red saunders	112586836
red scare	114429613
red sea	109429429
red setter	102103529
red shift	111533790
red shrubby penstemon	112906270
red silk cotton	114950083
red silk-cotton tree	112209946
red silver fir	111641732
red siskin	101534280
red snapper	102589682 107813333
red sorrel	112200149
red spider	101785157
red spider mite	101785157
red sprites	111496392
red spruce	111647277
red squirrel	102359763 102360053
red sun	108056760
red tai	106947710
red tape	101027505
red tide	115028063
red trillium	112489405 112489662
red underwing	102298673
red valerian	112971906
red water	114295422
red willow	112750489
red wine	107908487
red wolf	102117364
red worm	101938036
red-backed lemming	102347992
red-backed mouse	102344902
red-backed sandpiper	102030146
red-bellied snake	101740947
red-bellied terrapin	101671077
red-bellied turtle	101671077
red-berried elder	112700193 112700354
red-berry	111744578 113163281
red-blind	302167706
red-blindness	114177903
red-blooded	301175290
red-breasted merganser	101857673
red-breasted nuthatch	101593764
red-breasted sapsucker	101844082
red-breasted snipe	102035978
red-brick	301540540
red-brown	300382587
red-carpet	300490684
red-coated	300458609
red-eye	201844447
red-eyed vireo	101605473
red-faced	300396687 300534107
red-flowered	300401456
red-flowered silky oak	112238368
red-fruited	301085990
red-gray	300392429
red-green color blindness	114177464
red-green colour blindness	114177464
red-green dichromacy	114177464
red-grey	300392429
red-handed	301325911 400126486
red-header	110533416
red-hot	300980563 301252852 301260045 301646036 302140314
red-hot poker	112458435
red-ink	200510309
red-lavender	300382698
red-lead putty	114728313
red-legged partridge	101810781
red-letter	301044507
red-letter day	115196192
red-light district	108571883
red-necked grebe	102053096
red-orange	300382923
red-purple	300383037
red-rimmed	302034858
red-shafted flicker	101842761
red-shouldered hawk	101610453
red-skinned onion	112454611
red-spotted purple	102279746
red-streaked	301794659
red-striped	301794659
red-tailed hawk	101610070
red-veined pie plant	112624034
red-violet	300383136
red-winged blackbird	101578042
redact	110532713 200200761 200983308
redaction	100933423 106439501
redactor	110532713
redback vole	102344902
redbelly	101671077
redberry	111744578 113163281
redbird	101544027 101600378
redbird cactus	112949251
redbird flower	112949251
redbone	102093031
redbreast	101564906
redbrick	301540540
redbrick university	104073135
redbrush	112968304
redbud	112534438
redbug	101783712
redcap	110532979 110533102
redcoat	110049710
redden	200103071 200289793 200535917
reddened	300271362 300396687
redding	109087206
reddish	300382159
reddish blue	104978025
reddish brown	104980653
reddish orange	104972628
reddish purple	104977898
reddish-brown	300382587
reddish-gray	300392429
reddish-grey	300392429
reddish-lavender	300382698
reddish-orange	300382923
reddish-pink	300382828
reddish-striped	301794659
reddish-violet	300383136
reddisn-purple	300383037
reddle	115032854
rede	200874568 200940278
redecorate	201682302
rededicate	200889671
rededication	107467169
redeem	202261540 202261661 202261806 202262040 202557198 202557299
redeemable	300638167 300920079 301963051
redeemed	301454803
redeemer	110533216 111103646
redeeming	301128372 301134233
redefine	200959581 202617862
redefinition	106758323
redemption	100080032 100094821 113320827
redemptional	303121049
redemptive	301134233 303121049
redemptory	303121049
redeploy	201382469
redeployment	101146273
redeposit	201578832 202316115
redeposition	113568583
redesign	201643649
redetermination	100157113
redetermine	200921931
redevelop	200172271 200928281 202143834
redevelopment	100265962
redevelopment authority	108370171
redeye	100303011
redeye flight	100303011
redfin pickerel	102564568
redfish	102537889 102598332 107808093
redford	111276115
redhead	101843416 101853848 110533416
redheaded	300245266
redheaded woodpecker	101843416
redheader	110533416
redhorse	101448793
redhorse sucker	101448793
rediffusion	106287555
redirect	201957193
redirect examination	107210064
rediscover	202160814
rediscovery	100152734
redispose	202360105
redisposition	101146273
redistribute	201382630
redistributed	301112120
redistribution	101085274
redline	202518332
redly	400508749
redmaids	111879283
redneck	110533531
redness	104969961 114359944
redo	200199854 201622744
redolence	104987712
redolent	301056127 301060596 301984733
redonda	108728052
redouble	200227468 200247361 200291343
redoubled	300884793
redoubt	104073500 104073588
redoubtable	300196975 301990497
redound	200138037 200155835 202141485
redox	113552002
redpoll	101534452 101534612
redraft	113399204
redress	100260020 113311699 202525657
redroot	111928546
redshank	102030689
redshift	111533790
redskin	109686910
redstart	101564093 101570935
redstem storksbill	112709664
redtail	101564093 101610070
reduce	200045548 200226497 200233575 200237885 200238145 200238590 200238763 200241017 200241924 200243282 200244786 200430013 200588693 201501776 201561364 201804889 202263098 202322816 202405030 202428975
reduced	300884977 301215762
reduced instruction set computer	104940052
reduced instruction set computing	104940052
reducer	104073771 114804426
reducible	300886853
reducing	113568716 113568880
reducing agent	114804426
reducing diet	107580194
reductant	114804426
reductase	115028212
reductio	105833309
reductio ad absurdum	105833309
reduction	100193149 100352464 113568880
reduction division	113533928
reduction gear	104073879
reductionism	105790445 105790560
reductionist	302991138
reductive	300050666
reductivism	108486244
redundance	105127610
redundancy	101021190 105127610 105738108 107105130
redundancy check	105834266
redundant	300552046 301585713
reduplicate	201738383 201739437
reduplication	101021314 106314140 106316600 107114264
reduviid	102246825
reduviidae	102246659
redux	302020726
redwing	101561102 101578042
redwood	111661096 111661349
redwood family	111660060
redwood national park	108626198
redwood penstemon	112906270
reecho	200960110 202188711 202188840
reechoing	302017089
reed	102820934 104074000 111276325 111276484 112157237
reed bunting	101540700
reed canary grass	112150255
reed grass	112133435
reed instrument	102820934
reed mace	112176290
reed meadow grass	112142959
reed organ	103499638
reed pipe	104074255
reed rhapis	112617106
reed section	108234786
reed stop	104074343
reedbird	101568240 101576539
reedlike	300992969
reedmace	112176290
reedy	300992969 301928038
reef	103463893 109024251 109429671 200242285 200437138 201977650
reef knot	104074465
reef squirrelfish	101453591
reef whitetip shark	101495787
reefer	103606019
reefy	300695997
reek	105722841 200068398 202128571 202199169 202774078
reeking	301058531 302560627
reel	100540711 100541248 102863755 104074584 104074770 107070720 201525893 201928835 202050704
reel off	200947680 201526308
reelect	202406438
reelection	100182222
reeler	110533644 110665293
reenact	201726324 201726692 202433049
reenactment	100552950
reenactor	110533714
reenforce	200222898
reenforcement	100973567 106662983
reenlistment	101209598
reentering angle	113912757
reentering polygon	113889626
reentrant	302602330
reentrant angle	113912757
reentrant polygon	113889626
reentry	100329056
reestablish	202431646
reevaluate	200684700
reevaluation	105744970
reeve	102032878 201344579 202057305 202057545
reexamination	100144071 107210064
reexamine	200697955
ref	110534022
refabrication	100270700
reface	201274342 201274703
refashion	201622744
refection	107589991
refectory	104074930
refectory table	104075033
refer	200657226 200878614 200933429 201026199 201030303 201956757 202681865
referable	300173133
referee	110534022 110534236 110546502 200857476 201087648
refereeing	101194245
reference	101266543 105931581 105931946 106367922 106429241 106707541 106776392 106778981 107273000 107273332 201709116
reference book	106429241
reference frame	105735969
reference grid	103464091
reference manual	106434007
reference point	107273000
reference system	105735969
reference work	106429241
referenced	300790040
referendum	100182489
referent	106615483 106615595 106615847 300726330
referential	300726459
referral	100122724 106684785 110533848
referred pain	114354778
refill	104075167 104075373 200454758
refilling	113569128
refinance	202223328
refine	200401789 200402594 200402812 200474948 200475423 200475693
refined	301145585 301845051 301953883 301960119 302278936
refined sugar	107875260
refinement	104819244 106618544 107372279 113569308 114483408
refiner	110534377
refinery	104075553
refining	113569308
refining industry	108085886
refinish	201267810
refinisher	110534555
refit	101159762 202346588
reflate	200257169 200265171 200564177 200564437
reflation	113569553
reflect	200632042 200823241 200823426 202140736 202141219 202141357 202771882
reflectance	113610022
reflected	302015711
reflecting	302015341
reflecting telescope	104075713
reflection	104076088 104754355 105017811 105793513 106779826 106893299 111523478 113807616
reflection factor	113610022
reflective	301336283 302014978 302428209
reflective power	113842644
reflectively	400441902
reflectiveness	104668903
reflectivity	104668903 105017811 113610022
reflectometer	104076278
reflector	104075713 104076388
