rotational	303124047
rotational latency	115322312
rotational nystagmus	100338914
rotationally	400446868
rotator cuff	105612705
rotatory	302951256
rotatory joint	105604943
rotavirus	101343731
rotc	108229841
rote	105763390
rote learning	105763390
rotenone	115037045
rotgut	107938752
roth	111292020
rothko	111292188
rothschild	111292405
rotifer	101931827
rotifera	101931688
rotisserie	104118508 104118625
rotl	113741051
rotogravure	101105397 106277626 106692053
rotor	104118762 104119056 104119241
rotor blade	104119346
rotor coil	104119056
rotor head	104119524
rotor shaft	104119524
rotted	302283641
rotten	301074208 301131613 302283641
rotten borough	108557979
rottenly	400055639
rottenness	104798804 114584694
rottenstone	114960612
rotter	110559272
rotterdam	108970680
rotting	113479192
rottweiler	102109202
rotund	300990368 301460294 302054916
rotunda	104119673 104119748
rotundity	105080300 107097164
rotundly	400447080
rotundness	105080300
rouble	113721181
roue	110525535
rouge	104119846 200041285
rouge et noir	100496114
rouge plant	111877042
rougeberry	111877042
rouged	301719086
rough	108658537 201758260 300084822 300300342 300305748 300667354 300751523 300919090 301377110 301808700 301818468 301958019 302237329 302246206 302251311 302253147 400355712 400355829
rough bindweed	112491412
rough bristlegrass	112155566
rough cut	106630151
rough drawing	103235488
rough fish	102515879
rough green snake	101732948
rough horsetail	113241020
rough in	201758260
rough out	201758260
rough pea	112560069
rough rider	110559809
rough sledding	114433284
rough up	201400977
rough water	114547631
rough-and-ready	300839043
rough-and-tumble	101174931 301671524
rough-cut	301009605 301957020
rough-dry	200219314
rough-haired	300216849
rough-hew	201263414
rough-house	202521494
rough-leaved aster	111957093
rough-legged hawk	101610241
rough-sand	201389265
rough-skinned newt	101633995
rough-spoken	301958194
rough-stemmed goldenrod	112038740
rough-textured	302250830
roughage	107584383
roughcast	104120015 115030579 201263414 201364482 201664666
roughdried	301363147
roughen	201256185
roughened	302247873
roughhewn	301009605
roughhouse	200605742
roughish	302250156
roughleg	101610241
roughly	400007414 400355712 400355829
roughneck	109898763
roughness	100375254 104824795 104955418 104995915 113559097 114000631 114547631
roughrider	110559970
roughshod	300791823 301266123 302163708
roughtail stingray	101501047
roulade	106870641 107891536
rouleau	104120132 104120218
roulette	100510410 104120288 113931594
roulette ball	104120410
roulette wheel	104120500
roumania	108831830
roumanian	302973817
