ugly duckling	110755509
ugo buoncompagni	111034648
ugrian	106971355
ugric	106971355
uhf	105064956
uhland	111375423
uighur	106364496 106940263 109756018
uigur	106364496 106940263 109756018
uintathere	102374792
uintatheriidae	102374299
uintatherium	102374453
uk	108879115
ukase	106553292
uke	104513584
ukraine	109037349
ukrainian	106957385 302975210
ukranian	109756435
ukranian monetary unit	113725127
ukrayina	109037349
ukulele	104513584
ulaanbaatar	108991474
ulalgia	114356980
ulama	108396748
ulan bator	108991474
ulanova	111375532
ulatrophia	114104779
ulcer	114235091
ulcer diet	107577582
ulcerate	200019975 200538233
ulcerated	301178702
ulceration	113591986 114235091
ulcerative	303154304
ulcerative colitis	114330229
ulcerous	301178702
ulema	108396748
ulemorrhagia	114394487
ulex	112595232
ulex europaeus	112595371
ulfila	111375664
ulfilas	111375664
ulitis	114381098
ull	109607063
ullage	113786226
ullr	109607063
ulmaceae	112425448
ulmus	112425714
ulmus alata	112426809
ulmus americana	112426993
ulmus campestris sarniensis	112428971
ulmus campestris wheatleyi	112428971
ulmus carpinifolia	112427220
ulmus crassifolia	112427407
ulmus glabra	112427584
ulmus hollandica	112427727
ulmus hollandica vegetata	112427901
ulmus laevis	112428050
ulmus parvifolia	112428220
ulmus procera	112428395
ulmus pumila	112428582
ulmus rubra	112428785
ulmus sarniensis	112428971
ulmus serotina	112429222
ulmus thomasii	112429378
ulna	105601231
ulnar	302847932
ulnar artery	105363254
ulnar nerve	105576400
ulnar vein	105392034
ulrich zwingli	111428238
ulster	104513697 108908408
ulster defence association	108063511
ult	301735457
ulterior	300124357 300453324 301712186
ulteriority	105222525
ulteriorly	400518777
ultima	106316019
ultima thule	108974042
ultimacy	113965156
ultimate	104736257 301017558 301582720
ultimate frisbee	100478997
ultimately	400048441
ultimateness	113965156
ultimatum	107206356
ultimo	301735457
ultra	301539365
ultra vires	301350931 400484693
ultracef	102992633
ultracentrifugation	113592126
ultracentrifuge	104513801 202051449
ultraconservative	110528068 300577477
ultrahigh frequency	105064956
ultramarine	104982126 115107713 300385998
ultramarine blue	115107713
ultramicroscope	104513983
ultramicroscopic	303154467
