young carnivore	101325176
young fish	102516191
young girl	110267055
young lady	110149362
young mammal	101324345
young man	110823891
young person	110824010
young turk	110824240 110824336
young woman	110149362
young's modulus	113609700
young-bearing	301481660
young-begetting	301481018
younger	302108662
youngish	301654093
youngness	104935593
youngster	109937051
youngstown	109154233
younker	110824010
youth	104935762 107960326 110824010 114449257 115172673 115290845
youth crusade	100802938
youth culture	108306010
youth gang	108261668
youth hostel	103546717
youth movement	100802938
youth subculture	108306370
youth-on-age	112825112
youthful	301654162
youthfully	400499860
youthfulness	104935762
yowl	107136069 200916587 201049253
ypres	101302999 101303273 101303571
yquem	107915874
yr	115228587
ytterbite	114699730
ytterbium	114685661
yttrium	114685919
yuan	108177045 113732097
yuan dynasty	108177045
yucatan	108757855 108758063
yucatan peninsula	108757855
yucatec	106938694 109692668
yucateco	106938694 109692668
yucca	112502536
yucca aloifolia	112502942
yucca baccata	112503173
yucca brevifolia	112503398
yucca carnerosana	112503596
yucca elata	112503787
yucca filamentosa	112503932
yucca glauca	112504130
yucca gloriosa	112504346
yucca smalliana	112504534
yucca whipplei	112504749
yucky	301630074
yue	106943204
yue dialect	106943204
yugoslav	109770222 302973558
yugoslavia	108833365 108834088
yugoslavian	109770222 302973558
yugoslavian dinar	113693287
yugoslavian monetary unit	113693152
yukawa	111424398
yukon	108849448 109506046
yukon river	109506046
yukon territory	108849448
yukon time	115157817
yukon white birch	112303912
yule	115221372
yule log	115125626
yuletide	115221372
yuma	106936269 109081588 109692796
yuman	106934822 303157290
yummy	302405305
yunnan	108744296
yunnan province	108744296
yuppie	110824527
yurak-samoyed	106972528
yuri alekseyevich gagarin	111006862
yuri gagarin	111006862
yurt	104621053
yves tanguy	111351058
z	106846940 107369614
z-axis	106018782
zaar	106996076
zabaglione	107637106
zabrze	109006827
zacharias	106452865 111425315
zachary taylor	111353232
zaftig	300990165
zag	113910012
zaglossus	101875276
zagreb	108836980
zaharias	111424662
zaire	108752218 113732548
zaire river	109274984
zairean	109770953 303142784
zairese	109770953 303142784
zairese monetary unit	113732422
zakat	105923445
zalcitabine	103195447
zalophus	102081088
zalophus californianus	102081226
zalophus californicus	102081226
zalophus lobatus	102081390
zama	101303914
zaman	111780322
zamang	111780322
zambezi	109506259
zambezi river	109506259
zambia	109188406
zambian	109771103 303142999
zambian kwacha	113705683
zambian monetary unit	113705556
zamboni	104621296
zamboorak	108406649
zamburak	108406649
zamburek	108406649
zamia	111622369
zamia family	111621938
zamia pumila	111622542
zamiaceae	111621938
zane grey	111036071
zangwill	111424867
zannichellia	112638711
zannichellia palustris	112638907
zannichelliaceae	112638500
zantac	104061107
zantedeschia	111814120
zantedeschia aethiopica	111814248
zantedeschia rehmanii	111814493
zanthoxylum	112735310
zanthoxylum americanum	112735709
zanthoxylum clava-herculis	112735955
zanthoxylum flavum	112736168
zanthoxylum fraxineum	112735709
zanuck	111424967
zany	110177319 110824717 301268218 302582052
zanzibar	109057933
zanzibar copal	114920169
zap	107494768 200322737 201135714 201327970 201772856
zapata	111425172
zapodidae	102353497
zapotec	106931898 109669077 303157402
zapotecan	106931898 109669077
zapper	104621440
zapus	102353864
zapus hudsonius	102353995
zaragoza	109050049
zarathustra	111427710
zarf	104621601
zaria	108997344
zarontin	103305523
zarpanit	109544783
zarqa	108947856
zauschneria californica	112363369
zayin	106850407
zb	113652973 113653148 113653306
zbit	113653306
zdv	102768434
zea	112164089
zea mays	112164193
zea mays amylacea	112165842
zea mays everta	112165994
zea mays indentata	112165504
zea mays indurata	112165665
zea mays rugosa	112165259
zea saccharata	112165259
zeal	104652076 107496925 107570967
zealand	108779530
zealander	109719413
zealot	110421831 110824878
zealotry	106216069
zealous	300889495
zealously	400499976
zeaxanthin	114745942
zebibit	113653468
zebibyte	113652973
zebra	102393701
zebra crossing	103910302
zebra finch	101547030
zebra mussel	101968170
zebra orchid	112069006
zebra-tailed lizard	101681298
zebrawood	111766286 111766529
zebrawood family	111766693
zebrawood tree	111766286
zebu	102407558
zechariah	106452865 111425315
zed	106846940
zee	106846940
zeeman	111425433
zeidae	101455274
zeitgeist	114550237
zellig harris	111051012
zellig sabbatai harris	111051012
zen	102678511 106252178 108115995
zen buddhism	106252178 108115995
zen buddhist	109703302
zenaidura	101816732
zenaidura macroura	101816858
zend	106986601
zend-avesta	106442666
zenith	108702507
